PAM,VFSC
126.09,75.87
125.87,75.00
125.66,74.61
125.46,74.63
125.31,74.96
125.23,75.53
125.22,76.25
125.32,77.06
125.63,77.78
126.10,78.40
126.63,78.95
127.18,79.41
127.59,79.64
127.99,79.79
128.39,79.90
128.83,80.10
129.35,80.42
129.86,80.70
130.33,80.86
130.72,80.66
131.03,80.25
131.24,79.75
131.34,79.21
131.26,78.85
131.08,78.47
130.83,78.02
130.53,77.41
130.22,76.58
129.86,75.73
129.46,74.94
129.03,74.44
128.57,74.14
128.04,73.91
127.45,73.68
126.64,73.19
125.79,72.69
124.98,72.25
124.28,71.98
123.84,72.04
123.53,72.25
123.33,72.59
123.23,73.06
123.22,73.61
123.29,74.20
123.43,74.77
123.66,75.25
123.94,75.64
124.23,75.90
124.48,75.97
124.63,75.66
124.77,75.30
124.90,74.98
125.07,75.04
125.30,75.46
125.51,75.93
125.71,76.38
125.83,76.49
125.90,76.44
125.94,76.30
125.96,76.11
125.99,75.89
125.99,75.66
125.95,75.45
125.82,75.30
125.58,75.22
125.33,75.21
125.08,75.27
124.89,75.43
124.77,75.69
124.72,76.02
124.76,76.42
124.91,76.94
125.17,77.51
125.57,78.09
126.17,78.64
127.01,79.12
127.92,79.59
128.83,80.04
129.55,80.57
130.14,81.10
130.63,81.53
131.03,81.79
131.31,81.65
131.51,81.34
131.65,80.89
131.75,80.35
131.83,79.76
131.86,79.12
131.83,78.48
131.72,77.89
131.55,77.34
131.32,76.83
131.06,76.35
130.78,75.88
130.48,75.45
130.15,75.06
129.78,74.71
129.36,74.44
128.93,74.21
128.49,74.04
128.06,73.92
127.64,73.83
127.27,73.81
126.95,73.86
126.71,73.98
126.56,74.18
126.55,74.48
126.69,74.91
127.11,75.59
127.76,76.47
128.55,77.37
129.44,78.23
130.36,78.87
131.30,79.36
132.21,79.71
133.05,79.87
133.73,79.79
134.33,79.59
134.86,79.32
135.37,79.10
135.84,78.93
136.24,78.75
136.56,78.55
136.72,78.23
136.76,77.87
136.73,77.52
136.66,77.23
136.58,77.16
136.49,77.16
136.37,77.20
136.24,77.25
136.14,77.20
136.00,77.13
135.81,77.07
135.52,77.02
135.01,77.03
134.44,77.04
133.85,77.05
133.27,77.01
132.75,76.86
132.31,76.74
131.98,76.68
131.84,76.79
131.94,77.12
132.18,77.55
132.54,78.07
133.00,78.66
133.54,79.28
134.17,79.90
134.87,80.50
135.66,80.96
136.50,81.35
137.34,81.66
138.14,81.92
138.84,82.16
139.46,82.31
139.99,82.36
140.38,82.23
140.59,81.84
140.71,81.38
140.76,80.91
140.78,80.56
140.78,80.36
140.74,80.21
140.63,80.10
140.43,80.00
140.16,79.90
139.84,79.80
139.46,79.66
138.97,79.33
138.46,78.96
138.00,78.66
137.64,78.49
137.55,78.74
137.62,79.17
137.84,79.71
138.23,80.35
138.86,81.05
139.55,81.75
140.26,82.37
140.86,82.80
141.29,83.00
141.64,83.05
141.91,82.98
142.11,82.77
142.22,82.45
142.25,82.04
142.19,81.57
142.03,81.05
141.78,80.50
141.46,79.94
141.07,79.40
140.64,78.89
140.15,78.42
139.61,77.97
139.00,77.58
138.35,77.24
137.63,76.93
136.85,76.64
135.96,76.30
134.97,75.91
133.98,75.57
133.04,75.28
132.18,75.13
131.46,75.10
130.89,75.16
130.52,75.28
130.53,75.37
130.76,75.56
131.14,75.89
131.61,76.50
132.10,77.52
132.70,78.60
133.42,79.65
134.34,80.32
135.40,80.76
136.50,81.07
137.61,81.32
138.66,81.62
139.64,81.84
140.52,81.97
141.20,81.91
141.68,81.68
142.08,81.39
142.41,81.07
142.79,80.76
143.15,80.50
143.47,80.29
143.77,80.27
144.04,80.50
144.24,80.73
144.33,80.90
144.20,80.74
143.91,80.34
143.52,79.84
143.08,79.29
142.63,78.78
142.18,78.30
141.75,77.89
141.39,77.63
141.12,77.56
140.89,77.53
140.67,77.51
140.44,77.41
140.20,77.21
139.94,76.92
139.64,76.50
139.25,75.81
138.83,75.05
138.37,74.25
137.88,73.51
137.37,72.85
136.84,72.28
136.29,71.82
135.71,71.60
135.11,71.52
134.50,71.53
133.89,71.59
133.33,71.62
132.77,71.67
132.19,71.69
131.55,71.65
130.82,71.49
130.11,71.35
129.47,71.27
128.94,71.33
128.56,71.53
128.31,71.84
128.21,72.27
128.39,72.91
128.70,73.62
129.12,74.36
129.60,75.08
130.10,75.73
130.64,76.29
131.17,76.72
131.70,76.84
132.20,76.81
132.64,76.72
132.97,76.64
133.16,76.67
133.29,76.66
133.41,76.59
133.61,76.27
133.84,75.85
134.08,75.44
134.31,75.12
134.55,75.18
134.75,75.31
134.89,75.44
134.88,75.42
134.68,75.17
134.46,74.90
134.27,74.68
134.26,74.70
134.39,74.88
134.57,75.12
134.79,75.41
135.00,75.65
135.21,75.87
135.39,76.07
135.53,76.20
135.57,76.23
135.59,76.23
135.58,76.22
135.59,76.27
135.60,76.37
135.59,76.43
135.57,76.43
135.50,76.26
135.41,75.98
135.29,75.64
135.16,75.26
135.04,74.88
134.89,74.47
134.70,74.06
134.44,73.62
134.08,73.16
133.69,72.75
133.27,72.45
132.83,72.40
132.41,72.55
132.05,72.78
131.79,73.05
131.81,73.20
131.97,73.32
132.23,73.46
132.57,73.65
132.94,73.94
133.36,74.23
133.79,74.49
134.22,74.65
134.63,74.69
135.02,74.66
135.36,74.56
135.62,74.33
135.80,74.04
135.93,73.73
136.01,73.42
136.03,73.21
135.99,73.03
135.91,72.88
135.79,72.78
135.64,72.78
135.44,72.75
135.18,72.66
134.80,72.31
134.31,71.68
133.78,71.05
133.26,70.54
132.83,70.52
132.47,70.88
132.17,71.35
131.91,71.86
131.73,72.12
131.59,72.25
131.48,72.33
131.38,72.38
131.27,72.44
131.15,72.47
131.01,72.47
130.84,72.44
130.60,72.37
130.32,72.25
130.02,72.08
129.69,71.85
129.33,71.51
128.96,71.15
128.57,70.81
128.20,70.56
127.85,70.51
127.49,70.50
127.12,70.48
126.69,70.34
126.13,69.92
125.60,69.52
125.15,69.25
124.90,69.31
124.95,69.91
125.14,70.65
125.43,71.47
125.81,72.16
126.24,72.66
126.72,73.11
127.25,73.51
127.83,73.96
128.43,74.40
129.00,74.77
129.50,75.02
129.78,75.02
129.93,74.85
130.02,74.57
130.07,74.21
130.22,73.78
130.38,73.33
130.52,72.90
130.61,72.54
130.57,72.42
130.46,72.43
130.31,72.49
130.14,72.54
130.01,72.45
129.89,72.30
129.78,72.13
129.67,71.97
129.54,71.81
129.43,71.69
129.37,71.64
129.39,71.68
129.63,72.03
129.99,72.52
130.39,73.00
130.80,73.42
131.11,73.46
131.37,73.34
131.58,73.13
131.75,72.88
131.81,72.80
131.82,72.72
131.81,72.61
131.80,72.43
131.87,72.04
131.96,71.54
132.03,71.01
132.08,70.46
131.99,69.94
131.83,69.47
131.68,69.06
131.57,68.75
131.62,68.63
131.80,68.67
132.00,68.78
132.21,68.93
132.27,68.98
132.21,68.96
132.19,68.97
132.27,69.05
132.64,69.33
133.29,69.80
134.02,70.32
134.79,70.86
135.46,71.33
136.04,71.73
136.56,72.04
137.00,72.26
137.29,72.21
137.47,72.02
137.60,71.80
137.67,71.62
137.69,71.73
137.70,71.97
137.73,72.26
137.82,72.57
138.10,72.80
138.49,72.98
138.93,73.15
139.41,73.28
139.93,73.47
140.45,73.63
140.92,73.69
141.31,73.61
141.45,73.09
141.43,72.30
141.34,71.49
141.23,70.75
141.20,70.42
141.24,70.42
141.30,70.60
141.39,70.93
141.50,71.45
141.63,72.08
141.74,72.67
141.83,73.16
141.82,73.22
141.75,73.05
141.67,72.76
141.59,72.40
141.59,72.15
141.59,71.90
141.59,71.64
141.54,71.35
141.41,70.98
141.22,70.59
140.97,70.21
140.66,69.88
140.28,69.70
139.84,69.58
139.35,69.47
138.81,69.34
138.07,69.01
137.35,68.69
136.72,68.45
136.26,68.34
136.19,68.59
136.32,68.98
136.63,69.49
137.10,70.14
137.74,70.95
138.48,71.76
139.26,72.48
140.06,72.95
140.83,73.11
141.52,73.10
142.10,72.94
142.40,72.62
142.48,72.18
142.46,71.68
142.36,71.18
142.31,70.78
142.25,70.43
142.15,70.13
142.02,69.88
141.87,69.74
141.67,69.64
141.40,69.54
141.03,69.38
140.38,69.00
139.73,68.65
139.16,68.39
138.82,68.41
138.88,68.83
139.09,69.39
139.40,70.02
139.77,70.62
140.15,71.15
140.54,71.59
140.91,71.89
141.21,71.86
141.44,71.63
141.62,71.28
141.72,70.88
141.68,70.52
141.58,70.16
141.44,69.80
141.31,69.49
141.21,69.26
141.11,69.05
140.99,68.83
140.84,68.52
140.65,68.10
140.42,67.70
140.13,67.38
139.70,67.26
139.17,67.33
138.65,67.49
138.20,67.72
138.00,67.94
137.95,68.17
137.96,68.41
138.02,68.67
137.98,68.94
137.98,69.20
138.04,69.44
138.21,69.64
138.55,69.80
138.93,69.90
139.31,69.91
139.60,69.77
139.78,69.50
139.92,69.18
140.03,68.85
140.15,68.62
140.24,68.43
140.29,68.24
140.27,68.03
140.17,67.75
139.99,67.46
139.73,67.17
139.33,66.89
138.76,66.63
138.20,66.43
137.72,66.33
137.55,66.45
137.61,66.73
137.80,67.08
138.10,67.48
138.50,67.85
138.94,68.22
139.38,68.57
139.74,68.92
139.97,69.25
140.16,69.51
140.34,69.66
140.61,69.52
140.90,69.21
141.15,68.87
141.32,68.55
141.25,68.45
141.11,68.43
140.95,68.47
140.80,68.57
140.73,68.71
140.71,68.91
140.76,69.15
140.93,69.40
141.20,69.67
141.57,70.02
142.02,70.45
142.63,71.20
143.29,72.01
143.94,72.74
144.47,73.18
144.78,73.08
145.00,72.80
145.15,72.39
145.28,72.07
145.39,71.81
145.44,71.51
145.45,71.16
145.37,70.61
145.24,70.01
145.09,69.42
144.95,68.94
144.96,68.76
144.93,68.65
144.83,68.60
144.57,68.52
144.04,68.37
143.40,68.19
142.69,67.98
141.92,67.69
141.12,67.35
140.38,67.04
139.73,66.81
139.40,66.80
139.22,66.92
139.11,67.14
139.01,67.49
138.82,68.05
138.62,68.56
138.40,68.93
138.12,68.75
137.79,68.13
137.46,67.46
137.14,66.90
136.87,67.07
136.64,67.52
136.46,68.08
136.34,68.62
136.37,68.87
136.42,69.04
136.47,69.14
136.41,69.17
136.17,69.09
135.90,69.02
135.65,68.98
135.53,69.13
135.55,69.45
135.63,69.82
135.79,70.20
136.04,70.55
136.33,70.84
136.63,71.05
136.91,71.17
137.07,71.08
137.19,70.90
137.26,70.65
137.27,70.36
137.20,70.03
137.14,69.72
137.13,69.44
137.30,69.31
137.62,69.30
137.99,69.33
138.35,69.37
138.59,69.27
138.76,69.15
138.92,69.08
139.07,69.14
139.24,69.56
139.42,70.02
139.58,70.43
139.68,70.53
139.72,70.24
139.81,69.97
140.03,69.83
140.58,70.37
141.34,71.24
142.20,72.16
143.09,72.94
143.93,73.27
144.74,73.40
145.48,73.32
146.11,73.01
146.62,72.51
147.01,71.88
