LagList,Cost,Nu,Gamma,Correlacion
0.0625,7,16,0.8,0.560196400164055
0.0625,7,16,1,0.558230674649381
0.0625,7,16,0.9,0.55817468465839
0.0625,7,16,0.7,0.551514400058707
0.0625,7,8,0.9,0.550166635665805
0.0625,7,8,1,0.55016311250324
0.0625,7,16,0.6,0.544663042088734
0.0625,7,8,0.8,0.542742573898843
0.0625,7,8,0.7,0.541909975059307
0.0625,7,32,0.8,0.541574228529131
0.0625,7,32,1,0.541558869707858
0.0625,7,32,0.9,0.541558454138938
0.0625,8,32,0.9,0.540380823435222
0.0625,8,32,1,0.540294621200752
0.0625,8,32,0.8,0.540283048570568
0.0625,8,32,0.7,0.540179198240093
0.0625,7,8,0.6,0.538703130672701
0.0625,8,16,1,0.53546661556641
0.0625,8,16,0.8,0.535432696577355
0.0625,8,16,0.9,0.535426892318644
0.0625,6,16,0.8,0.533679355763241
0.0625,7,32,0.7,0.53337314013142
0.0625,6,32,0.9,0.530998811175713
0.0625,6,32,1,0.530875449470303
0.0625,7,16,0.5,0.530665350148441
0.125,5,64,1,0.529405758715778
0.125,5,64,0.9,0.529390346998382
0.125,5,64,0.8,0.52935794739771
0.0625,8,16,0.7,0.529157201174881
0.0625,7,4,0.9,0.527161475542209
0.0625,7,4,1,0.526837105315868
0.0625,8,32,0.6,0.525306975501017
0.0625,7,4,0.8,0.524345985746798
0.0625,8,64,1,0.523694523696909
0.0625,8,64,0.8,0.523693615253438
0.0625,8,64,0.9,0.523675741095665
0.0625,8,64,0.7,0.523662527141432
0.125,5,64,0.7,0.523609007371652
0.0625,6,16,1,0.522929575913206
0.0625,6,16,0.9,0.522681221550918
0.0625,6,32,0.1,0.522591423368688
0.0625,7,16,0.4,0.521600036776075
0.0625,7,4,0.7,0.521188887919404
0.0625,7,8,0.5,0.520447204205343
0.0625,8,64,0.6,0.519798908437397
0.0625,7,32,0.5,0.517443974799377
0.125,5,32,0.9,0.517000595544149
0.125,5,32,0.8,0.5169480293388
0.0625,7,32,0.6,0.51688631085304
0.125,5,32,1,0.516885719209684
2,1,16,0.9,0.514557023910139
0.0625,7,32,0.1,0.51359769246086
2,1,8,0.9,0.513508668565881
2,1,16,1,0.512852468326126
0.0625,8,16,0.6,0.51215826748002
0.0625,7,4,0.6,0.511997037282926
0.125,5,32,0.7,0.511690205188548
2,1,8,1,0.511637484428989
0.0625,7,8,0.4,0.511503362640847
0.0625,8,8,0.8,0.510993634907732
0.0625,6,16,0.1,0.510839409921518
0.0625,6,8,0.9,0.510080437985463
0.125,6,4,1,0.509872317318385
0.125,6,4,0.9,0.5097164074799
0.0625,6,8,1,0.50934848253422
1,1,64,0.5,0.508461964647744
2,1,8,0.8,0.508372217332447
0.0625,8,8,1,0.507062847977216
0.0625,8,8,0.9,0.507041673144633
1,1,256,0.3,0.507022585741265
0.0625,8,64,0.5,0.506682476889477
1,1,32,0.7,0.506469958786105
2,1,4,0.9,0.505850217082092
0.25,2,128,0.6,0.505804664940413
2,1,16,0.8,0.505796052903265
0.0625,7,2,0.7,0.50453039389619
1,1,32,0.2,0.504328793592561
0.25,2,1024,0.4,0.503730967101074
0.125,6,4,0.8,0.503619059321447
1,1,64,0.6,0.502994257190282
2,1,4,0.8,0.502842641223711
0.5,1,128,0.7,0.502488790987646
2,1,2,0.7,0.502099580111862
1,1,16,0.7,0.501656907133503
0.0625,7,32,0.4,0.50143063837719
0.0625,8,32,0.5,0.501406902368697
0.25,2,512,0.5,0.501396931864661
2,1,4,1,0.501334211070584
0.25,2,2048,0.4,0.501288901302368
1,1,8,0.7,0.501262957502929
0.5,1,128,0.3,0.500501102795443
1,1,64,0.4,0.500484189922773
0.5,1,32,0.3,0.500164325940826
2,1,2,0.8,0.500093649806139
1,1,32,0.6,0.500087775970729
0.5,1,64,0.3,0.499899685467525
0.0625,5,2048,0.9,0.499853188684109
0.0625,5,2048,1,0.499846942892684
0.0625,5,2048,0.7,0.49984100690335
0.0625,5,2048,0.8,0.499832673235764
0.25,2,32,0.5,0.49977895714762
2,1,2,0.9,0.499717598407447
1,1,128,0.3,0.499630218429458
0.0625,5,1024,0.8,0.499387822396124
0.0625,5,1024,0.9,0.499357809883462
0.0625,5,1024,1,0.499350319783213
2,1,1,0.7,0.499115391958892
0.5,1,16,0.4,0.498907152316477
0.25,2,64,0.5,0.498776024010957
0.25,3,64,1,0.498706448470896
0.25,3,64,0.9,0.498638712304884
0.5,1,4,0.4,0.498503564046627
0.5,1,16,0.3,0.498359786146985
1,1,128,0.4,0.498355250633058
0.5,1,8,0.4,0.498221391938854
2,1,2,1,0.498219344942727
0.25,3,128,1,0.498192961145091
0.25,3,128,0.9,0.498108853390959
0.125,7,4,0.9,0.497954266240549
1,1,1024,0.2,0.497949605654689
0.125,7,4,1,0.497931873342827
0.125,7,4,0.8,0.49782407252802
0.0625,7,4,0.5,0.497727826695765
2,1,32,0.9,0.497645858120136
0.25,1,256,0.4,0.497530190249937
0.0625,6,8,0.5,0.497514101181091
0.25,2,256,0.6,0.497363381532901
2,1,32,1,0.49726942629252
2,1,4,0.7,0.497244201255581
2,1,8,0.7,0.49715925379108
0.25,2,64,0.6,0.497122867710602
0.5,1,256,0.3,0.496756862707216
0.25,2,128,0.7,0.496677046531182
2,1,8,0.6,0.496586105265015
0.0625,6,4,0.9,0.496510742746849
0.25,2,256,0.5,0.496498842190407
1,1,2,0.4,0.496172773986299
1,1,512,0.2,0.49590032445056
0.0625,7,16,0.1,0.495866145869201
0.0625,5,1024,0.7,0.495723766376393
0.5,1,2,0.4,0.495711089986774
1,1,16,0.2,0.495693393392998
0.0625,6,8,0.8,0.495619442358882
0.25,2,512,0.4,0.495606149985954
1,1,64,0.7,0.495553535206494
2,1,32,0.8,0.495040607128992
2,1,4,0.6,0.495007503602644
0.25,1,512,0.4,0.494466397375184
0.5,2,4,0.7,0.494175551560272
2,1,4,0.5,0.494121220609182
1,1,4,0.4,0.494082224732936
0.0625,7,2,0.8,0.494050246019895
0.5,1,16,0.5,0.493840095821683
0.5,1,4,0.5,0.493583622614032
0.25,2,16,0.5,0.493583429761871
0.5,1,8,0.3,0.493442144445237
0.5,1,32,0.4,0.493284531439786
1,1,4,0.3,0.493097170376889
1,1,8,0.8,0.493046390176497
1,1,32,0.5,0.493027787513769
0.25,2,256,0.4,0.492879215999834
0.5,1,128,0.2,0.49272555689134
0.5,1,1,0.4,0.492708435067033
2,1,1,1,0.492550584864537
0.25,3,128,0.8,0.492440333637572
0.5,1,4,0.3,0.492149340885196
2,1,16,0.7,0.491967887967924
0.5,1,2,0.5,0.491941587653331
2,1,4,0.3,0.491899106179442
1,1,1,0.4,0.491766484771902
1,1,4,0.7,0.491689736505908
0.25,1,1024,0.3,0.491609579037488
0.0625,8,8,0.7,0.491485521867366
0.0625,6,32,0.8,0.491484193242655
2,1,2,0.6,0.491209360918693
2,1,16,0.3,0.491203514505514
0.5,2,4,0.6,0.491119187343692
0.5,1,64,0.2,0.491100277504609
0.25,2,32,0.6,0.490566002266201
1,1,8,0.3,0.490497725577999
0.5,1,8,0.5,0.490448080374869
0.125,6,2,0.9,0.49040094051831
0.125,6,2,1,0.4903612307007
2,1,8,0.5,0.490350044878882
2,1,16,0.6,0.490232042616308
1,1,8,0.9,0.490126480779612
2,1,8,0.3,0.489980922814264
1,1,0.5,0.5,0.489702710159405
0.125,2,512,0.2,0.489702465807086
2,1,1,0.8,0.489689567308723
0.25,2,128,0.5,0.489689529992365
2,1,2,0.5,0.48963611610883
1,1,16,0.3,0.489571205331434
0.5,1,1,0.5,0.489547690489886
0.25,1,2048,0.3,0.489521826987878
1,1,4,0.8,0.489396481784511
0.25,3,64,0.8,0.489346676111461
0.0625,7,2,0.9,0.48928761385904
4,1,2,0.8,0.489213073757
1,1,32,0.3,0.489168329255125
0.125,7,2,0.9,0.489164242766799
0.125,7,2,1,0.489145369524548
1,1,4,0.9,0.489107669752262
