      Time       ABP     LCBFV     RCBFV
      -9.8     99.25     50.98     63.35
      -9.6     99.01     51.46     63.45
      -9.4     99.88     51.80     63.47
      -9.2    100.44     52.02     63.43
      -9.0    101.40     52.22     63.41
      -8.8    100.42     51.92     63.00
      -8.6     99.57     51.65     62.64
      -8.4     98.85     51.25     62.33
      -8.2     98.11     51.16     62.09
      -8.0     98.03     51.02     62.04
      -7.8     97.85     50.83     61.95
      -7.6     97.57     50.90     61.96
      -7.4     97.22     50.19     61.56
      -7.2     96.34     49.64     61.20
      -7.0     95.60     49.26     60.88
      -6.8     94.81     48.79     60.71
      -6.6     94.59     49.15     60.29
      -6.4     94.42     49.45     60.01
      -6.2     94.29     49.66     59.86
      -6.0     94.28     49.85     59.85
      -5.8     94.14     49.49     59.99
      -5.6     94.11     49.38     60.25
      -5.4     93.70     49.10     60.41
      -5.2     94.46     50.30     61.34
      -5.0     95.06     51.26     62.12
      -4.8     95.50     52.28     63.07
      -4.6     95.85     52.37     63.21
      -4.4     95.54     52.41     63.39
      -4.2     95.37     52.38     63.60
      -4.0     95.19     52.36     63.74
      -3.8     95.53     51.95     64.39
      -3.6     95.90     51.67     64.83
      -3.4     96.53     51.55     65.71
      -3.2     96.66     51.49     64.80
      -3.0     96.93     51.59     64.19
      -2.8     97.35     51.01     62.81
      -2.6     97.75     52.38     63.95
      -2.4     99.05     53.41     64.80
      -2.2    100.04     54.12     65.38
      -2.0    101.11     54.52     65.71
      -1.8    100.76     54.16     65.48
      -1.6    100.55     53.78     65.17
      -1.4     99.94     53.36     64.90
      -1.2    100.59     53.02     64.19
      -1.0    101.08     52.63     63.53
      -0.8    101.43     52.19     62.90
      -0.6    101.16     51.68     62.19
      -0.4    102.12     51.58     62.52
      -0.2    102.41     51.11     62.26
       0.0    102.04     51.11     62.89
       0.2    101.08     48.75     59.44
       0.4     98.28     46.61     56.35
       0.6     95.60     44.69     53.65
       0.8     93.68     43.12     51.38
       1.0     90.46     41.39     49.29
       1.2     87.74     40.04     47.65
       1.4     85.52     39.08     46.46
       1.6     83.45     38.48     45.64
       1.8     82.83     38.56     45.98
       2.0     82.36     38.82     46.32
       2.2     82.05     38.88     47.07
       2.4     81.88     40.04     46.76
       2.6     81.87     41.02     46.83
       2.8     82.00     42.29     46.39
       3.0     82.21     42.33     48.29
       3.2     82.99     42.52     49.96
       3.4     83.63     42.32     51.26
       3.6     84.11     43.44     52.62
       3.8     84.45     44.38     53.67
       4.0     84.65     45.13     54.41
       4.2     84.96     45.69     54.84
       4.4     84.35     45.75     54.35
       4.6     83.92     45.91     54.08
       4.8     83.29     46.04     53.81
       5.0     83.75     46.89     54.71
       5.2     84.08     47.44     55.29
       5.4     84.77     48.06     56.02
       5.6     84.27     47.25     54.96
       5.8     83.96     46.73     54.27
       6.0     83.61     46.21     53.55
       6.2     83.98     46.89     54.31
       6.4     84.39     47.45     54.94
       6.6     84.69     47.93     55.56
       6.8     85.37     48.12     55.68
       7.0     86.01     48.25     55.81
       7.2     86.60     48.44     55.70
       7.4     87.15     48.28     56.23
       7.6     87.67     48.16     56.58
       7.8     88.15     47.43     56.75
       8.0     88.51     48.12     56.73
       8.2     89.01     48.50     56.37
       8.4     89.38     48.59     55.97
       8.6     89.91     48.49     55.57
       8.8     89.57     47.46     54.96
       9.0     89.33     46.49     54.40
       9.2     89.18     45.53     53.65
       9.4     89.11     44.74     53.49
       9.6     89.45     43.98     53.21
       9.8     89.66     43.24     52.80
      10.0     89.95     42.54     52.36
      10.2     89.55     41.78     51.25
      10.4     89.21     41.09     50.34
      10.6     88.94     40.52     49.46
      10.8     88.73     39.94     49.14
      11.0     88.66     39.46     48.92
      11.2     88.60     39.08     48.78
      11.4     88.51     38.81     48.65
      11.6     88.55     38.70     48.99
      11.8     88.56     38.66     49.20
      12.0     88.55     38.37     49.49
      12.2     88.51     38.92     49.13
      12.4     88.58     39.26     48.82
      12.6     88.53     39.40     48.56
      12.8     88.60     39.37     48.33
      13.0     87.86     38.53     48.19
      13.2     87.25     37.91     48.07
      13.4     86.76     37.26     48.08
      13.6     86.38     37.46     47.81
      13.8     86.22     37.68     47.65
      14.0     86.12     37.91     47.59
      14.2     86.12     38.17     47.61
      14.4     86.03     38.38     47.86
      14.6     86.05     38.65     48.14
      14.8     85.98     38.94     48.46
      15.0     86.41     39.39     48.79
      15.2     86.86     39.86     49.16
      15.4     87.31     39.91     49.18
      15.6     87.66     40.92     50.12
      15.8     88.51     41.68     50.84
      16.0     89.07     42.19     51.33
      16.2     89.85     42.51     51.64
      16.4     88.88     42.18     51.37
      16.6     88.22     41.90     51.15
      16.8     87.19     41.66     50.91
      17.0     88.03     41.51     50.96
      17.2     88.72     41.40     50.95
      17.4     89.26     41.35     51.18
      17.6     89.66     41.24     50.63
      17.8     89.60     41.20     50.28
      18.0     89.70     41.16     49.73
      18.2     89.94     41.36     50.32
      18.4     90.72     41.56     50.81
      18.6     91.35     41.44     51.24
      18.8     91.87     42.06     51.47
      19.0     92.15     42.48     51.63
      19.2     92.34     42.70     51.72
      19.4     92.63     42.81     51.77
      19.6     92.34     42.23     51.55
      19.8     92.13     41.75     51.37
      20.0     91.99     41.20     51.13
