      Time       ABP     LCBFV     RCBFV
      -9.8     70.12     71.32     43.39
      -9.6     70.68     72.53     43.65
      -9.4     71.24     72.65     43.65
      -9.2     71.74     72.92     43.73
      -9.0     72.20     73.35     43.39
      -8.8     72.57     73.93     44.19
      -8.6     72.99     75.33     44.83
      -8.4     73.32     76.34     45.32
      -8.2     73.72     77.46     45.81
      -8.0     73.70     76.69     45.71
      -7.8     73.68     76.11     45.63
      -7.6     73.64     75.55     45.82
      -7.4     73.71     75.51     45.50
      -7.2     73.36     75.56     45.35
      -7.0     73.19     75.71     45.36
      -6.8     72.93     75.89     45.42
      -6.6     73.42     76.42     46.10
      -6.4     73.91     76.93     46.70
      -6.2     74.42     77.55     47.40
      -6.0     74.92     77.79     47.60
      -5.8     75.57     78.10     47.85
      -5.6     76.15     78.48     48.15
      -5.4     76.57     78.90     48.46
      -5.2     77.11     79.74     49.14
      -5.0     77.50     80.42     49.65
      -4.8     77.75     81.05     50.17
      -4.6     77.85     81.21     50.07
      -4.4     77.59     81.32     49.95
      -4.2     77.37     81.37     49.93
      -4.0     77.21     81.36     49.70
      -3.8     77.05     81.07     49.51
      -3.6     76.95     80.91     49.36
      -3.4     76.52     80.61     49.12
      -3.2     76.99     81.17     49.28
      -3.0     77.33     81.60     49.34
      -2.8     77.54     81.86     49.25
      -2.6     77.64     82.03     49.13
      -2.4     77.52     82.05     48.89
      -2.2     77.30     81.91     48.53
      -2.0     77.17     81.79     48.30
      -1.8     76.57     81.06     47.25
      -1.6     75.95     80.34     46.33
      -1.4     75.33     79.63     45.53
      -1.2     74.85     78.97     44.84
      -1.0     73.94     78.04     44.34
      -0.8     73.17     77.28     43.93
      -0.6     72.52     75.95     43.29
      -0.4     71.86     76.44     43.46
      -0.2     72.00     76.64     43.51
       0.0     71.92     76.56     43.45
       0.2     71.89     76.39     43.27
       0.4     71.03     75.25     42.97
       0.6     70.10     74.12     42.56
       0.8     69.10     72.98     42.05
       1.0     68.28     71.84     41.42
       1.2     66.67     70.51     40.14
       1.4     65.25     69.32     39.17
       1.6     64.03     68.29     37.87
       1.8     62.96     67.35     38.37
       2.0     62.39     66.56     38.71
       2.2     61.84     65.92     38.91
       2.4     61.39     65.34     39.07
       2.6     60.76     65.34     38.60
       2.8     60.21     65.28     38.23
       3.0     59.71     66.04     38.12
       3.2     59.39     64.80     37.74
       3.4     58.70     64.02     37.55
       3.6     58.29     63.69     37.56
       3.8     57.80     63.49     37.73
       4.0     58.36     64.91     38.22
       4.2     58.98     66.20     38.84
       4.4     59.65     67.47     39.00
       4.6     60.32     68.34     40.71
       4.8     61.34     69.17     42.08
       5.0     62.22     69.95     43.88
       5.2     63.00     70.68     43.80
       5.4     63.49     71.46     43.76
       5.6     63.89     72.11     43.76
       5.8     64.10     72.57     43.73
       6.0     64.43     73.08     44.00
       6.2     64.61     73.36     44.19
       6.4     64.65     74.02     44.41
       6.6     64.61     73.06     44.27
       6.8     64.04     72.30     44.12
       7.0     63.54     71.72     43.96
       7.2     63.22     71.32     43.83
       7.4     62.73     71.28     43.34
       7.6     62.41     71.31     43.08
       7.8     61.75     71.32     42.79
       8.0     62.28     71.65     43.49
       8.2     62.72     71.96     44.12
       8.4     63.07     72.15     44.62
       8.6     63.34     72.51     45.14
       8.8     63.51     72.79     45.56
       9.0     63.59     72.99     45.88
       9.2     63.56     73.10     46.10
       9.4     63.52     73.20     46.15
       9.6     63.38     73.19     46.15
       9.8     63.12     73.37     46.22
      10.0     62.76     72.60     45.86
      10.2     61.94     72.02     45.58
      10.4     61.31     71.56     45.64
      10.6     60.87     71.49     45.26
      10.8     60.61     71.58     45.09
      11.0     60.53     71.81     45.16
      11.2     60.30     72.12     45.35
      11.4     61.09     72.96     46.34
      11.6     61.80     73.72     47.18
      11.8     62.48     74.28     47.96
      12.0     62.96     75.16     48.41
      12.2     63.37     75.82     48.79
      12.4     63.74     76.68     49.15
      12.6     64.06     76.34     49.38
      12.8     64.29     76.05     49.56
      13.0     64.49     75.81     49.70
      13.2     64.73     75.64     49.81
      13.4     64.73     75.41     49.66
      13.6     64.77     75.30     49.64
      13.8     65.19     75.31     49.59
      14.0     64.94     75.48     50.17
      14.2     64.93     75.75     50.67
      14.4     65.15     75.94     51.39
      14.6     65.52     76.69     51.33
      14.8     66.63     77.41     51.41
      15.0     67.65     78.11     51.62
      15.2     68.54     78.76     51.92
      15.4     69.47     79.67     52.81
      15.6     70.26     80.34     53.49
      15.8     71.03     80.94     53.96
      16.0     71.41     80.80     54.20
      16.2     71.72     80.62     54.24
      16.4     71.94     80.81     54.94
      16.6     72.33     80.09     53.65
      16.8     71.83     79.54     52.60
      17.0     71.61     79.14     51.78
      17.2     70.75     78.64     50.94
      17.4     72.11     79.16     51.16
      17.6     73.24     79.48     51.28
      17.8     74.16     80.70     51.43
      18.0     75.02     79.49     51.15
      18.2     75.12     78.66     50.84
      18.4     75.25     78.19     50.51
      18.6     75.63     77.89     50.25
      18.8     75.54     78.68     49.56
      19.0     75.63     79.48     49.05
      19.2     75.88     79.82     48.11
      19.4     76.28     81.32     48.74
      19.6     77.40     82.46     49.08
      19.8     78.26     83.66     49.88
      20.0     78.91     83.66     48.82
