epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
100,0.9,tanh,RMSprop,25,1,3,nan
45,0.9,tanh,RMSprop,25,1,3,nan
30,0.9,tanh,RMSprop,25,1,3,nan
35,0.9,tanh,RMSprop,13,1,3,nan
70,0.9,tanh,RMSprop,20,1,3,nan
55,0.9,tanh,RMSprop,25,1,3,nan
35,0.9,tanh,RMSprop,25,1,3,nan
30,0.9,tanh,RMSprop,2,1,3,nan
70,0.9,tanh,RMSprop,25,1,3,nan
40,0.9,tanh,RMSprop,20,1,3,nan
40,0.9,tanh,RMSprop,25,1,3,nan
60,0.9,tanh,RMSprop,25,1,3,nan
80,0.9,tanh,RMSprop,20,1,3,nan
80,0.9,tanh,RMSprop,25,1,3,nan
45,0.9,tanh,RMSprop,15,1,3,nan
50,0.9,tanh,RMSprop,25,1,3,nan
5,0.9,tanh,RMSprop,20,1,3,nan
5,0.9,tanh,RMSprop,25,1,3,nan
50,0.9,tanh,RMSprop,20,1,3,nan
20,0.9,tanh,RMSprop,25,1,3,3.7984258e-08
45,0.9,tanh,RMSprop,4,1,3,0.5241843
100,0.9,tanh,RMSprop,15,1,3,0.47037083
90,0.9,tanh,RMSprop,2,1,3,0.44395092
15,0.9,tanh,RMSprop,2,1,3,0.44376034
80,0.9,tanh,RMSprop,8,1,3,0.42611566
50,0.9,tanh,RMSprop,6,1,3,0.39721987
80,0.9,tanh,RMSprop,2,1,3,0.39038345
45,0.9,tanh,RMSprop,6,1,3,0.38795176
50,0.9,tanh,RMSprop,4,1,3,0.38267112
90,0.9,tanh,RMSprop,15,1,3,0.38043955
70,0.9,tanh,RMSprop,10,1,3,0.3771918
40,0.9,tanh,RMSprop,2,1,3,0.36473328
40,0.9,tanh,RMSprop,8,1,3,0.3587282
70,0.9,tanh,RMSprop,13,1,3,0.35701704
35,0.9,tanh,RMSprop,10,1,3,0.35573336
100,0.9,tanh,RMSprop,6,1,3,0.34095722
50,0.9,tanh,RMSprop,10,1,3,0.33611387
60,0.9,tanh,RMSprop,6,1,3,0.33542117
80,0.9,tanh,RMSprop,6,1,3,0.33463097
40,0.9,tanh,RMSprop,13,1,3,0.32374164
90,0.9,tanh,RMSprop,20,1,3,0.3229999
50,0.9,tanh,RMSprop,8,1,3,0.3167038
40,0.9,tanh,RMSprop,4,1,3,0.31423196
55,0.9,tanh,RMSprop,6,1,3,0.3138777
50,0.9,tanh,RMSprop,15,1,3,0.3105491
40,0.9,tanh,RMSprop,10,1,3,0.31051442
55,0.9,tanh,RMSprop,15,1,3,0.30643418
60,0.9,tanh,RMSprop,10,1,3,0.3055292
90,0.9,tanh,RMSprop,13,1,3,0.3001712
55,0.9,tanh,RMSprop,10,1,3,0.29926175
45,0.9,tanh,RMSprop,8,1,3,0.297556
80,0.9,tanh,RMSprop,4,1,3,0.29518154
35,0.9,tanh,RMSprop,2,1,3,0.29032287
55,0.9,tanh,RMSprop,4,1,3,0.28961053
80,0.9,tanh,RMSprop,15,1,3,0.28780568
30,0.9,tanh,RMSprop,8,1,3,0.28721705
80,0.9,tanh,RMSprop,10,1,3,0.28589886
100,0.9,tanh,RMSprop,13,1,3,0.27980763
55,0.9,tanh,RMSprop,20,1,3,0.27911443
90,0.9,tanh,RMSprop,25,1,3,0.27786732
20,0.9,tanh,RMSprop,8,1,3,0.27400354
70,0.9,tanh,RMSprop,2,1,3,0.27263293
30,0.9,tanh,RMSprop,10,1,3,0.26029542
60,0.9,tanh,RMSprop,15,1,3,0.25203952
45,0.9,tanh,RMSprop,13,1,3,0.25189054
90,0.9,tanh,RMSprop,6,1,3,0.25055787
40,0.9,tanh,RMSprop,6,1,3,0.25036535
50,0.9,tanh,RMSprop,13,1,3,0.24551831
35,0.9,tanh,RMSprop,8,1,3,0.24197246
100,0.9,tanh,RMSprop,2,1,3,0.24183258
20,0.9,tanh,RMSprop,4,1,3,0.23999907
30,0.9,tanh,RMSprop,4,1,3,0.23640506
