epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
100,0.9,tanh,RMSprop,25,1,3,nan
30,0.9,tanh,RMSprop,15,1,3,nan
35,0.9,tanh,RMSprop,25,1,3,nan
35,0.9,tanh,RMSprop,20,1,3,nan
35,0.9,tanh,RMSprop,15,1,3,nan
35,0.9,tanh,RMSprop,4,1,3,nan
30,0.9,tanh,RMSprop,25,1,3,nan
30,0.9,tanh,RMSprop,20,1,3,nan
30,0.9,tanh,RMSprop,13,1,3,nan
25,0.9,tanh,RMSprop,10,1,3,nan
55,0.9,tanh,RMSprop,25,1,3,nan
60,0.9,tanh,RMSprop,25,1,3,nan
70,0.9,tanh,RMSprop,2,1,3,nan
25,0.9,tanh,RMSprop,25,1,3,nan
25,0.9,tanh,RMSprop,20,1,3,nan
25,0.9,tanh,RMSprop,15,1,3,nan
40,0.9,tanh,RMSprop,13,1,3,nan
40,0.9,tanh,RMSprop,15,1,3,nan
40,0.9,tanh,RMSprop,20,1,3,nan
40,0.9,tanh,RMSprop,25,1,3,nan
45,0.9,tanh,RMSprop,13,1,3,nan
45,0.9,tanh,RMSprop,15,1,3,nan
45,0.9,tanh,RMSprop,20,1,3,nan
45,0.9,tanh,RMSprop,25,1,3,nan
50,0.9,tanh,RMSprop,6,1,3,nan
50,0.9,tanh,RMSprop,8,1,3,nan
50,0.9,tanh,RMSprop,10,1,3,nan
50,0.9,tanh,RMSprop,15,1,3,nan
50,0.9,tanh,RMSprop,20,1,3,nan
50,0.9,tanh,RMSprop,25,1,3,nan
55,0.9,tanh,RMSprop,10,1,3,nan
55,0.9,tanh,RMSprop,13,1,3,nan
55,0.9,tanh,RMSprop,15,1,3,nan
25,0.9,tanh,RMSprop,13,1,3,nan
60,0.9,tanh,RMSprop,20,1,3,nan
55,0.9,tanh,RMSprop,20,1,3,nan
80,0.9,tanh,RMSprop,15,1,3,nan
90,0.9,tanh,RMSprop,25,1,3,nan
100,0.9,tanh,RMSprop,13,1,3,nan
5,0.9,tanh,RMSprop,25,1,3,nan
90,0.9,tanh,RMSprop,20,1,3,nan
5,0.9,tanh,RMSprop,20,1,3,nan
5,0.9,tanh,RMSprop,15,1,3,nan
80,0.9,tanh,RMSprop,25,1,3,nan
80,0.9,tanh,RMSprop,20,1,3,nan
5,0.9,tanh,RMSprop,13,1,3,nan
100,0.9,tanh,RMSprop,2,1,3,nan
5,0.9,tanh,RMSprop,6,1,3,nan
100,0.9,tanh,RMSprop,20,1,3,nan
70,0.9,tanh,RMSprop,20,1,3,nan
80,0.9,tanh,RMSprop,4,1,3,nan
70,0.9,tanh,RMSprop,25,1,3,nan
10,0.9,tanh,RMSprop,8,1,3,9.675877e-09
10,0.9,tanh,RMSprop,15,1,3,9.675877e-09
10,0.9,tanh,RMSprop,20,1,3,9.675877e-09
10,0.9,tanh,RMSprop,25,1,3,9.675877e-09
100,0.9,tanh,RMSprop,10,1,3,0.58515364
80,0.9,tanh,RMSprop,13,1,3,0.48927984
55,0.9,tanh,RMSprop,8,1,3,0.45173222
100,0.9,tanh,RMSprop,15,1,3,0.39815846
35,0.9,tanh,RMSprop,10,1,3,0.39215246
45,0.9,tanh,RMSprop,10,1,3,0.36866695
60,0.9,tanh,RMSprop,15,1,3,0.3500286
100,0.9,tanh,RMSprop,4,1,3,0.33851147
90,0.9,tanh,RMSprop,10,1,3,0.3343331
60,0.9,tanh,RMSprop,4,1,3,0.29707804
55,0.9,tanh,RMSprop,4,1,3,0.29163116
90,0.9,tanh,RMSprop,13,1,3,0.29119876
30,0.9,tanh,RMSprop,2,1,3,0.28892034
60,0.9,tanh,RMSprop,13,1,3,0.27222398
70,0.9,tanh,RMSprop,10,1,3,0.26977646
60,0.9,tanh,RMSprop,6,1,3,0.25187308
80,0.9,tanh,RMSprop,8,1,3,0.23151807
40,0.9,tanh,RMSprop,6,1,3,0.22579947
50,0.9,tanh,RMSprop,13,1,3,0.20801836
