epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
80,0.9,tanh,RMSprop,25,1,3,nan
50,0.9,tanh,RMSprop,25,1,3,nan
60,0.9,tanh,RMSprop,25,1,3,nan
60,0.9,tanh,RMSprop,20,1,3,nan
45,0.9,tanh,RMSprop,25,1,3,nan
90,0.9,tanh,RMSprop,20,1,3,nan
60,0.9,tanh,RMSprop,6,1,3,nan
55,0.9,tanh,RMSprop,25,1,3,nan
40,0.9,tanh,RMSprop,13,1,3,nan
70,0.9,tanh,RMSprop,20,1,3,nan
40,0.9,tanh,RMSprop,20,1,3,nan
40,0.9,tanh,RMSprop,25,1,3,nan
50,0.9,tanh,RMSprop,20,1,3,nan
50,0.9,tanh,RMSprop,15,1,3,nan
45,0.9,tanh,RMSprop,10,1,3,nan
45,0.9,tanh,RMSprop,13,1,3,nan
90,0.9,tanh,RMSprop,25,1,3,nan
45,0.9,tanh,RMSprop,20,1,3,nan
70,0.9,tanh,RMSprop,25,1,3,nan
80,0.9,tanh,RMSprop,20,1,3,nan
100,0.9,tanh,RMSprop,20,1,3,nan
80,0.9,tanh,RMSprop,8,1,3,nan
25,0.9,tanh,RMSprop,25,1,3,1.6403886e-08
25,0.9,tanh,RMSprop,15,1,3,1.6403886e-08
10,0.9,tanh,RMSprop,10,1,3,1.6403886e-08
10,0.9,tanh,RMSprop,25,1,3,1.6403886e-08
10,0.9,tanh,RMSprop,20,1,3,1.6403886e-08
10,0.9,tanh,RMSprop,15,1,3,1.6403886e-08
20,0.9,tanh,RMSprop,20,1,3,1.4581231e-08
20,0.9,tanh,RMSprop,10,1,3,1.4581231e-08
20,0.9,tanh,RMSprop,25,1,3,1.4581231e-08
15,0.9,tanh,RMSprop,13,1,3,1.4581231e-08
15,0.9,tanh,RMSprop,25,1,3,1.4581231e-08
15,0.9,tanh,RMSprop,20,1,3,1.4581231e-08
15,0.9,tanh,RMSprop,15,1,3,1.4581231e-08
90,0.9,tanh,RMSprop,13,1,3,0.7741376
80,0.9,tanh,RMSprop,13,1,3,0.68528366
40,0.9,tanh,RMSprop,10,1,3,0.6793374
20,0.9,tanh,RMSprop,13,1,3,0.6715149
40,0.9,tanh,RMSprop,4,1,3,0.6604077
35,0.9,tanh,RMSprop,10,1,3,0.63838863
100,0.9,tanh,RMSprop,8,1,3,0.63472
40,0.9,tanh,RMSprop,15,1,3,0.6329901
100,0.9,tanh,RMSprop,13,1,3,0.63112485
25,0.9,tanh,RMSprop,10,1,3,0.6266272
