epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
100,0.9,tanh,RMSprop,25,1,3,nan
80,0.9,tanh,RMSprop,25,1,3,nan
25,0.9,tanh,RMSprop,15,1,3,nan
25,0.9,tanh,RMSprop,20,1,3,nan
25,0.9,tanh,RMSprop,25,1,3,nan
70,0.9,tanh,RMSprop,25,1,3,nan
70,0.9,tanh,RMSprop,20,1,3,nan
30,0.9,tanh,RMSprop,25,1,3,nan
35,0.9,tanh,RMSprop,25,1,3,nan
40,0.9,tanh,RMSprop,20,1,3,nan
40,0.9,tanh,RMSprop,25,1,3,nan
45,0.9,tanh,RMSprop,20,1,3,nan
45,0.9,tanh,RMSprop,25,1,3,nan
60,0.9,tanh,RMSprop,25,1,3,nan
50,0.9,tanh,RMSprop,4,1,3,nan
60,0.9,tanh,RMSprop,20,1,3,nan
50,0.9,tanh,RMSprop,25,1,3,nan
55,0.9,tanh,RMSprop,20,1,3,nan
55,0.9,tanh,RMSprop,25,1,3,nan
25,0.9,tanh,RMSprop,13,1,3,nan
30,0.9,tanh,RMSprop,15,1,3,nan
90,0.9,tanh,RMSprop,25,1,3,nan
90,0.9,tanh,RMSprop,15,1,3,nan
100,0.9,tanh,RMSprop,20,1,3,0.7419624
80,0.9,tanh,RMSprop,13,1,3,0.7348308
55,0.9,tanh,RMSprop,15,1,3,0.70614165
100,0.9,tanh,RMSprop,10,1,3,0.671859
70,0.9,tanh,RMSprop,10,1,3,0.67078197
70,0.9,tanh,RMSprop,15,1,3,0.6596968
90,0.9,tanh,RMSprop,10,1,3,0.61477816
90,0.9,tanh,RMSprop,20,1,3,0.60573906
90,0.9,tanh,RMSprop,6,1,3,0.5915345
45,0.9,tanh,RMSprop,15,1,3,0.59148407
30,0.9,tanh,RMSprop,10,1,3,0.5817787
55,0.9,tanh,RMSprop,10,1,3,0.5693882
60,0.9,tanh,RMSprop,4,1,3,0.5544525
100,0.9,tanh,RMSprop,13,1,3,0.550089
100,0.9,tanh,RMSprop,15,1,3,0.5478311
70,0.9,tanh,RMSprop,6,1,3,0.5454509
80,0.9,tanh,RMSprop,20,1,3,0.53149736
70,0.9,tanh,RMSprop,4,1,3,0.5276949
70,0.9,tanh,RMSprop,13,1,3,0.5121801
80,0.9,tanh,RMSprop,15,1,3,0.5106455
35,0.9,tanh,RMSprop,10,1,3,0.5056728
40,0.9,tanh,RMSprop,13,1,3,0.49365157
60,0.9,tanh,RMSprop,15,1,3,0.4912075
35,0.9,tanh,RMSprop,6,1,3,0.48758686
35,0.9,tanh,RMSprop,15,1,3,0.484882
70,0.9,tanh,RMSprop,2,1,3,0.48253074
50,0.9,tanh,RMSprop,13,1,3,0.48027655
15,0.9,tanh,RMSprop,6,1,3,0.47987854
90,0.9,tanh,RMSprop,13,1,3,0.47782207
45,0.9,tanh,RMSprop,8,1,3,0.47019544
45,0.9,tanh,RMSprop,13,1,3,0.46839046
25,0.9,tanh,RMSprop,8,1,3,0.46823642
55,0.9,tanh,RMSprop,13,1,3,0.4671368
35,0.9,tanh,RMSprop,13,1,3,0.46361366
100,0.9,tanh,RMSprop,4,1,3,0.45660546
50,0.9,tanh,RMSprop,15,1,3,0.44881928
55,0.9,tanh,RMSprop,8,1,3,0.44862473
20,0.9,tanh,RMSprop,8,1,3,0.44794047
30,0.9,tanh,RMSprop,8,1,3,0.44278055
40,0.9,tanh,RMSprop,10,1,3,0.43734512
35,0.9,tanh,RMSprop,4,1,3,0.43228707
45,0.9,tanh,RMSprop,6,1,3,0.43106303
60,0.9,tanh,RMSprop,10,1,3,0.4307405
10,0.9,tanh,RMSprop,4,1,3,0.42512336
80,0.9,tanh,RMSprop,4,1,3,0.4235122
30,0.9,tanh,RMSprop,13,1,3,0.4231331
55,0.9,tanh,RMSprop,6,1,3,0.41772577
20,0.9,tanh,RMSprop,13,1,3,0.4172428
35,0.9,tanh,RMSprop,2,1,3,0.41216722
100,0.9,tanh,RMSprop,2,1,3,0.40944672
15,0.9,tanh,RMSprop,4,1,3,0.4035219
90,0.9,tanh,RMSprop,2,1,3,0.39974758
30,0.9,tanh,RMSprop,6,1,3,0.39866912
50,0.9,tanh,RMSprop,10,1,3,0.3896201
60,0.9,tanh,RMSprop,8,1,3,0.38273272
25,0.9,tanh,RMSprop,6,1,3,0.37645105
15,0.9,tanh,RMSprop,10,1,3,0.36561027
100,0.9,tanh,RMSprop,8,1,3,0.35607418
45,0.9,tanh,RMSprop,10,1,3,0.35156968
90,0.9,tanh,RMSprop,8,1,3,0.34914893
50,0.9,tanh,RMSprop,8,1,3,0.34832704
20,0.9,tanh,RMSprop,4,1,3,0.34804115
80,0.9,tanh,RMSprop,10,1,3,0.3447732
20,0.9,tanh,RMSprop,2,1,3,0.34327382
55,0.9,tanh,RMSprop,4,1,3,0.3369704
30,0.9,tanh,RMSprop,2,1,3,0.33145916
60,0.9,tanh,RMSprop,6,1,3,0.32910368
40,0.9,tanh,RMSprop,8,1,3,0.30393904
100,0.9,tanh,RMSprop,6,1,3,0.29822496
55,0.9,tanh,RMSprop,2,1,3,0.29816946
80,0.9,tanh,RMSprop,2,1,3,0.29615158
35,0.9,tanh,RMSprop,8,1,3,0.2803879
50,0.9,tanh,RMSprop,6,1,3,0.27516362
10,0.9,tanh,RMSprop,10,1,3,0.2741631
80,0.9,tanh,RMSprop,6,1,3,0.27036443
15,0.9,tanh,RMSprop,13,1,3,0.26861584
5,0.9,tanh,RMSprop,6,1,3,0.26786074
25,0.9,tanh,RMSprop,2,1,3,0.2584588
25,0.9,tanh,RMSprop,4,1,3,0.24659112
70,0.9,tanh,RMSprop,8,1,3,0.2363303
5,0.9,tanh,RMSprop,2,1,3,0.23603122
40,0.9,tanh,RMSprop,6,1,3,0.2331337
20,0.9,tanh,RMSprop,6,1,3,0.23195477
10,0.9,tanh,RMSprop,8,1,3,0.22470751
40,0.9,tanh,RMSprop,4,1,3,0.21827325
45,0.9,tanh,RMSprop,4,1,3,0.21551621
90,0.9,tanh,RMSprop,4,1,3,0.2121978
50,0.9,tanh,RMSprop,2,1,3,0.20811988
35,0.9,tanh,RMSprop,20,1,3,0.20245068
10,0.9,tanh,RMSprop,2,1,3,0.19769578
60,0.9,tanh,RMSprop,2,1,3,0.18816984
15,0.9,tanh,RMSprop,2,1,3,0.1656693
40,0.9,tanh,RMSprop,2,1,3,0.15907384
10,0.9,tanh,RMSprop,6,1,3,0.12884544
45,0.9,tanh,RMSprop,2,1,3,0.12715222
5,0.9,tanh,RMSprop,8,1,3,0.110178724
60,0.9,tanh,RMSprop,13,1,3,0.084815726
25,0.9,tanh,RMSprop,10,1,3,0.059307158
30,0.9,tanh,RMSprop,20,1,3,0.053693984
80,0.9,tanh,RMSprop,8,1,3,0.051604897
30,0.9,tanh,RMSprop,4,1,3,0.01688221
10,0.9,tanh,RMSprop,20,1,3,0.0
5,0.9,tanh,RMSprop,10,1,3,0.0
5,0.9,tanh,RMSprop,13,1,3,0.0
5,0.9,tanh,RMSprop,15,1,3,0.0
5,0.9,tanh,RMSprop,20,1,3,0.0
5,0.9,tanh,RMSprop,25,1,3,0.0
10,0.9,tanh,RMSprop,13,1,3,0.0
10,0.9,tanh,RMSprop,15,1,3,0.0
10,0.9,tanh,RMSprop,25,1,3,0.0
15,0.9,tanh,RMSprop,8,1,3,0.0
15,0.9,tanh,RMSprop,15,1,3,0.0
15,0.9,tanh,RMSprop,20,1,3,0.0
20,0.9,tanh,RMSprop,25,1,3,0.0
20,0.9,tanh,RMSprop,20,1,3,0.0
20,0.9,tanh,RMSprop,10,1,3,0.0
15,0.9,tanh,RMSprop,25,1,3,0.0
50,0.9,tanh,RMSprop,20,1,3,-0.26881015
40,0.9,tanh,RMSprop,15,1,3,-0.268275
20,0.9,tanh,RMSprop,15,1,3,-0.2519088
5,0.9,tanh,RMSprop,4,1,3,-0.015096889
