epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
100,0.9,tanh,RMSprop,25,1,3,nan
40,0.9,tanh,RMSprop,20,1,3,nan
70,0.9,tanh,RMSprop,13,1,3,nan
30,0.9,tanh,RMSprop,13,1,3,nan
30,0.9,tanh,RMSprop,15,1,3,nan
30,0.9,tanh,RMSprop,20,1,3,nan
30,0.9,tanh,RMSprop,25,1,3,nan
35,0.9,tanh,RMSprop,13,1,3,nan
35,0.9,tanh,RMSprop,15,1,3,nan
35,0.9,tanh,RMSprop,20,1,3,nan
35,0.9,tanh,RMSprop,25,1,3,nan
60,0.9,tanh,RMSprop,25,1,3,nan
40,0.9,tanh,RMSprop,13,1,3,nan
60,0.9,tanh,RMSprop,20,1,3,nan
40,0.9,tanh,RMSprop,25,1,3,nan
70,0.9,tanh,RMSprop,25,1,3,nan
60,0.9,tanh,RMSprop,15,1,3,nan
60,0.9,tanh,RMSprop,13,1,3,nan
45,0.9,tanh,RMSprop,13,1,3,nan
45,0.9,tanh,RMSprop,15,1,3,nan
45,0.9,tanh,RMSprop,20,1,3,nan
45,0.9,tanh,RMSprop,25,1,3,nan
50,0.9,tanh,RMSprop,13,1,3,nan
50,0.9,tanh,RMSprop,15,1,3,nan
50,0.9,tanh,RMSprop,20,1,3,nan
50,0.9,tanh,RMSprop,25,1,3,nan
55,0.9,tanh,RMSprop,25,1,3,nan
55,0.9,tanh,RMSprop,20,1,3,nan
70,0.9,tanh,RMSprop,20,1,3,nan
55,0.9,tanh,RMSprop,15,1,3,nan
90,0.9,tanh,RMSprop,20,1,3,nan
90,0.9,tanh,RMSprop,25,1,3,nan
100,0.9,tanh,RMSprop,20,1,3,nan
80,0.9,tanh,RMSprop,15,1,3,nan
80,0.9,tanh,RMSprop,25,1,3,nan
80,0.9,tanh,RMSprop,20,1,3,nan
5,0.9,tanh,RMSprop,8,1,3,1.5982668e-08
5,0.9,tanh,RMSprop,13,1,3,1.5982668e-08
5,0.9,tanh,RMSprop,15,1,3,1.5982668e-08
5,0.9,tanh,RMSprop,20,1,3,1.5982668e-08
10,0.9,tanh,RMSprop,25,1,3,1.5982668e-08
5,0.9,tanh,RMSprop,25,1,3,1.5982668e-08
10,0.9,tanh,RMSprop,20,1,3,1.5982668e-08
10,0.9,tanh,RMSprop,15,1,3,1.5982668e-08
10,0.9,tanh,RMSprop,13,1,3,1.5982668e-08
10,0.9,tanh,RMSprop,8,1,3,1.5982668e-08
25,0.9,tanh,RMSprop,15,1,3,1.1987001e-08
25,0.9,tanh,RMSprop,25,1,3,1.1987001e-08
25,0.9,tanh,RMSprop,20,1,3,1.1987001e-08
25,0.9,tanh,RMSprop,13,1,3,0.5606886
100,0.9,tanh,RMSprop,4,1,3,0.5251242
35,0.9,tanh,RMSprop,4,1,3,0.5181007
20,0.9,tanh,RMSprop,8,1,3,0.49809033
60,0.9,tanh,RMSprop,6,1,3,0.49001855
15,0.9,tanh,RMSprop,4,1,3,0.48753953
55,0.9,tanh,RMSprop,6,1,3,0.48455235
100,0.9,tanh,RMSprop,6,1,3,0.47445503
15,0.9,tanh,RMSprop,6,1,3,0.47397268
70,0.9,tanh,RMSprop,15,1,3,0.45599422
35,0.9,tanh,RMSprop,8,1,3,0.45200214
60,0.9,tanh,RMSprop,4,1,3,0.4457664
40,0.9,tanh,RMSprop,8,1,3,0.4399864
25,0.9,tanh,RMSprop,4,1,3,0.43908027
30,0.9,tanh,RMSprop,8,1,3,0.43526393
25,0.9,tanh,RMSprop,6,1,3,0.43253142
40,0.9,tanh,RMSprop,6,1,3,0.41636196
40,0.9,tanh,RMSprop,2,1,3,0.4109591
50,0.9,tanh,RMSprop,6,1,3,0.40900412
30,0.9,tanh,RMSprop,4,1,3,0.40429473
15,0.9,tanh,RMSprop,2,1,3,0.40412736
35,0.9,tanh,RMSprop,2,1,3,0.39946365
100,0.9,tanh,RMSprop,8,1,3,0.39896476
60,0.9,tanh,RMSprop,8,1,3,0.3971263
100,0.9,tanh,RMSprop,13,1,3,0.39565066
35,0.9,tanh,RMSprop,10,1,3,0.39409965
90,0.9,tanh,RMSprop,4,1,3,0.38732088
70,0.9,tanh,RMSprop,6,1,3,0.38711193
30,0.9,tanh,RMSprop,6,1,3,0.38490722
15,0.9,tanh,RMSprop,8,1,3,0.38429508
55,0.9,tanh,RMSprop,10,1,3,0.38014412
80,0.9,tanh,RMSprop,13,1,3,0.37706748
20,0.9,tanh,RMSprop,2,1,3,0.375631
45,0.9,tanh,RMSprop,4,1,3,0.37425038
70,0.9,tanh,RMSprop,8,1,3,0.36904988
45,0.9,tanh,RMSprop,6,1,3,0.36882174
90,0.9,tanh,RMSprop,13,1,3,0.36869103
25,0.9,tanh,RMSprop,8,1,3,0.3666524
45,0.9,tanh,RMSprop,8,1,3,0.36259186
35,0.9,tanh,RMSprop,6,1,3,0.3572349
70,0.9,tanh,RMSprop,10,1,3,0.35450855
25,0.9,tanh,RMSprop,10,1,3,0.35185635
50,0.9,tanh,RMSprop,10,1,3,0.34975874
30,0.9,tanh,RMSprop,10,1,3,0.34073287
80,0.9,tanh,RMSprop,10,1,3,0.3365535
45,0.9,tanh,RMSprop,2,1,3,0.33324376
45,0.9,tanh,RMSprop,10,1,3,0.33079857
60,0.9,tanh,RMSprop,10,1,3,0.32696056
100,0.9,tanh,RMSprop,15,1,3,0.3256754
10,0.9,tanh,RMSprop,2,1,3,0.30983573
50,0.9,tanh,RMSprop,4,1,3,0.30389515
90,0.9,tanh,RMSprop,8,1,3,0.30276296
55,0.9,tanh,RMSprop,4,1,3,0.29529428
60,0.9,tanh,RMSprop,2,1,3,0.29366854
90,0.9,tanh,RMSprop,2,1,3,0.2903906
25,0.9,tanh,RMSprop,2,1,3,0.28640315
30,0.9,tanh,RMSprop,2,1,3,0.28369245
20,0.9,tanh,RMSprop,4,1,3,0.28014705
10,0.9,tanh,RMSprop,10,1,3,0.27993926
20,0.9,tanh,RMSprop,6,1,3,0.27067485
100,0.9,tanh,RMSprop,10,1,3,0.27058044
10,0.9,tanh,RMSprop,4,1,3,0.26777306
80,0.9,tanh,RMSprop,4,1,3,0.2673126
55,0.9,tanh,RMSprop,8,1,3,0.2619966
55,0.9,tanh,RMSprop,13,1,3,0.2607352
20,0.9,tanh,RMSprop,10,1,3,0.2580536
