epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
20,0.9,tanh,RMSprop,13,1,3,nan
10,0.9,tanh,RMSprop,8,1,3,nan
20,0.9,tanh,RMSprop,15,1,3,nan
20,0.9,tanh,RMSprop,20,1,3,nan
20,0.9,tanh,RMSprop,25,1,3,nan
10,0.9,tanh,RMSprop,25,1,3,nan
10,0.9,tanh,RMSprop,20,1,3,nan
10,0.9,tanh,RMSprop,15,1,3,nan
10,0.9,tanh,RMSprop,13,1,3,nan
10,0.9,tanh,RMSprop,10,1,3,nan
40,0.9,tanh,RMSprop,10,1,3,nan
40,0.9,tanh,RMSprop,13,1,3,nan
40,0.9,tanh,RMSprop,15,1,3,nan
5,0.9,tanh,RMSprop,25,1,3,nan
5,0.9,tanh,RMSprop,20,1,3,nan
5,0.9,tanh,RMSprop,15,1,3,nan
5,0.9,tanh,RMSprop,13,1,3,nan
40,0.9,tanh,RMSprop,20,1,3,nan
40,0.9,tanh,RMSprop,25,1,3,nan
5,0.9,tanh,RMSprop,6,1,3,nan
15,0.9,tanh,RMSprop,20,1,3,3.7419127e-08
35,0.9,tanh,RMSprop,13,1,3,3.7419127e-08
15,0.9,tanh,RMSprop,25,1,3,3.7419127e-08
15,0.9,tanh,RMSprop,15,1,3,3.7419127e-08
15,0.9,tanh,RMSprop,13,1,3,3.7419127e-08
15,0.9,tanh,RMSprop,10,1,3,3.7419127e-08
35,0.9,tanh,RMSprop,25,1,3,3.7419127e-08
35,0.9,tanh,RMSprop,20,1,3,3.7419127e-08
35,0.9,tanh,RMSprop,15,1,3,3.7419127e-08
100,0.9,tanh,RMSprop,6,1,3,0.5817939
60,0.9,tanh,RMSprop,4,1,3,0.57777876
45,0.9,tanh,RMSprop,8,1,3,0.5775129
40,0.9,tanh,RMSprop,8,1,3,0.5742797
70,0.9,tanh,RMSprop,4,1,3,0.5732918
70,0.9,tanh,RMSprop,6,1,3,0.5688733
30,0.9,tanh,RMSprop,6,1,3,0.56029993
90,0.9,tanh,RMSprop,6,1,3,0.56017447
35,0.9,tanh,RMSprop,4,1,3,0.54007703
80,0.9,tanh,RMSprop,8,1,3,0.53845745
20,0.9,tanh,RMSprop,4,1,3,0.53444177
70,0.9,tanh,RMSprop,2,1,3,0.5245322
30,0.9,tanh,RMSprop,8,1,3,0.5220502
60,0.9,tanh,RMSprop,6,1,3,0.5204201
15,0.9,tanh,RMSprop,4,1,3,0.5202151
100,0.9,tanh,RMSprop,2,1,3,0.51988083
50,0.9,tanh,RMSprop,6,1,3,0.5191475
40,0.9,tanh,RMSprop,4,1,3,0.51788455
90,0.9,tanh,RMSprop,4,1,3,0.5149634
40,0.9,tanh,RMSprop,6,1,3,0.51210344
45,0.9,tanh,RMSprop,2,1,3,0.5085594
60,0.9,tanh,RMSprop,2,1,3,0.506562
40,0.9,tanh,RMSprop,2,1,3,0.5060506
35,0.9,tanh,RMSprop,2,1,3,0.50590074
80,0.9,tanh,RMSprop,2,1,3,0.50450045
50,0.9,tanh,RMSprop,2,1,3,0.5029924
20,0.9,tanh,RMSprop,8,1,3,0.50296926
20,0.9,tanh,RMSprop,6,1,3,0.49666753
50,0.9,tanh,RMSprop,4,1,3,0.4958595
30,0.9,tanh,RMSprop,2,1,3,0.49040562
10,0.9,tanh,RMSprop,6,1,3,0.48838404
10,0.9,tanh,RMSprop,4,1,3,0.48611414
100,0.9,tanh,RMSprop,10,1,3,0.48520282
30,0.9,tanh,RMSprop,4,1,3,0.4813915
50,0.9,tanh,RMSprop,8,1,3,0.48054066
5,0.9,tanh,RMSprop,2,1,3,0.47652254
20,0.9,tanh,RMSprop,2,1,3,0.47552863
10,0.9,tanh,RMSprop,2,1,3,0.47328427
80,0.9,tanh,RMSprop,4,1,3,0.47075948
90,0.9,tanh,RMSprop,10,1,3,0.4688516
70,0.9,tanh,RMSprop,8,1,3,0.45773545
15,0.9,tanh,RMSprop,6,1,3,0.45710257
55,0.9,tanh,RMSprop,10,1,3,0.44821316
100,0.9,tanh,RMSprop,4,1,3,0.4480582
35,0.9,tanh,RMSprop,6,1,3,0.42104417
55,0.9,tanh,RMSprop,2,1,3,0.41544124
35,0.9,tanh,RMSprop,10,1,3,0.41177475
15,0.9,tanh,RMSprop,2,1,3,0.40872285
15,0.9,tanh,RMSprop,8,1,3,0.40720624
25,0.9,tanh,RMSprop,2,1,3,0.3940137
80,0.9,tanh,RMSprop,6,1,3,0.38408145
70,0.9,tanh,RMSprop,13,1,3,0.37290138
45,0.9,tanh,RMSprop,4,1,3,0.36614218
100,0.9,tanh,RMSprop,15,1,3,0.3457086
50,0.9,tanh,RMSprop,10,1,3,0.34453246
25,0.9,tanh,RMSprop,8,1,3,0.33240354
55,0.9,tanh,RMSprop,4,1,3,0.32131222
30,0.9,tanh,RMSprop,10,1,3,0.3181292
5,0.9,tanh,RMSprop,4,1,3,0.30906382
70,0.9,tanh,RMSprop,10,1,3,0.29049152
55,0.9,tanh,RMSprop,8,1,3,0.28177682
55,0.9,tanh,RMSprop,15,1,3,0.2668181
20,0.9,tanh,RMSprop,10,1,3,0.25453305
90,0.9,tanh,RMSprop,8,1,3,0.25282264
5,0.9,tanh,RMSprop,10,1,3,0.24407277
80,0.9,tanh,RMSprop,10,1,3,0.23741633
80,0.9,tanh,RMSprop,13,1,3,0.23181103
5,0.9,tanh,RMSprop,8,1,3,0.12853806
60,0.9,tanh,RMSprop,8,1,3,0.11562686
90,0.9,tanh,RMSprop,2,1,3,0.10864811
45,0.9,tanh,RMSprop,13,1,3,0.07913338
25,0.9,tanh,RMSprop,6,1,3,0.024537308
100,0.9,tanh,RMSprop,8,1,3,0.012003344
70,0.9,tanh,RMSprop,25,1,3,-3.7419127e-08
70,0.9,tanh,RMSprop,20,1,3,-3.7419127e-08
100,0.9,tanh,RMSprop,13,1,3,-3.7419127e-08
100,0.9,tanh,RMSprop,20,1,3,-3.7419127e-08
90,0.9,tanh,RMSprop,20,1,3,-3.7419127e-08
90,0.9,tanh,RMSprop,15,1,3,-3.7419127e-08
80,0.9,tanh,RMSprop,20,1,3,-3.7419127e-08
80,0.9,tanh,RMSprop,25,1,3,-3.7419127e-08
70,0.9,tanh,RMSprop,15,1,3,-3.7419127e-08
90,0.9,tanh,RMSprop,25,1,3,-3.7419127e-08
90,0.9,tanh,RMSprop,13,1,3,-3.7419127e-08
80,0.9,tanh,RMSprop,15,1,3,-3.7419127e-08
60,0.9,tanh,RMSprop,13,1,3,-3.7419127e-08
50,0.9,tanh,RMSprop,13,1,3,-3.7419127e-08
25,0.9,tanh,RMSprop,13,1,3,-3.7419127e-08
30,0.9,tanh,RMSprop,25,1,3,-3.7419127e-08
30,0.9,tanh,RMSprop,20,1,3,-3.7419127e-08
30,0.9,tanh,RMSprop,15,1,3,-3.7419127e-08
30,0.9,tanh,RMSprop,13,1,3,-3.7419127e-08
45,0.9,tanh,RMSprop,6,1,3,-3.7419127e-08
45,0.9,tanh,RMSprop,10,1,3,-3.7419127e-08
45,0.9,tanh,RMSprop,15,1,3,-3.7419127e-08
45,0.9,tanh,RMSprop,20,1,3,-3.7419127e-08
45,0.9,tanh,RMSprop,25,1,3,-3.7419127e-08
25,0.9,tanh,RMSprop,25,1,3,-3.7419127e-08
25,0.9,tanh,RMSprop,20,1,3,-3.7419127e-08
25,0.9,tanh,RMSprop,15,1,3,-3.7419127e-08
100,0.9,tanh,RMSprop,25,1,3,-3.7419127e-08
60,0.9,tanh,RMSprop,25,1,3,-3.7419127e-08
50,0.9,tanh,RMSprop,15,1,3,-3.7419127e-08
50,0.9,tanh,RMSprop,20,1,3,-3.7419127e-08
50,0.9,tanh,RMSprop,25,1,3,-3.7419127e-08
55,0.9,tanh,RMSprop,6,1,3,-3.7419127e-08
55,0.9,tanh,RMSprop,13,1,3,-3.7419127e-08
55,0.9,tanh,RMSprop,20,1,3,-3.7419127e-08
55,0.9,tanh,RMSprop,25,1,3,-3.7419127e-08
25,0.9,tanh,RMSprop,10,1,3,-3.7419127e-08
60,0.9,tanh,RMSprop,10,1,3,-3.7419127e-08
60,0.9,tanh,RMSprop,15,1,3,-3.7419127e-08
60,0.9,tanh,RMSprop,20,1,3,-3.7419127e-08
25,0.9,tanh,RMSprop,4,1,3,-0.16290249
35,0.9,tanh,RMSprop,8,1,3,-0.07005675
