epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
28,1.0,tanh,Adagrad,12,1,2,0.72837514
30,1.0,tanh,Adagrad,10,1,2,0.7189237
20,1.0,tanh,Adagrad,16,1,2,0.7144851
30,1.0,tanh,Adagrad,8,1,2,0.68965125
22,1.0,tanh,Adagrad,6,1,2,0.68438953
20,1.0,tanh,Adagrad,6,1,2,0.67514914
30,1.0,tanh,Adagrad,12,1,2,0.65235436
22,1.0,tanh,Adagrad,8,1,2,0.650813
26,1.0,tanh,Adagrad,6,1,2,0.6392835
24,1.0,tanh,Adagrad,8,1,2,0.6275848
30,1.0,tanh,Adagrad,6,1,2,0.62154615
30,1.0,tanh,Adagrad,14,1,2,0.61255735
28,1.0,tanh,Adagrad,8,1,2,0.5928008
24,1.0,tanh,Adagrad,6,1,2,0.5877597
26,1.0,tanh,Adagrad,8,1,2,0.5854782
20,1.0,tanh,Adagrad,10,1,2,0.5283209
22,1.0,tanh,Adagrad,10,1,2,0.5176737
24,1.0,tanh,Adagrad,10,1,2,0.5091499
20,1.0,tanh,Adagrad,12,1,2,0.38650686
28,1.0,tanh,Adagrad,6,1,2,0.33646247
20,1.0,tanh,Adagrad,8,1,2,0.30032402
24,1.0,tanh,Adagrad,12,1,2,0.23239455
28,1.0,tanh,Adagrad,10,1,2,0.11197228
26,1.0,tanh,Adagrad,10,1,2,0.03323204
24,1.0,tanh,Adagrad,14,1,2,0.01298384
26,1.0,tanh,Adagrad,14,1,2,0.011919537
26,1.0,tanh,Adagrad,16,1,2,0.011519716
24,1.0,tanh,Adagrad,16,1,2,0.010984251
28,1.0,tanh,Adagrad,16,1,2,0.010812619
22,1.0,tanh,Adagrad,16,1,2,0.010809065
26,1.0,tanh,Adagrad,12,1,2,0.010679476
22,1.0,tanh,Adagrad,14,1,2,0.010508753
22,1.0,tanh,Adagrad,12,1,2,0.010463889
28,1.0,tanh,Adagrad,14,1,2,0.010442698
30,1.0,tanh,Adagrad,16,1,2,0.0102778785
20,1.0,tanh,Adagrad,14,1,2,0.010002171
