epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
15,0.9,tanh,RMSprop,25,1,3,nan
25,0.9,tanh,RMSprop,25,1,3,nan
15,0.9,tanh,RMSprop,20,1,3,nan
5,0.9,tanh,RMSprop,25,1,3,7.1229307e-09
20,0.9,tanh,RMSprop,10,1,3,7.1229307e-09
10,0.9,tanh,RMSprop,25,1,3,7.1229307e-09
10,0.9,tanh,RMSprop,20,1,3,7.1229307e-09
20,0.9,tanh,RMSprop,25,1,3,7.1229307e-09
30,0.9,tanh,RMSprop,25,1,3,7.1229307e-09
5,0.9,tanh,RMSprop,20,1,3,7.1229307e-09
5,0.9,tanh,RMSprop,15,1,3,7.1229307e-09
5,0.9,tanh,RMSprop,13,1,3,7.1229307e-09
5,0.9,tanh,RMSprop,10,1,3,7.1229307e-09
30,0.9,tanh,RMSprop,20,1,3,7.1229307e-09
60,0.9,tanh,RMSprop,13,1,3,0.4990189
70,0.9,tanh,RMSprop,2,1,3,0.4752915
80,0.9,tanh,RMSprop,8,1,3,0.45403358
50,0.9,tanh,RMSprop,13,1,3,0.4453424
80,0.9,tanh,RMSprop,6,1,3,0.44118342
100,0.9,tanh,RMSprop,8,1,3,0.43303305
70,0.9,tanh,RMSprop,4,1,3,0.4311821
20,0.9,tanh,RMSprop,6,1,3,0.41264802
25,0.9,tanh,RMSprop,2,1,3,0.39952126
60,0.9,tanh,RMSprop,6,1,3,0.38684496
80,0.9,tanh,RMSprop,2,1,3,0.36930034
10,0.9,tanh,RMSprop,10,1,3,0.3567944
40,0.9,tanh,RMSprop,10,1,3,0.34843576
60,0.9,tanh,RMSprop,10,1,3,0.34669733
30,0.9,tanh,RMSprop,2,1,3,0.34545958
100,0.9,tanh,RMSprop,6,1,3,0.336518
40,0.9,tanh,RMSprop,4,1,3,0.3334476
15,0.9,tanh,RMSprop,10,1,3,0.3285411
35,0.9,tanh,RMSprop,15,1,3,0.3215485
45,0.9,tanh,RMSprop,4,1,3,0.3200383
100,0.9,tanh,RMSprop,15,1,3,0.31753355
25,0.9,tanh,RMSprop,15,1,3,0.31549448
90,0.9,tanh,RMSprop,6,1,3,0.30206177
90,0.9,tanh,RMSprop,20,1,3,0.3004275
15,0.9,tanh,RMSprop,13,1,3,0.29393774
70,0.9,tanh,RMSprop,20,1,3,0.29245266
80,0.9,tanh,RMSprop,10,1,3,0.29232618
80,0.9,tanh,RMSprop,13,1,3,0.28082713
50,0.9,tanh,RMSprop,4,1,3,0.27896684
90,0.9,tanh,RMSprop,2,1,3,0.27839637
90,0.9,tanh,RMSprop,8,1,3,0.27652588
25,0.9,tanh,RMSprop,10,1,3,0.27334353
80,0.9,tanh,RMSprop,25,1,3,0.27000874
