epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
45,0.9,tanh,RMSprop,2,1,3,nan
45,0.9,tanh,RMSprop,20,1,3,nan
55,0.9,tanh,RMSprop,20,1,3,nan
55,0.9,tanh,RMSprop,15,1,3,nan
50,0.9,tanh,RMSprop,25,1,3,nan
50,0.9,tanh,RMSprop,20,1,3,nan
50,0.9,tanh,RMSprop,15,1,3,nan
45,0.9,tanh,RMSprop,25,1,3,nan
45,0.9,tanh,RMSprop,15,1,3,nan
60,0.9,tanh,RMSprop,8,1,3,nan
45,0.9,tanh,RMSprop,8,1,3,nan
40,0.9,tanh,RMSprop,25,1,3,nan
40,0.9,tanh,RMSprop,20,1,3,nan
40,0.9,tanh,RMSprop,15,1,3,nan
25,0.9,tanh,RMSprop,25,1,3,nan
25,0.9,tanh,RMSprop,20,1,3,nan
55,0.9,tanh,RMSprop,25,1,3,nan
60,0.9,tanh,RMSprop,15,1,3,nan
25,0.9,tanh,RMSprop,10,1,3,nan
80,0.9,tanh,RMSprop,20,1,3,nan
100,0.9,tanh,RMSprop,20,1,3,nan
100,0.9,tanh,RMSprop,2,1,3,nan
90,0.9,tanh,RMSprop,25,1,3,nan
90,0.9,tanh,RMSprop,20,1,3,nan
90,0.9,tanh,RMSprop,10,1,3,nan
80,0.9,tanh,RMSprop,25,1,3,nan
80,0.9,tanh,RMSprop,13,1,3,nan
60,0.9,tanh,RMSprop,20,1,3,nan
80,0.9,tanh,RMSprop,6,1,3,nan
70,0.9,tanh,RMSprop,25,1,3,nan
70,0.9,tanh,RMSprop,20,1,3,nan
70,0.9,tanh,RMSprop,13,1,3,nan
70,0.9,tanh,RMSprop,6,1,3,nan
60,0.9,tanh,RMSprop,25,1,3,nan
25,0.9,tanh,RMSprop,15,1,3,nan
100,0.9,tanh,RMSprop,25,1,3,nan
5,0.9,tanh,RMSprop,15,1,3,nan
5,0.9,tanh,RMSprop,25,1,3,nan
5,0.9,tanh,RMSprop,13,1,3,nan
5,0.9,tanh,RMSprop,10,1,3,nan
5,0.9,tanh,RMSprop,20,1,3,nan
30,0.9,tanh,RMSprop,8,1,3,4.438374e-08
30,0.9,tanh,RMSprop,20,1,3,4.438374e-08
20,0.9,tanh,RMSprop,25,1,3,4.438374e-08
20,0.9,tanh,RMSprop,20,1,3,4.438374e-08
20,0.9,tanh,RMSprop,15,1,3,4.438374e-08
20,0.9,tanh,RMSprop,13,1,3,4.438374e-08
20,0.9,tanh,RMSprop,8,1,3,4.438374e-08
20,0.9,tanh,RMSprop,10,1,3,4.438374e-08
30,0.9,tanh,RMSprop,25,1,3,4.438374e-08
30,0.9,tanh,RMSprop,13,1,3,4.438374e-08
30,0.9,tanh,RMSprop,15,1,3,4.438374e-08
90,0.9,tanh,RMSprop,8,1,3,0.4977263
55,0.9,tanh,RMSprop,13,1,3,0.49488193
40,0.9,tanh,RMSprop,6,1,3,0.49066004
30,0.9,tanh,RMSprop,10,1,3,0.45452017
35,0.9,tanh,RMSprop,8,1,3,0.44800213
50,0.9,tanh,RMSprop,13,1,3,0.44512123
100,0.9,tanh,RMSprop,15,1,3,0.4132977
55,0.9,tanh,RMSprop,8,1,3,0.41210708
35,0.9,tanh,RMSprop,6,1,3,0.40725705
55,0.9,tanh,RMSprop,4,1,3,0.40627277
20,0.9,tanh,RMSprop,4,1,3,0.39573961
55,0.9,tanh,RMSprop,2,1,3,0.38478252
100,0.9,tanh,RMSprop,13,1,3,0.38231233
5,0.9,tanh,RMSprop,8,1,3,0.3791127
15,0.9,tanh,RMSprop,4,1,3,0.37849274
90,0.9,tanh,RMSprop,15,1,3,0.37777713
10,0.9,tanh,RMSprop,4,1,3,0.37706742
50,0.9,tanh,RMSprop,10,1,3,0.37457138
60,0.9,tanh,RMSprop,6,1,3,0.37186542
60,0.9,tanh,RMSprop,13,1,3,0.37069836
25,0.9,tanh,RMSprop,8,1,3,0.37044194
20,0.9,tanh,RMSprop,6,1,3,0.36335504
25,0.9,tanh,RMSprop,13,1,3,0.3558021
10,0.9,tanh,RMSprop,2,1,3,0.35507607
15,0.9,tanh,RMSprop,2,1,3,0.3540707
25,0.9,tanh,RMSprop,2,1,3,0.35159558
35,0.9,tanh,RMSprop,2,1,3,0.3374721
70,0.9,tanh,RMSprop,8,1,3,0.31762257
20,0.9,tanh,RMSprop,2,1,3,0.30534932
80,0.9,tanh,RMSprop,2,1,3,0.3039629
45,0.9,tanh,RMSprop,10,1,3,0.302983
30,0.9,tanh,RMSprop,2,1,3,0.29761305
40,0.9,tanh,RMSprop,13,1,3,0.2925429
10,0.9,tanh,RMSprop,8,1,3,0.29159597
5,0.9,tanh,RMSprop,2,1,3,0.2902467
30,0.9,tanh,RMSprop,6,1,3,0.28824618
5,0.9,tanh,RMSprop,4,1,3,0.28550464
80,0.9,tanh,RMSprop,10,1,3,0.27605063
15,0.9,tanh,RMSprop,10,1,3,0.2738659
10,0.9,tanh,RMSprop,10,1,3,0.2735091
55,0.9,tanh,RMSprop,10,1,3,0.26876447
10,0.9,tanh,RMSprop,6,1,3,0.26793575
90,0.9,tanh,RMSprop,2,1,3,0.26085514
30,0.9,tanh,RMSprop,4,1,3,0.25903144
