epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
100,0.9,tanh,RMSprop,25,1,3,nan
15,0.9,tanh,RMSprop,4,1,3,nan
15,0.9,tanh,RMSprop,13,1,3,nan
15,0.9,tanh,RMSprop,20,1,3,nan
15,0.9,tanh,RMSprop,25,1,3,nan
40,0.9,tanh,RMSprop,20,1,3,nan
40,0.9,tanh,RMSprop,15,1,3,nan
35,0.9,tanh,RMSprop,25,1,3,nan
70,0.9,tanh,RMSprop,25,1,3,nan
70,0.9,tanh,RMSprop,20,1,3,nan
35,0.9,tanh,RMSprop,20,1,3,nan
35,0.9,tanh,RMSprop,15,1,3,nan
30,0.9,tanh,RMSprop,25,1,3,nan
30,0.9,tanh,RMSprop,20,1,3,nan
60,0.9,tanh,RMSprop,25,1,3,nan
60,0.9,tanh,RMSprop,20,1,3,nan
30,0.9,tanh,RMSprop,15,1,3,nan
40,0.9,tanh,RMSprop,25,1,3,nan
15,0.9,tanh,RMSprop,15,1,3,nan
55,0.9,tanh,RMSprop,25,1,3,nan
45,0.9,tanh,RMSprop,20,1,3,nan
50,0.9,tanh,RMSprop,25,1,3,nan
100,0.9,tanh,RMSprop,15,1,3,nan
50,0.9,tanh,RMSprop,20,1,3,nan
50,0.9,tanh,RMSprop,15,1,3,nan
90,0.9,tanh,RMSprop,25,1,3,nan
55,0.9,tanh,RMSprop,20,1,3,nan
90,0.9,tanh,RMSprop,20,1,3,nan
45,0.9,tanh,RMSprop,25,1,3,nan
30,0.9,tanh,RMSprop,13,1,3,nan
80,0.9,tanh,RMSprop,13,1,3,nan
45,0.9,tanh,RMSprop,15,1,3,nan
80,0.9,tanh,RMSprop,25,1,3,nan
80,0.9,tanh,RMSprop,20,1,3,nan
70,0.9,tanh,RMSprop,4,1,3,0.6265214
70,0.9,tanh,RMSprop,13,1,3,0.6250283
20,0.9,tanh,RMSprop,10,1,3,0.607706
30,0.9,tanh,RMSprop,10,1,3,0.6062479
40,0.9,tanh,RMSprop,6,1,3,0.59368294
45,0.9,tanh,RMSprop,4,1,3,0.5934863
90,0.9,tanh,RMSprop,10,1,3,0.5832237
20,0.9,tanh,RMSprop,6,1,3,0.5769937
100,0.9,tanh,RMSprop,10,1,3,0.57377356
70,0.9,tanh,RMSprop,15,1,3,0.5722174
30,0.9,tanh,RMSprop,2,1,3,0.56371593
80,0.9,tanh,RMSprop,6,1,3,0.5631009
55,0.9,tanh,RMSprop,2,1,3,0.5621707
35,0.9,tanh,RMSprop,10,1,3,0.56096387
55,0.9,tanh,RMSprop,6,1,3,0.55726177
40,0.9,tanh,RMSprop,2,1,3,0.55633056
15,0.9,tanh,RMSprop,6,1,3,0.5527893
35,0.9,tanh,RMSprop,13,1,3,0.5512869
70,0.9,tanh,RMSprop,10,1,3,0.5485112
45,0.9,tanh,RMSprop,13,1,3,0.5463006
50,0.9,tanh,RMSprop,4,1,3,0.5429824
35,0.9,tanh,RMSprop,8,1,3,0.5401782
55,0.9,tanh,RMSprop,8,1,3,0.53100884
60,0.9,tanh,RMSprop,15,1,3,0.52766025
50,0.9,tanh,RMSprop,6,1,3,0.52728033
15,0.9,tanh,RMSprop,2,1,3,0.52574074
80,0.9,tanh,RMSprop,15,1,3,0.5215524
50,0.9,tanh,RMSprop,2,1,3,0.52064896
100,0.9,tanh,RMSprop,20,1,3,0.51594377
70,0.9,tanh,RMSprop,2,1,3,0.51052797
60,0.9,tanh,RMSprop,13,1,3,0.5084821
10,0.9,tanh,RMSprop,2,1,3,0.5053679
90,0.9,tanh,RMSprop,13,1,3,0.5052518
20,0.9,tanh,RMSprop,8,1,3,0.5020651
35,0.9,tanh,RMSprop,4,1,3,0.49952853
25,0.9,tanh,RMSprop,6,1,3,0.49921873
10,0.9,tanh,RMSprop,4,1,3,0.49820533
25,0.9,tanh,RMSprop,2,1,3,0.49136475
55,0.9,tanh,RMSprop,15,1,3,0.49109876
80,0.9,tanh,RMSprop,10,1,3,0.49088818
40,0.9,tanh,RMSprop,10,1,3,0.48452207
80,0.9,tanh,RMSprop,2,1,3,0.48050475
100,0.9,tanh,RMSprop,13,1,3,0.47967252
60,0.9,tanh,RMSprop,10,1,3,0.4703238
35,0.9,tanh,RMSprop,6,1,3,0.46303976
55,0.9,tanh,RMSprop,13,1,3,0.45988283
50,0.9,tanh,RMSprop,13,1,3,0.45724785
