epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
20,1.0,tanh,RMSprop,10,1,3,0.5568955
100,1.0,tanh,RMSprop,5,1,3,0.54911286
80,1.0,tanh,RMSprop,5,1,3,0.53665185
60,1.0,tanh,RMSprop,15,1,3,0.52265954
20,1.0,tanh,RMSprop,5,1,3,0.4869323
55,1.0,tanh,RMSprop,5,1,3,0.48124275
85,1.0,tanh,RMSprop,10,1,3,0.44135562
40,1.0,tanh,RMSprop,10,1,3,0.42969632
75,1.0,tanh,RMSprop,5,1,3,0.42593434
25,1.0,tanh,RMSprop,10,1,3,0.4255455
45,1.0,tanh,RMSprop,15,1,3,0.42508733
50,1.0,tanh,RMSprop,5,1,3,0.42097875
95,1.0,tanh,RMSprop,5,1,3,0.40388185
45,1.0,tanh,RMSprop,5,1,3,0.39900655
15,1.0,tanh,RMSprop,15,1,3,0.398782
10,1.0,tanh,RMSprop,10,1,3,0.38009536
15,1.0,tanh,RMSprop,10,1,3,0.37761846
95,1.0,tanh,RMSprop,10,1,3,0.36284697
90,1.0,tanh,RMSprop,10,1,3,0.3405495
90,1.0,tanh,RMSprop,5,1,3,0.33840647
25,1.0,tanh,RMSprop,20,1,3,0.33776543
65,1.0,tanh,RMSprop,10,1,3,0.33760384
20,1.0,tanh,RMSprop,15,1,3,0.33727854
55,1.0,tanh,RMSprop,15,1,3,0.32480788
60,1.0,tanh,RMSprop,10,1,3,0.31493643
75,1.0,tanh,RMSprop,10,1,3,0.31086862
60,1.0,tanh,RMSprop,5,1,3,0.31029236
55,1.0,tanh,RMSprop,10,1,3,0.28886482
35,1.0,tanh,RMSprop,5,1,3,0.27289027
75,1.0,tanh,RMSprop,15,1,3,0.22933379
50,1.0,tanh,RMSprop,15,1,3,0.22656074
95,1.0,tanh,RMSprop,15,1,3,0.20289728
15,1.0,tanh,RMSprop,5,1,3,0.19811465
70,1.0,tanh,RMSprop,10,1,3,0.15966444
80,1.0,tanh,RMSprop,15,1,3,0.15935792
30,1.0,tanh,RMSprop,5,1,3,0.14362952
30,1.0,tanh,RMSprop,10,1,3,0.13942188
5,1.0,tanh,RMSprop,10,1,3,0.10026792
85,1.0,tanh,RMSprop,15,1,3,0.09322824
50,1.0,tanh,RMSprop,20,1,3,0.082205944
25,1.0,tanh,RMSprop,5,1,3,0.07577698
100,1.0,tanh,RMSprop,10,1,3,0.07552338
35,1.0,tanh,RMSprop,10,1,3,0.059522696
35,1.0,tanh,RMSprop,15,1,3,0.030369498
65,1.0,tanh,RMSprop,5,1,3,0.02807506
45,1.0,tanh,RMSprop,20,1,3,0.015481819
70,1.0,tanh,RMSprop,5,1,3,0.008328065
5,1.0,tanh,RMSprop,55,1,3,-8.797264e-08
5,1.0,tanh,RMSprop,50,1,3,-8.797264e-08
5,1.0,tanh,RMSprop,45,1,3,-8.797264e-08
5,1.0,tanh,RMSprop,30,1,3,-8.797264e-08
5,1.0,tanh,RMSprop,40,1,3,-8.797264e-08
5,1.0,tanh,RMSprop,35,1,3,-8.797264e-08
5,1.0,tanh,RMSprop,65,1,3,-8.797264e-08
5,1.0,tanh,RMSprop,25,1,3,-8.797264e-08
5,1.0,tanh,RMSprop,20,1,3,-8.797264e-08
5,1.0,tanh,RMSprop,60,1,3,-8.797264e-08
5,1.0,tanh,RMSprop,85,1,3,-8.797264e-08
5,1.0,tanh,RMSprop,70,1,3,-8.797264e-08
5,1.0,tanh,RMSprop,75,1,3,-8.797264e-08
5,1.0,tanh,RMSprop,80,1,3,-8.797264e-08
5,1.0,tanh,RMSprop,90,1,3,-8.797264e-08
5,1.0,tanh,RMSprop,95,1,3,-8.797264e-08
5,1.0,tanh,RMSprop,100,1,3,-8.797264e-08
85,1.0,tanh,RMSprop,5,1,3,-0.2123233
100,1.0,tanh,RMSprop,15,1,3,-0.0705679
5,1.0,tanh,RMSprop,5,1,3,-0.041250955
80,1.0,tanh,RMSprop,10,1,3,-0.039438557
5,1.0,tanh,RMSprop,15,1,3,-0.026246557
40,1.0,tanh,RMSprop,5,1,3,-0.008914459
100,1.0,tanh,RMSprop,100,1,3,8.797264e-08
60,1.0,tanh,RMSprop,55,1,3,8.797264e-08
60,1.0,tanh,RMSprop,45,1,3,8.797264e-08
60,1.0,tanh,RMSprop,40,1,3,8.797264e-08
60,1.0,tanh,RMSprop,35,1,3,8.797264e-08
60,1.0,tanh,RMSprop,30,1,3,8.797264e-08
60,1.0,tanh,RMSprop,25,1,3,8.797264e-08
60,1.0,tanh,RMSprop,20,1,3,8.797264e-08
90,1.0,tanh,RMSprop,55,1,3,8.797264e-08
90,1.0,tanh,RMSprop,60,1,3,8.797264e-08
55,1.0,tanh,RMSprop,100,1,3,8.797264e-08
55,1.0,tanh,RMSprop,95,1,3,8.797264e-08
55,1.0,tanh,RMSprop,90,1,3,8.797264e-08
55,1.0,tanh,RMSprop,85,1,3,8.797264e-08
55,1.0,tanh,RMSprop,80,1,3,8.797264e-08
55,1.0,tanh,RMSprop,75,1,3,8.797264e-08
55,1.0,tanh,RMSprop,70,1,3,8.797264e-08
55,1.0,tanh,RMSprop,65,1,3,8.797264e-08
55,1.0,tanh,RMSprop,60,1,3,8.797264e-08
60,1.0,tanh,RMSprop,50,1,3,8.797264e-08
60,1.0,tanh,RMSprop,60,1,3,8.797264e-08
55,1.0,tanh,RMSprop,50,1,3,8.797264e-08
60,1.0,tanh,RMSprop,65,1,3,8.797264e-08
65,1.0,tanh,RMSprop,50,1,3,8.797264e-08
65,1.0,tanh,RMSprop,45,1,3,8.797264e-08
65,1.0,tanh,RMSprop,40,1,3,8.797264e-08
65,1.0,tanh,RMSprop,35,1,3,8.797264e-08
65,1.0,tanh,RMSprop,30,1,3,8.797264e-08
65,1.0,tanh,RMSprop,25,1,3,8.797264e-08
65,1.0,tanh,RMSprop,20,1,3,8.797264e-08
65,1.0,tanh,RMSprop,15,1,3,8.797264e-08
90,1.0,tanh,RMSprop,45,1,3,8.797264e-08
90,1.0,tanh,RMSprop,50,1,3,8.797264e-08
60,1.0,tanh,RMSprop,100,1,3,8.797264e-08
60,1.0,tanh,RMSprop,95,1,3,8.797264e-08
60,1.0,tanh,RMSprop,90,1,3,8.797264e-08
60,1.0,tanh,RMSprop,85,1,3,8.797264e-08
60,1.0,tanh,RMSprop,80,1,3,8.797264e-08
60,1.0,tanh,RMSprop,75,1,3,8.797264e-08
60,1.0,tanh,RMSprop,70,1,3,8.797264e-08
55,1.0,tanh,RMSprop,55,1,3,8.797264e-08
55,1.0,tanh,RMSprop,45,1,3,8.797264e-08
85,1.0,tanh,RMSprop,80,1,3,8.797264e-08
50,1.0,tanh,RMSprop,40,1,3,8.797264e-08
50,1.0,tanh,RMSprop,30,1,3,8.797264e-08
50,1.0,tanh,RMSprop,25,1,3,8.797264e-08
90,1.0,tanh,RMSprop,80,1,3,8.797264e-08
90,1.0,tanh,RMSprop,85,1,3,8.797264e-08
50,1.0,tanh,RMSprop,10,1,3,8.797264e-08
90,1.0,tanh,RMSprop,90,1,3,8.797264e-08
45,1.0,tanh,RMSprop,100,1,3,8.797264e-08
45,1.0,tanh,RMSprop,95,1,3,8.797264e-08
45,1.0,tanh,RMSprop,90,1,3,8.797264e-08
45,1.0,tanh,RMSprop,85,1,3,8.797264e-08
45,1.0,tanh,RMSprop,80,1,3,8.797264e-08
45,1.0,tanh,RMSprop,75,1,3,8.797264e-08
45,1.0,tanh,RMSprop,70,1,3,8.797264e-08
45,1.0,tanh,RMSprop,65,1,3,8.797264e-08
45,1.0,tanh,RMSprop,60,1,3,8.797264e-08
45,1.0,tanh,RMSprop,55,1,3,8.797264e-08
45,1.0,tanh,RMSprop,50,1,3,8.797264e-08
50,1.0,tanh,RMSprop,35,1,3,8.797264e-08
50,1.0,tanh,RMSprop,45,1,3,8.797264e-08
55,1.0,tanh,RMSprop,40,1,3,8.797264e-08
50,1.0,tanh,RMSprop,50,1,3,8.797264e-08
55,1.0,tanh,RMSprop,35,1,3,8.797264e-08
55,1.0,tanh,RMSprop,30,1,3,8.797264e-08
55,1.0,tanh,RMSprop,25,1,3,8.797264e-08
55,1.0,tanh,RMSprop,20,1,3,8.797264e-08
90,1.0,tanh,RMSprop,65,1,3,8.797264e-08
90,1.0,tanh,RMSprop,70,1,3,8.797264e-08
90,1.0,tanh,RMSprop,75,1,3,8.797264e-08
50,1.0,tanh,RMSprop,100,1,3,8.797264e-08
50,1.0,tanh,RMSprop,95,1,3,8.797264e-08
50,1.0,tanh,RMSprop,90,1,3,8.797264e-08
50,1.0,tanh,RMSprop,85,1,3,8.797264e-08
50,1.0,tanh,RMSprop,80,1,3,8.797264e-08
50,1.0,tanh,RMSprop,75,1,3,8.797264e-08
50,1.0,tanh,RMSprop,70,1,3,8.797264e-08
50,1.0,tanh,RMSprop,65,1,3,8.797264e-08
50,1.0,tanh,RMSprop,60,1,3,8.797264e-08
50,1.0,tanh,RMSprop,55,1,3,8.797264e-08
65,1.0,tanh,RMSprop,55,1,3,8.797264e-08
65,1.0,tanh,RMSprop,60,1,3,8.797264e-08
65,1.0,tanh,RMSprop,65,1,3,8.797264e-08
80,1.0,tanh,RMSprop,75,1,3,8.797264e-08
80,1.0,tanh,RMSprop,65,1,3,8.797264e-08
80,1.0,tanh,RMSprop,60,1,3,8.797264e-08
80,1.0,tanh,RMSprop,55,1,3,8.797264e-08
80,1.0,tanh,RMSprop,50,1,3,8.797264e-08
80,1.0,tanh,RMSprop,45,1,3,8.797264e-08
80,1.0,tanh,RMSprop,40,1,3,8.797264e-08
80,1.0,tanh,RMSprop,35,1,3,8.797264e-08
80,1.0,tanh,RMSprop,30,1,3,8.797264e-08
80,1.0,tanh,RMSprop,25,1,3,8.797264e-08
80,1.0,tanh,RMSprop,20,1,3,8.797264e-08
85,1.0,tanh,RMSprop,100,1,3,8.797264e-08
90,1.0,tanh,RMSprop,15,1,3,8.797264e-08
75,1.0,tanh,RMSprop,100,1,3,8.797264e-08
75,1.0,tanh,RMSprop,95,1,3,8.797264e-08
75,1.0,tanh,RMSprop,90,1,3,8.797264e-08
75,1.0,tanh,RMSprop,85,1,3,8.797264e-08
75,1.0,tanh,RMSprop,80,1,3,8.797264e-08
80,1.0,tanh,RMSprop,70,1,3,8.797264e-08
80,1.0,tanh,RMSprop,80,1,3,8.797264e-08
65,1.0,tanh,RMSprop,70,1,3,8.797264e-08
80,1.0,tanh,RMSprop,85,1,3,8.797264e-08
85,1.0,tanh,RMSprop,70,1,3,8.797264e-08
85,1.0,tanh,RMSprop,65,1,3,8.797264e-08
85,1.0,tanh,RMSprop,60,1,3,8.797264e-08
85,1.0,tanh,RMSprop,55,1,3,8.797264e-08
85,1.0,tanh,RMSprop,50,1,3,8.797264e-08
85,1.0,tanh,RMSprop,45,1,3,8.797264e-08
85,1.0,tanh,RMSprop,40,1,3,8.797264e-08
85,1.0,tanh,RMSprop,35,1,3,8.797264e-08
85,1.0,tanh,RMSprop,30,1,3,8.797264e-08
85,1.0,tanh,RMSprop,25,1,3,8.797264e-08
85,1.0,tanh,RMSprop,20,1,3,8.797264e-08
85,1.0,tanh,RMSprop,85,1,3,8.797264e-08
85,1.0,tanh,RMSprop,90,1,3,8.797264e-08
85,1.0,tanh,RMSprop,95,1,3,8.797264e-08
80,1.0,tanh,RMSprop,100,1,3,8.797264e-08
80,1.0,tanh,RMSprop,95,1,3,8.797264e-08
80,1.0,tanh,RMSprop,90,1,3,8.797264e-08
75,1.0,tanh,RMSprop,75,1,3,8.797264e-08
75,1.0,tanh,RMSprop,70,1,3,8.797264e-08
75,1.0,tanh,RMSprop,65,1,3,8.797264e-08
75,1.0,tanh,RMSprop,60,1,3,8.797264e-08
70,1.0,tanh,RMSprop,55,1,3,8.797264e-08
70,1.0,tanh,RMSprop,50,1,3,8.797264e-08
70,1.0,tanh,RMSprop,45,1,3,8.797264e-08
70,1.0,tanh,RMSprop,40,1,3,8.797264e-08
70,1.0,tanh,RMSprop,35,1,3,8.797264e-08
70,1.0,tanh,RMSprop,30,1,3,8.797264e-08
70,1.0,tanh,RMSprop,25,1,3,8.797264e-08
70,1.0,tanh,RMSprop,20,1,3,8.797264e-08
70,1.0,tanh,RMSprop,15,1,3,8.797264e-08
90,1.0,tanh,RMSprop,35,1,3,8.797264e-08
90,1.0,tanh,RMSprop,40,1,3,8.797264e-08
65,1.0,tanh,RMSprop,100,1,3,8.797264e-08
65,1.0,tanh,RMSprop,95,1,3,8.797264e-08
65,1.0,tanh,RMSprop,90,1,3,8.797264e-08
65,1.0,tanh,RMSprop,85,1,3,8.797264e-08
65,1.0,tanh,RMSprop,80,1,3,8.797264e-08
65,1.0,tanh,RMSprop,75,1,3,8.797264e-08
70,1.0,tanh,RMSprop,60,1,3,8.797264e-08
70,1.0,tanh,RMSprop,65,1,3,8.797264e-08
70,1.0,tanh,RMSprop,70,1,3,8.797264e-08
75,1.0,tanh,RMSprop,20,1,3,8.797264e-08
75,1.0,tanh,RMSprop,55,1,3,8.797264e-08
75,1.0,tanh,RMSprop,50,1,3,8.797264e-08
75,1.0,tanh,RMSprop,45,1,3,8.797264e-08
75,1.0,tanh,RMSprop,40,1,3,8.797264e-08
75,1.0,tanh,RMSprop,35,1,3,8.797264e-08
75,1.0,tanh,RMSprop,30,1,3,8.797264e-08
75,1.0,tanh,RMSprop,25,1,3,8.797264e-08
90,1.0,tanh,RMSprop,20,1,3,8.797264e-08
70,1.0,tanh,RMSprop,75,1,3,8.797264e-08
90,1.0,tanh,RMSprop,25,1,3,8.797264e-08
90,1.0,tanh,RMSprop,30,1,3,8.797264e-08
70,1.0,tanh,RMSprop,100,1,3,8.797264e-08
70,1.0,tanh,RMSprop,95,1,3,8.797264e-08
70,1.0,tanh,RMSprop,90,1,3,8.797264e-08
70,1.0,tanh,RMSprop,85,1,3,8.797264e-08
70,1.0,tanh,RMSprop,80,1,3,8.797264e-08
45,1.0,tanh,RMSprop,45,1,3,8.797264e-08
45,1.0,tanh,RMSprop,40,1,3,8.797264e-08
45,1.0,tanh,RMSprop,35,1,3,8.797264e-08
20,1.0,tanh,RMSprop,25,1,3,8.797264e-08
95,1.0,tanh,RMSprop,75,1,3,8.797264e-08
15,1.0,tanh,RMSprop,100,1,3,8.797264e-08
15,1.0,tanh,RMSprop,95,1,3,8.797264e-08
15,1.0,tanh,RMSprop,90,1,3,8.797264e-08
15,1.0,tanh,RMSprop,85,1,3,8.797264e-08
15,1.0,tanh,RMSprop,80,1,3,8.797264e-08
15,1.0,tanh,RMSprop,75,1,3,8.797264e-08
15,1.0,tanh,RMSprop,70,1,3,8.797264e-08
15,1.0,tanh,RMSprop,65,1,3,8.797264e-08
15,1.0,tanh,RMSprop,60,1,3,8.797264e-08
15,1.0,tanh,RMSprop,55,1,3,8.797264e-08
15,1.0,tanh,RMSprop,50,1,3,8.797264e-08
15,1.0,tanh,RMSprop,45,1,3,8.797264e-08
15,1.0,tanh,RMSprop,40,1,3,8.797264e-08
15,1.0,tanh,RMSprop,35,1,3,8.797264e-08
15,1.0,tanh,RMSprop,30,1,3,8.797264e-08
15,1.0,tanh,RMSprop,25,1,3,8.797264e-08
20,1.0,tanh,RMSprop,20,1,3,8.797264e-08
20,1.0,tanh,RMSprop,30,1,3,8.797264e-08
