epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
25,0.9,tanh,RMSprop,15,1,3,nan
25,0.9,tanh,RMSprop,13,1,3,nan
25,0.9,tanh,RMSprop,25,1,3,nan
25,0.9,tanh,RMSprop,8,1,3,nan
25,0.9,tanh,RMSprop,20,1,3,nan
10,0.9,tanh,RMSprop,13,1,3,9.332585e-09
20,0.9,tanh,RMSprop,25,1,3,9.332585e-09
20,0.9,tanh,RMSprop,20,1,3,9.332585e-09
20,0.9,tanh,RMSprop,15,1,3,9.332585e-09
5,0.9,tanh,RMSprop,4,1,3,9.332585e-09
20,0.9,tanh,RMSprop,8,1,3,9.332585e-09
10,0.9,tanh,RMSprop,25,1,3,9.332585e-09
10,0.9,tanh,RMSprop,20,1,3,9.332585e-09
10,0.9,tanh,RMSprop,15,1,3,9.332585e-09
5,0.9,tanh,RMSprop,2,1,3,9.332585e-09
10,0.9,tanh,RMSprop,10,1,3,9.332585e-09
5,0.9,tanh,RMSprop,10,1,3,9.332585e-09
5,0.9,tanh,RMSprop,20,1,3,9.332585e-09
5,0.9,tanh,RMSprop,25,1,3,9.332585e-09
10,0.9,tanh,RMSprop,8,1,3,9.332585e-09
5,0.9,tanh,RMSprop,13,1,3,9.332585e-09
5,0.9,tanh,RMSprop,15,1,3,9.332585e-09
5,0.9,tanh,RMSprop,6,1,3,9.332585e-09
15,0.9,tanh,RMSprop,4,1,3,0.66249114
15,0.9,tanh,RMSprop,2,1,3,0.62426144
55,0.9,tanh,RMSprop,2,1,3,0.6225655
20,0.9,tanh,RMSprop,2,1,3,0.59341055
35,0.9,tanh,RMSprop,2,1,3,0.5890115
40,0.9,tanh,RMSprop,4,1,3,0.5592574
30,0.9,tanh,RMSprop,2,1,3,0.55451477
50,0.9,tanh,RMSprop,2,1,3,0.54363275
35,0.9,tanh,RMSprop,8,1,3,0.5098179
100,0.9,tanh,RMSprop,4,1,3,0.48854738
60,0.9,tanh,RMSprop,2,1,3,0.48759142
90,0.9,tanh,RMSprop,4,1,3,0.4778876
20,0.9,tanh,RMSprop,6,1,3,0.47658086
70,0.9,tanh,RMSprop,2,1,3,0.47390345
10,0.9,tanh,RMSprop,4,1,3,0.4633381
90,0.9,tanh,RMSprop,10,1,3,0.44777298
50,0.9,tanh,RMSprop,6,1,3,0.4465482
55,0.9,tanh,RMSprop,8,1,3,0.4277751
90,0.9,tanh,RMSprop,6,1,3,0.42098868
90,0.9,tanh,RMSprop,2,1,3,0.40036368
45,0.9,tanh,RMSprop,2,1,3,0.38805252
90,0.9,tanh,RMSprop,8,1,3,0.38288108
70,0.9,tanh,RMSprop,6,1,3,0.36276212
70,0.9,tanh,RMSprop,4,1,3,0.3622734
20,0.9,tanh,RMSprop,10,1,3,0.35930097
70,0.9,tanh,RMSprop,10,1,3,0.35196593
100,0.9,tanh,RMSprop,2,1,3,0.34581178
25,0.9,tanh,RMSprop,10,1,3,0.3414688
35,0.9,tanh,RMSprop,6,1,3,0.32347688
80,0.9,tanh,RMSprop,6,1,3,0.32216418
45,0.9,tanh,RMSprop,4,1,3,0.32192275
5,0.9,tanh,RMSprop,8,1,3,0.3195112
40,0.9,tanh,RMSprop,10,1,3,0.31934232
60,0.9,tanh,RMSprop,8,1,3,0.2985001
50,0.9,tanh,RMSprop,8,1,3,0.28903347
25,0.9,tanh,RMSprop,6,1,3,0.27083787
35,0.9,tanh,RMSprop,4,1,3,0.26723784
45,0.9,tanh,RMSprop,6,1,3,0.2613737
10,0.9,tanh,RMSprop,2,1,3,0.25652513
30,0.9,tanh,RMSprop,13,1,3,0.25244138
40,0.9,tanh,RMSprop,8,1,3,0.24696442
25,0.9,tanh,RMSprop,2,1,3,0.24427338
