epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
100,0.9,tanh,RMSprop,25,1,3,nan
50,0.9,tanh,RMSprop,25,1,3,nan
80,0.9,tanh,RMSprop,25,1,3,nan
80,0.9,tanh,RMSprop,20,1,3,nan
20,0.9,tanh,RMSprop,15,1,3,nan
20,0.9,tanh,RMSprop,20,1,3,nan
40,0.9,tanh,RMSprop,20,1,3,nan
55,0.9,tanh,RMSprop,15,1,3,nan
50,0.9,tanh,RMSprop,20,1,3,nan
55,0.9,tanh,RMSprop,25,1,3,nan
80,0.9,tanh,RMSprop,6,1,3,nan
70,0.9,tanh,RMSprop,25,1,3,nan
45,0.9,tanh,RMSprop,25,1,3,nan
45,0.9,tanh,RMSprop,20,1,3,nan
70,0.9,tanh,RMSprop,20,1,3,nan
40,0.9,tanh,RMSprop,25,1,3,nan
55,0.9,tanh,RMSprop,20,1,3,nan
20,0.9,tanh,RMSprop,25,1,3,nan
60,0.9,tanh,RMSprop,25,1,3,nan
60,0.9,tanh,RMSprop,20,1,3,nan
90,0.9,tanh,RMSprop,25,1,3,nan
100,0.9,tanh,RMSprop,15,1,3,nan
35,0.9,tanh,RMSprop,25,1,3,1.1702768e-08
35,0.9,tanh,RMSprop,20,1,3,1.1702768e-08
20,0.9,tanh,RMSprop,13,1,3,0.5869363
60,0.9,tanh,RMSprop,8,1,3,0.56832355
35,0.9,tanh,RMSprop,15,1,3,0.52452546
100,0.9,tanh,RMSprop,8,1,3,0.522686
90,0.9,tanh,RMSprop,6,1,3,0.519857
100,0.9,tanh,RMSprop,20,1,3,0.51891637
40,0.9,tanh,RMSprop,13,1,3,0.5176025
40,0.9,tanh,RMSprop,8,1,3,0.5157311
20,0.9,tanh,RMSprop,10,1,3,0.50947016
45,0.9,tanh,RMSprop,6,1,3,0.50722337
50,0.9,tanh,RMSprop,13,1,3,0.5061141
10,0.9,tanh,RMSprop,15,1,3,0.50579435
100,0.9,tanh,RMSprop,10,1,3,0.50201
60,0.9,tanh,RMSprop,15,1,3,0.4966697
30,0.9,tanh,RMSprop,15,1,3,0.49116972
50,0.9,tanh,RMSprop,8,1,3,0.49045914
10,0.9,tanh,RMSprop,8,1,3,0.48822033
55,0.9,tanh,RMSprop,2,1,3,0.47384608
30,0.9,tanh,RMSprop,13,1,3,0.47076404
25,0.9,tanh,RMSprop,4,1,3,0.46845707
80,0.9,tanh,RMSprop,15,1,3,0.46697655
20,0.9,tanh,RMSprop,4,1,3,0.46398506
15,0.9,tanh,RMSprop,2,1,3,0.46332192
25,0.9,tanh,RMSprop,8,1,3,0.4625995
60,0.9,tanh,RMSprop,4,1,3,0.46208
15,0.9,tanh,RMSprop,6,1,3,0.46011338
45,0.9,tanh,RMSprop,10,1,3,0.45522285
50,0.9,tanh,RMSprop,4,1,3,0.45507923
35,0.9,tanh,RMSprop,6,1,3,0.45494303
100,0.9,tanh,RMSprop,2,1,3,0.454437
40,0.9,tanh,RMSprop,10,1,3,0.45027834
40,0.9,tanh,RMSprop,15,1,3,0.4480486
10,0.9,tanh,RMSprop,2,1,3,0.44570318
60,0.9,tanh,RMSprop,2,1,3,0.44439438
35,0.9,tanh,RMSprop,8,1,3,0.4433136
20,0.9,tanh,RMSprop,6,1,3,0.44235328
20,0.9,tanh,RMSprop,8,1,3,0.44156006
45,0.9,tanh,RMSprop,15,1,3,0.44148242
30,0.9,tanh,RMSprop,4,1,3,0.439635
90,0.9,tanh,RMSprop,8,1,3,0.4261018
15,0.9,tanh,RMSprop,8,1,3,0.42523006
25,0.9,tanh,RMSprop,6,1,3,0.42164874
50,0.9,tanh,RMSprop,6,1,3,0.41706106
15,0.9,tanh,RMSprop,4,1,3,0.41625693
80,0.9,tanh,RMSprop,8,1,3,0.41497988
55,0.9,tanh,RMSprop,10,1,3,0.41268584
35,0.9,tanh,RMSprop,4,1,3,0.41183287
50,0.9,tanh,RMSprop,2,1,3,0.40483764
70,0.9,tanh,RMSprop,13,1,3,0.4026204
100,0.9,tanh,RMSprop,13,1,3,0.40164614
50,0.9,tanh,RMSprop,15,1,3,0.40100467
45,0.9,tanh,RMSprop,4,1,3,0.39363977
80,0.9,tanh,RMSprop,4,1,3,0.39281702
55,0.9,tanh,RMSprop,4,1,3,0.38945115
40,0.9,tanh,RMSprop,4,1,3,0.3892929
30,0.9,tanh,RMSprop,10,1,3,0.3851148
50,0.9,tanh,RMSprop,10,1,3,0.38480645
35,0.9,tanh,RMSprop,2,1,3,0.3837167
35,0.9,tanh,RMSprop,13,1,3,0.3832534
40,0.9,tanh,RMSprop,6,1,3,0.38251713
80,0.9,tanh,RMSprop,13,1,3,0.37559646
25,0.9,tanh,RMSprop,10,1,3,0.37215593
60,0.9,tanh,RMSprop,10,1,3,0.37132162
90,0.9,tanh,RMSprop,13,1,3,0.36797804
55,0.9,tanh,RMSprop,13,1,3,0.36772197
90,0.9,tanh,RMSprop,10,1,3,0.3651512
90,0.9,tanh,RMSprop,15,1,3,0.36373714
80,0.9,tanh,RMSprop,10,1,3,0.36258245
60,0.9,tanh,RMSprop,6,1,3,0.35480988
70,0.9,tanh,RMSprop,6,1,3,0.35194814
25,0.9,tanh,RMSprop,13,1,3,0.3515103
70,0.9,tanh,RMSprop,8,1,3,0.3465216
30,0.9,tanh,RMSprop,6,1,3,0.3398509
30,0.9,tanh,RMSprop,8,1,3,0.33954948
25,0.9,tanh,RMSprop,2,1,3,0.3395095
55,0.9,tanh,RMSprop,6,1,3,0.32532907
40,0.9,tanh,RMSprop,2,1,3,0.31889683
10,0.9,tanh,RMSprop,4,1,3,0.31265968
35,0.9,tanh,RMSprop,10,1,3,0.29988503
70,0.9,tanh,RMSprop,4,1,3,0.29539016
10,0.9,tanh,RMSprop,6,1,3,0.2872296
70,0.9,tanh,RMSprop,2,1,3,0.28499246
70,0.9,tanh,RMSprop,15,1,3,0.2838079
100,0.9,tanh,RMSprop,4,1,3,0.27143744
90,0.9,tanh,RMSprop,2,1,3,0.27049056
45,0.9,tanh,RMSprop,8,1,3,0.24274255
45,0.9,tanh,RMSprop,2,1,3,0.23048282
80,0.9,tanh,RMSprop,2,1,3,0.21156697
20,0.9,tanh,RMSprop,2,1,3,0.17815
5,0.9,tanh,RMSprop,6,1,3,0.1722968
5,0.9,tanh,RMSprop,13,1,3,0.16176386
45,0.9,tanh,RMSprop,13,1,3,0.14314876
5,0.9,tanh,RMSprop,4,1,3,0.14179386
100,0.9,tanh,RMSprop,6,1,3,0.13304177
5,0.9,tanh,RMSprop,8,1,3,0.1326065
55,0.9,tanh,RMSprop,8,1,3,0.10955222
60,0.9,tanh,RMSprop,13,1,3,0.08589623
5,0.9,tanh,RMSprop,2,1,3,0.057039846
90,0.9,tanh,RMSprop,4,1,3,0.036074918
90,0.9,tanh,RMSprop,20,1,3,0.023879293
70,0.9,tanh,RMSprop,10,1,3,0.012926981
15,0.9,tanh,RMSprop,25,1,3,-1.1702768e-08
5,0.9,tanh,RMSprop,25,1,3,-1.1702768e-08
30,0.9,tanh,RMSprop,25,1,3,-1.1702768e-08
30,0.9,tanh,RMSprop,20,1,3,-1.1702768e-08
5,0.9,tanh,RMSprop,10,1,3,-1.1702768e-08
30,0.9,tanh,RMSprop,2,1,3,-1.1702768e-08
5,0.9,tanh,RMSprop,15,1,3,-1.1702768e-08
25,0.9,tanh,RMSprop,25,1,3,-1.1702768e-08
5,0.9,tanh,RMSprop,20,1,3,-1.1702768e-08
10,0.9,tanh,RMSprop,10,1,3,-1.1702768e-08
