epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
15,1.0,tanh,RMSprop,80,1,3,1.4316881e-08
15,1.0,tanh,RMSprop,70,1,3,1.4316881e-08
30,1.0,tanh,RMSprop,80,1,3,1.4316881e-08
20,1.0,tanh,RMSprop,100,1,3,1.4316881e-08
20,1.0,tanh,RMSprop,95,1,3,1.4316881e-08
20,1.0,tanh,RMSprop,90,1,3,1.4316881e-08
20,1.0,tanh,RMSprop,85,1,3,1.4316881e-08
20,1.0,tanh,RMSprop,80,1,3,1.4316881e-08
20,1.0,tanh,RMSprop,75,1,3,1.4316881e-08
20,1.0,tanh,RMSprop,70,1,3,1.4316881e-08
20,1.0,tanh,RMSprop,65,1,3,1.4316881e-08
20,1.0,tanh,RMSprop,60,1,3,1.4316881e-08
20,1.0,tanh,RMSprop,55,1,3,1.4316881e-08
20,1.0,tanh,RMSprop,50,1,3,1.4316881e-08
20,1.0,tanh,RMSprop,45,1,3,1.4316881e-08
20,1.0,tanh,RMSprop,40,1,3,1.4316881e-08
20,1.0,tanh,RMSprop,35,1,3,1.4316881e-08
20,1.0,tanh,RMSprop,30,1,3,1.4316881e-08
20,1.0,tanh,RMSprop,25,1,3,1.4316881e-08
20,1.0,tanh,RMSprop,20,1,3,1.4316881e-08
15,1.0,tanh,RMSprop,100,1,3,1.4316881e-08
15,1.0,tanh,RMSprop,95,1,3,1.4316881e-08
15,1.0,tanh,RMSprop,90,1,3,1.4316881e-08
15,1.0,tanh,RMSprop,85,1,3,1.4316881e-08
30,1.0,tanh,RMSprop,60,1,3,1.4316881e-08
25,1.0,tanh,RMSprop,15,1,3,1.4316881e-08
30,1.0,tanh,RMSprop,75,1,3,1.4316881e-08
25,1.0,tanh,RMSprop,25,1,3,1.4316881e-08
25,1.0,tanh,RMSprop,90,1,3,1.4316881e-08
30,1.0,tanh,RMSprop,50,1,3,1.4316881e-08
30,1.0,tanh,RMSprop,45,1,3,1.4316881e-08
30,1.0,tanh,RMSprop,40,1,3,1.4316881e-08
30,1.0,tanh,RMSprop,35,1,3,1.4316881e-08
30,1.0,tanh,RMSprop,30,1,3,1.4316881e-08
30,1.0,tanh,RMSprop,25,1,3,1.4316881e-08
30,1.0,tanh,RMSprop,65,1,3,1.4316881e-08
30,1.0,tanh,RMSprop,70,1,3,1.4316881e-08
25,1.0,tanh,RMSprop,100,1,3,1.4316881e-08
25,1.0,tanh,RMSprop,95,1,3,1.4316881e-08
25,1.0,tanh,RMSprop,85,1,3,1.4316881e-08
25,1.0,tanh,RMSprop,30,1,3,1.4316881e-08
25,1.0,tanh,RMSprop,80,1,3,1.4316881e-08
25,1.0,tanh,RMSprop,75,1,3,1.4316881e-08
25,1.0,tanh,RMSprop,70,1,3,1.4316881e-08
25,1.0,tanh,RMSprop,65,1,3,1.4316881e-08
25,1.0,tanh,RMSprop,60,1,3,1.4316881e-08
25,1.0,tanh,RMSprop,55,1,3,1.4316881e-08
25,1.0,tanh,RMSprop,50,1,3,1.4316881e-08
25,1.0,tanh,RMSprop,45,1,3,1.4316881e-08
25,1.0,tanh,RMSprop,40,1,3,1.4316881e-08
25,1.0,tanh,RMSprop,35,1,3,1.4316881e-08
15,1.0,tanh,RMSprop,75,1,3,1.4316881e-08
30,1.0,tanh,RMSprop,55,1,3,1.4316881e-08
15,1.0,tanh,RMSprop,65,1,3,1.4316881e-08
10,1.0,tanh,RMSprop,35,1,3,1.4316881e-08
10,1.0,tanh,RMSprop,70,1,3,1.4316881e-08
10,1.0,tanh,RMSprop,65,1,3,1.4316881e-08
10,1.0,tanh,RMSprop,60,1,3,1.4316881e-08
10,1.0,tanh,RMSprop,55,1,3,1.4316881e-08
10,1.0,tanh,RMSprop,50,1,3,1.4316881e-08
10,1.0,tanh,RMSprop,45,1,3,1.4316881e-08
15,1.0,tanh,RMSprop,60,1,3,1.4316881e-08
10,1.0,tanh,RMSprop,30,1,3,1.4316881e-08
10,1.0,tanh,RMSprop,80,1,3,1.4316881e-08
10,1.0,tanh,RMSprop,25,1,3,1.4316881e-08
10,1.0,tanh,RMSprop,20,1,3,1.4316881e-08
10,1.0,tanh,RMSprop,15,1,3,1.4316881e-08
10,1.0,tanh,RMSprop,5,1,3,1.4316881e-08
30,1.0,tanh,RMSprop,90,1,3,1.4316881e-08
30,1.0,tanh,RMSprop,95,1,3,1.4316881e-08
30,1.0,tanh,RMSprop,100,1,3,1.4316881e-08
10,1.0,tanh,RMSprop,75,1,3,1.4316881e-08
10,1.0,tanh,RMSprop,40,1,3,1.4316881e-08
10,1.0,tanh,RMSprop,85,1,3,1.4316881e-08
15,1.0,tanh,RMSprop,25,1,3,1.4316881e-08
10,1.0,tanh,RMSprop,90,1,3,1.4316881e-08
15,1.0,tanh,RMSprop,50,1,3,1.4316881e-08
15,1.0,tanh,RMSprop,45,1,3,1.4316881e-08
15,1.0,tanh,RMSprop,40,1,3,1.4316881e-08
15,1.0,tanh,RMSprop,35,1,3,1.4316881e-08
15,1.0,tanh,RMSprop,30,1,3,1.4316881e-08
15,1.0,tanh,RMSprop,55,1,3,1.4316881e-08
15,1.0,tanh,RMSprop,20,1,3,1.4316881e-08
10,1.0,tanh,RMSprop,95,1,3,1.4316881e-08
10,1.0,tanh,RMSprop,100,1,3,1.4316881e-08
30,1.0,tanh,RMSprop,85,1,3,1.4316881e-08
15,1.0,tanh,RMSprop,5,1,3,0.6000439
25,1.0,tanh,RMSprop,10,1,3,0.46340102
55,1.0,tanh,RMSprop,5,1,3,0.45818242
35,1.0,tanh,RMSprop,15,1,3,0.41452745
85,1.0,tanh,RMSprop,5,1,3,0.4107755
55,1.0,tanh,RMSprop,15,1,3,0.38909206
10,1.0,tanh,RMSprop,10,1,3,0.3803069
100,1.0,tanh,RMSprop,5,1,3,0.3741559
70,1.0,tanh,RMSprop,10,1,3,0.36040074
30,1.0,tanh,RMSprop,10,1,3,0.33351877
30,1.0,tanh,RMSprop,15,1,3,0.32611638
20,1.0,tanh,RMSprop,15,1,3,0.31415957
50,1.0,tanh,RMSprop,10,1,3,0.3132362
20,1.0,tanh,RMSprop,5,1,3,0.30629015
55,1.0,tanh,RMSprop,10,1,3,0.29648137
