epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
100,0.9,tanh,RMSprop,25,1,3,nan
90,0.9,tanh,RMSprop,2,1,3,nan
40,0.9,tanh,RMSprop,20,1,3,nan
40,0.9,tanh,RMSprop,15,1,3,nan
40,0.9,tanh,RMSprop,13,1,3,nan
40,0.9,tanh,RMSprop,10,1,3,nan
80,0.9,tanh,RMSprop,13,1,3,nan
80,0.9,tanh,RMSprop,20,1,3,nan
40,0.9,tanh,RMSprop,2,1,3,nan
80,0.9,tanh,RMSprop,25,1,3,nan
70,0.9,tanh,RMSprop,25,1,3,nan
90,0.9,tanh,RMSprop,25,1,3,nan
90,0.9,tanh,RMSprop,10,1,3,nan
30,0.9,tanh,RMSprop,25,1,3,nan
30,0.9,tanh,RMSprop,20,1,3,nan
30,0.9,tanh,RMSprop,15,1,3,nan
90,0.9,tanh,RMSprop,13,1,3,nan
30,0.9,tanh,RMSprop,10,1,3,nan
30,0.9,tanh,RMSprop,8,1,3,nan
90,0.9,tanh,RMSprop,15,1,3,nan
40,0.9,tanh,RMSprop,25,1,3,nan
45,0.9,tanh,RMSprop,13,1,3,nan
45,0.9,tanh,RMSprop,15,1,3,nan
45,0.9,tanh,RMSprop,20,1,3,nan
70,0.9,tanh,RMSprop,13,1,3,nan
80,0.9,tanh,RMSprop,6,1,3,nan
60,0.9,tanh,RMSprop,25,1,3,nan
60,0.9,tanh,RMSprop,20,1,3,nan
60,0.9,tanh,RMSprop,15,1,3,nan
60,0.9,tanh,RMSprop,8,1,3,nan
55,0.9,tanh,RMSprop,25,1,3,nan
55,0.9,tanh,RMSprop,20,1,3,nan
55,0.9,tanh,RMSprop,15,1,3,nan
55,0.9,tanh,RMSprop,13,1,3,nan
55,0.9,tanh,RMSprop,10,1,3,nan
55,0.9,tanh,RMSprop,8,1,3,nan
50,0.9,tanh,RMSprop,25,1,3,nan
50,0.9,tanh,RMSprop,20,1,3,nan
50,0.9,tanh,RMSprop,15,1,3,nan
50,0.9,tanh,RMSprop,2,1,3,nan
45,0.9,tanh,RMSprop,25,1,3,nan
