epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
100,0.9,tanh,RMSprop,25,1,3,nan
45,0.9,tanh,RMSprop,6,1,3,nan
30,0.9,tanh,RMSprop,6,1,3,nan
15,0.9,tanh,RMSprop,15,1,3,nan
15,0.9,tanh,RMSprop,20,1,3,nan
15,0.9,tanh,RMSprop,25,1,3,nan
50,0.9,tanh,RMSprop,20,1,3,nan
45,0.9,tanh,RMSprop,25,1,3,nan
45,0.9,tanh,RMSprop,20,1,3,nan
40,0.9,tanh,RMSprop,25,1,3,nan
50,0.9,tanh,RMSprop,25,1,3,nan
40,0.9,tanh,RMSprop,20,1,3,nan
40,0.9,tanh,RMSprop,15,1,3,nan
35,0.9,tanh,RMSprop,25,1,3,nan
35,0.9,tanh,RMSprop,20,1,3,nan
35,0.9,tanh,RMSprop,13,1,3,nan
30,0.9,tanh,RMSprop,25,1,3,nan
30,0.9,tanh,RMSprop,20,1,3,nan
15,0.9,tanh,RMSprop,10,1,3,nan
15,0.9,tanh,RMSprop,13,1,3,nan
30,0.9,tanh,RMSprop,13,1,3,nan
70,0.9,tanh,RMSprop,20,1,3,nan
80,0.9,tanh,RMSprop,20,1,3,nan
80,0.9,tanh,RMSprop,13,1,3,nan
90,0.9,tanh,RMSprop,15,1,3,nan
80,0.9,tanh,RMSprop,10,1,3,nan
90,0.9,tanh,RMSprop,25,1,3,nan
70,0.9,tanh,RMSprop,25,1,3,nan
80,0.9,tanh,RMSprop,25,1,3,nan
70,0.9,tanh,RMSprop,13,1,3,nan
60,0.9,tanh,RMSprop,25,1,3,nan
60,0.9,tanh,RMSprop,20,1,3,nan
55,0.9,tanh,RMSprop,25,1,3,nan
100,0.9,tanh,RMSprop,20,1,3,nan
70,0.9,tanh,RMSprop,8,1,3,0.67905116
40,0.9,tanh,RMSprop,6,1,3,0.6337999
55,0.9,tanh,RMSprop,13,1,3,0.6094656
20,0.9,tanh,RMSprop,2,1,3,0.5948835
90,0.9,tanh,RMSprop,6,1,3,0.5881854
50,0.9,tanh,RMSprop,15,1,3,0.5840462
50,0.9,tanh,RMSprop,4,1,3,0.5813171
45,0.9,tanh,RMSprop,8,1,3,0.57500803
55,0.9,tanh,RMSprop,8,1,3,0.56589013
80,0.9,tanh,RMSprop,2,1,3,0.5594586
55,0.9,tanh,RMSprop,15,1,3,0.557372
25,0.9,tanh,RMSprop,2,1,3,0.5563991
45,0.9,tanh,RMSprop,2,1,3,0.5511018
30,0.9,tanh,RMSprop,2,1,3,0.5464403
45,0.9,tanh,RMSprop,4,1,3,0.54622716
100,0.9,tanh,RMSprop,15,1,3,0.54578584
15,0.9,tanh,RMSprop,8,1,3,0.54553133
15,0.9,tanh,RMSprop,4,1,3,0.54497534
80,0.9,tanh,RMSprop,15,1,3,0.5422818
100,0.9,tanh,RMSprop,10,1,3,0.54150224
35,0.9,tanh,RMSprop,4,1,3,0.5404601
10,0.9,tanh,RMSprop,8,1,3,0.53099316
90,0.9,tanh,RMSprop,20,1,3,0.53043276
60,0.9,tanh,RMSprop,2,1,3,0.5294584
70,0.9,tanh,RMSprop,4,1,3,0.52912575
60,0.9,tanh,RMSprop,15,1,3,0.5288431
20,0.9,tanh,RMSprop,8,1,3,0.52880013
60,0.9,tanh,RMSprop,4,1,3,0.52583593
55,0.9,tanh,RMSprop,4,1,3,0.52425843
90,0.9,tanh,RMSprop,10,1,3,0.51958895
20,0.9,tanh,RMSprop,4,1,3,0.51927316
90,0.9,tanh,RMSprop,8,1,3,0.5188067
