epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
55,1.0,tanh,RMSprop,10,1,2,0.63892895
50,1.0,tanh,RMSprop,25,1,2,0.60630614
60,1.0,tanh,RMSprop,40,1,2,0.5929794
25,1.0,tanh,RMSprop,85,1,2,0.57063615
15,1.0,tanh,RMSprop,10,1,2,0.5612757
35,1.0,tanh,RMSprop,60,1,2,0.55932885
80,1.0,tanh,RMSprop,20,1,2,0.5586549
85,1.0,tanh,RMSprop,20,1,2,0.5473649
50,1.0,tanh,RMSprop,100,1,2,0.54665864
25,1.0,tanh,RMSprop,35,1,2,0.546497
25,1.0,tanh,RMSprop,90,1,2,0.53932333
45,1.0,tanh,RMSprop,85,1,2,0.5391613
85,1.0,tanh,RMSprop,15,1,2,0.5346835
30,1.0,tanh,RMSprop,35,1,2,0.53127676
30,1.0,tanh,RMSprop,55,1,2,0.5304089
70,1.0,tanh,RMSprop,35,1,2,0.5213906
60,1.0,tanh,RMSprop,15,1,2,0.51903605
25,1.0,tanh,RMSprop,75,1,2,0.5169835
55,1.0,tanh,RMSprop,5,1,2,0.51670325
85,1.0,tanh,RMSprop,5,1,2,0.51662624
20,1.0,tanh,RMSprop,30,1,2,0.5155277
20,1.0,tanh,RMSprop,15,1,2,0.5153621
15,1.0,tanh,RMSprop,20,1,2,0.51240075
50,1.0,tanh,RMSprop,50,1,2,0.51082206
15,1.0,tanh,RMSprop,25,1,2,0.5105288
40,1.0,tanh,RMSprop,60,1,2,0.51026446
20,1.0,tanh,RMSprop,90,1,2,0.50961804
30,1.0,tanh,RMSprop,95,1,2,0.5049815
50,1.0,tanh,RMSprop,20,1,2,0.50385004
55,1.0,tanh,RMSprop,85,1,2,0.50361
30,1.0,tanh,RMSprop,20,1,2,0.49740568
25,1.0,tanh,RMSprop,20,1,2,0.49600875
20,1.0,tanh,RMSprop,20,1,2,0.4906288
40,1.0,tanh,RMSprop,5,1,2,0.48778942
45,1.0,tanh,RMSprop,70,1,2,0.48756996
50,1.0,tanh,RMSprop,15,1,2,0.48646086
90,1.0,tanh,RMSprop,10,1,2,0.48519456
45,1.0,tanh,RMSprop,5,1,2,0.48398322
10,1.0,tanh,RMSprop,15,1,2,0.48036733
30,1.0,tanh,RMSprop,10,1,2,0.47894326
25,1.0,tanh,RMSprop,10,1,2,0.47489947
50,1.0,tanh,RMSprop,55,1,2,0.47447821
15,1.0,tanh,RMSprop,15,1,2,0.47386652
50,1.0,tanh,RMSprop,95,1,2,0.47268915
75,1.0,tanh,RMSprop,30,1,2,0.46986726
75,1.0,tanh,RMSprop,20,1,2,0.4690342
45,1.0,tanh,RMSprop,60,1,2,0.4682253
20,1.0,tanh,RMSprop,35,1,2,0.46654367
65,1.0,tanh,RMSprop,90,1,2,0.46103454
25,1.0,tanh,RMSprop,65,1,2,0.4586335
45,1.0,tanh,RMSprop,95,1,2,0.45699155
70,1.0,tanh,RMSprop,5,1,2,0.45635685
80,1.0,tanh,RMSprop,5,1,2,0.45604384
55,1.0,tanh,RMSprop,30,1,2,0.45602483
65,1.0,tanh,RMSprop,35,1,2,0.4554154
85,1.0,tanh,RMSprop,45,1,2,0.4541172
20,1.0,tanh,RMSprop,10,1,2,0.45273712
20,1.0,tanh,RMSprop,50,1,2,0.450914
5,1.0,tanh,RMSprop,10,1,2,0.44936752
70,1.0,tanh,RMSprop,10,1,2,0.44823104
85,1.0,tanh,RMSprop,30,1,2,0.4401555
25,1.0,tanh,RMSprop,25,1,2,0.4392361
35,1.0,tanh,RMSprop,15,1,2,0.43504196
50,1.0,tanh,RMSprop,5,1,2,0.43498445
5,1.0,tanh,RMSprop,15,1,2,0.43345892
40,1.0,tanh,RMSprop,30,1,2,0.4307326
35,1.0,tanh,RMSprop,95,1,2,0.42487645
50,1.0,tanh,RMSprop,10,1,2,0.4241418
90,1.0,tanh,RMSprop,20,1,2,0.42175606
20,1.0,tanh,RMSprop,95,1,2,0.42129716
65,1.0,tanh,RMSprop,30,1,2,0.42107826
75,1.0,tanh,RMSprop,5,1,2,0.41956747
10,1.0,tanh,RMSprop,10,1,2,0.41600168
35,1.0,tanh,RMSprop,25,1,2,0.41409302
45,1.0,tanh,RMSprop,65,1,2,0.4139305
30,1.0,tanh,RMSprop,25,1,2,0.40710852
50,1.0,tanh,RMSprop,30,1,2,0.40476003
35,1.0,tanh,RMSprop,35,1,2,0.40408334
60,1.0,tanh,RMSprop,65,1,2,0.4011381
35,1.0,tanh,RMSprop,30,1,2,0.39715278
85,1.0,tanh,RMSprop,10,1,2,0.39140248
25,1.0,tanh,RMSprop,15,1,2,0.39066133
70,1.0,tanh,RMSprop,20,1,2,0.38765514
65,1.0,tanh,RMSprop,40,1,2,0.3876323
20,1.0,tanh,RMSprop,25,1,2,0.38449776
50,1.0,tanh,RMSprop,60,1,2,0.38390326
50,1.0,tanh,RMSprop,45,1,2,0.38298345
45,1.0,tanh,RMSprop,15,1,2,0.38295102
70,1.0,tanh,RMSprop,40,1,2,0.37065405
30,1.0,tanh,RMSprop,45,1,2,0.3699209
60,1.0,tanh,RMSprop,35,1,2,0.36961105
60,1.0,tanh,RMSprop,70,1,2,0.36637923
15,1.0,tanh,RMSprop,100,1,2,0.3627607
35,1.0,tanh,RMSprop,20,1,2,0.36261737
100,1.0,tanh,RMSprop,10,1,2,0.3595623
35,1.0,tanh,RMSprop,10,1,2,0.35839677
70,1.0,tanh,RMSprop,60,1,2,0.35797164
5,1.0,tanh,RMSprop,20,1,2,0.35753003
30,1.0,tanh,RMSprop,5,1,2,0.35746294
75,1.0,tanh,RMSprop,25,1,2,0.3525948
80,1.0,tanh,RMSprop,10,1,2,0.3497934
40,1.0,tanh,RMSprop,10,1,2,0.34718305
55,1.0,tanh,RMSprop,35,1,2,0.3446262
85,1.0,tanh,RMSprop,35,1,2,0.3380006
60,1.0,tanh,RMSprop,30,1,2,0.33572108
80,1.0,tanh,RMSprop,45,1,2,0.3339653
95,1.0,tanh,RMSprop,5,1,2,0.33382827
20,1.0,tanh,RMSprop,5,1,2,0.33310083
80,1.0,tanh,RMSprop,15,1,2,0.32599613
15,1.0,tanh,RMSprop,5,1,2,0.32136235
10,1.0,tanh,RMSprop,30,1,2,0.3175004
60,1.0,tanh,RMSprop,5,1,2,0.3139282
65,1.0,tanh,RMSprop,10,1,2,0.31364077
30,1.0,tanh,RMSprop,15,1,2,0.31349036
40,1.0,tanh,RMSprop,25,1,2,0.31278726
55,1.0,tanh,RMSprop,55,1,2,0.30969954
55,1.0,tanh,RMSprop,25,1,2,0.30749375
60,1.0,tanh,RMSprop,25,1,2,0.30743557
65,1.0,tanh,RMSprop,20,1,2,0.30611768
100,1.0,tanh,RMSprop,70,1,2,0.30559716
40,1.0,tanh,RMSprop,50,1,2,0.30451822
15,1.0,tanh,RMSprop,30,1,2,0.2965637
10,1.0,tanh,RMSprop,5,1,2,0.29120964
80,1.0,tanh,RMSprop,25,1,2,0.28671238
25,1.0,tanh,RMSprop,100,1,2,0.2838415
80,1.0,tanh,RMSprop,35,1,2,0.28267795
60,1.0,tanh,RMSprop,85,1,2,0.28257155
95,1.0,tanh,RMSprop,25,1,2,0.28158897
65,1.0,tanh,RMSprop,50,1,2,0.27604795
75,1.0,tanh,RMSprop,10,1,2,0.2742981
