epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
25,1.0,tanh,RMSprop,10,1,2,0.86670715
50,1.0,tanh,RMSprop,15,1,2,0.86643046
65,1.0,tanh,RMSprop,15,1,2,0.8580968
90,1.0,tanh,RMSprop,20,1,2,0.8563273
55,1.0,tanh,RMSprop,10,1,2,0.8474462
20,1.0,tanh,RMSprop,15,1,2,0.8451557
5,1.0,tanh,RMSprop,15,1,2,0.841325
100,1.0,tanh,RMSprop,15,1,2,0.84093314
85,1.0,tanh,RMSprop,15,1,2,0.83812755
90,1.0,tanh,RMSprop,15,1,2,0.83676076
35,1.0,tanh,RMSprop,15,1,2,0.8299408
40,1.0,tanh,RMSprop,25,1,2,0.8280094
75,1.0,tanh,RMSprop,10,1,2,0.8273689
100,1.0,tanh,RMSprop,25,1,2,0.82713693
60,1.0,tanh,RMSprop,10,1,2,0.8194874
60,1.0,tanh,RMSprop,15,1,2,0.8183192
45,1.0,tanh,RMSprop,15,1,2,0.8146315
90,1.0,tanh,RMSprop,10,1,2,0.8137799
75,1.0,tanh,RMSprop,5,1,2,0.8132135
50,1.0,tanh,RMSprop,5,1,2,0.81279504
30,1.0,tanh,RMSprop,10,1,2,0.8127156
15,1.0,tanh,RMSprop,10,1,2,0.81155384
80,1.0,tanh,RMSprop,10,1,2,0.81138474
55,1.0,tanh,RMSprop,5,1,2,0.81076163
40,1.0,tanh,RMSprop,15,1,2,0.8106991
65,1.0,tanh,RMSprop,10,1,2,0.8102624
65,1.0,tanh,RMSprop,35,1,2,0.8101986
35,1.0,tanh,RMSprop,10,1,2,0.8065988
40,1.0,tanh,RMSprop,5,1,2,0.8052271
25,1.0,tanh,RMSprop,15,1,2,0.80432564
50,1.0,tanh,RMSprop,25,1,2,0.80311775
65,1.0,tanh,RMSprop,5,1,2,0.798078
55,1.0,tanh,RMSprop,15,1,2,0.79656917
20,1.0,tanh,RMSprop,20,1,2,0.78983974
95,1.0,tanh,RMSprop,5,1,2,0.78953326
85,1.0,tanh,RMSprop,25,1,2,0.7893074
75,1.0,tanh,RMSprop,20,1,2,0.78656965
50,1.0,tanh,RMSprop,10,1,2,0.7860091
85,1.0,tanh,RMSprop,5,1,2,0.785885
95,1.0,tanh,RMSprop,25,1,2,0.78400767
20,1.0,tanh,RMSprop,10,1,2,0.77753025
25,1.0,tanh,RMSprop,20,1,2,0.7758423
5,1.0,tanh,RMSprop,20,1,2,0.7710202
45,1.0,tanh,RMSprop,10,1,2,0.76917577
70,1.0,tanh,RMSprop,5,1,2,0.769102
10,1.0,tanh,RMSprop,15,1,2,0.766068
90,1.0,tanh,RMSprop,30,1,2,0.7643309
30,1.0,tanh,RMSprop,20,1,2,0.76360357
40,1.0,tanh,RMSprop,10,1,2,0.7604758
50,1.0,tanh,RMSprop,30,1,2,0.75936633
80,1.0,tanh,RMSprop,30,1,2,0.75777423
85,1.0,tanh,RMSprop,30,1,2,0.7575662
80,1.0,tanh,RMSprop,20,1,2,0.7539401
50,1.0,tanh,RMSprop,35,1,2,0.7506997
65,1.0,tanh,RMSprop,40,1,2,0.75036514
25,1.0,tanh,RMSprop,5,1,2,0.7495601
90,1.0,tanh,RMSprop,5,1,2,0.746131
70,1.0,tanh,RMSprop,10,1,2,0.7449858
55,1.0,tanh,RMSprop,25,1,2,0.7425648
75,1.0,tanh,RMSprop,30,1,2,0.7417646
95,1.0,tanh,RMSprop,20,1,2,0.7391566
55,1.0,tanh,RMSprop,40,1,2,0.73890376
35,1.0,tanh,RMSprop,20,1,2,0.7372957
5,1.0,tanh,RMSprop,10,1,2,0.73443186
25,1.0,tanh,RMSprop,25,1,2,0.73300266
30,1.0,tanh,RMSprop,15,1,2,0.73040354
15,1.0,tanh,RMSprop,15,1,2,0.7296062
65,1.0,tanh,RMSprop,45,1,2,0.7270875
100,1.0,tanh,RMSprop,10,1,2,0.7246656
85,1.0,tanh,RMSprop,20,1,2,0.7242032
90,1.0,tanh,RMSprop,25,1,2,0.7221916
85,1.0,tanh,RMSprop,35,1,2,0.7220027
50,1.0,tanh,RMSprop,20,1,2,0.7182103
70,1.0,tanh,RMSprop,30,1,2,0.71204776
40,1.0,tanh,RMSprop,45,1,2,0.70793474
10,1.0,tanh,RMSprop,10,1,2,0.7070539
20,1.0,tanh,RMSprop,30,1,2,0.7058848
60,1.0,tanh,RMSprop,5,1,2,0.70210046
65,1.0,tanh,RMSprop,20,1,2,0.7015123
70,1.0,tanh,RMSprop,25,1,2,0.701416
85,1.0,tanh,RMSprop,10,1,2,0.6981838
100,1.0,tanh,RMSprop,20,1,2,0.69575757
20,1.0,tanh,RMSprop,25,1,2,0.6941292
55,1.0,tanh,RMSprop,20,1,2,0.693335
55,1.0,tanh,RMSprop,30,1,2,0.6873836
10,1.0,tanh,RMSprop,5,1,2,0.682037
100,1.0,tanh,RMSprop,5,1,2,0.681124
40,1.0,tanh,RMSprop,20,1,2,0.67829597
45,1.0,tanh,RMSprop,25,1,2,0.6765379
60,1.0,tanh,RMSprop,25,1,2,0.6743644
35,1.0,tanh,RMSprop,5,1,2,0.6713984
5,1.0,tanh,RMSprop,5,1,2,0.6685767
60,1.0,tanh,RMSprop,20,1,2,0.668303
70,1.0,tanh,RMSprop,20,1,2,0.66689134
60,1.0,tanh,RMSprop,30,1,2,0.6642309
55,1.0,tanh,RMSprop,35,1,2,0.6617379
95,1.0,tanh,RMSprop,10,1,2,0.6549914
45,1.0,tanh,RMSprop,30,1,2,0.63950413
80,1.0,tanh,RMSprop,5,1,2,0.6387098
65,1.0,tanh,RMSprop,25,1,2,0.6342179
20,1.0,tanh,RMSprop,35,1,2,0.6310766
45,1.0,tanh,RMSprop,35,1,2,0.63023794
15,1.0,tanh,RMSprop,5,1,2,0.6289031
35,1.0,tanh,RMSprop,30,1,2,0.6239636
40,1.0,tanh,RMSprop,35,1,2,0.6238477
45,1.0,tanh,RMSprop,5,1,2,0.6205074
95,1.0,tanh,RMSprop,40,1,2,0.615349
35,1.0,tanh,RMSprop,35,1,2,0.6139405
75,1.0,tanh,RMSprop,25,1,2,0.6106171
95,1.0,tanh,RMSprop,35,1,2,0.60769653
30,1.0,tanh,RMSprop,5,1,2,0.6051383
95,1.0,tanh,RMSprop,30,1,2,0.60454106
10,1.0,tanh,RMSprop,20,1,2,0.5972117
55,1.0,tanh,RMSprop,45,1,2,0.587723
50,1.0,tanh,RMSprop,40,1,2,0.5875492
25,1.0,tanh,RMSprop,40,1,2,0.58147275
90,1.0,tanh,RMSprop,50,1,2,0.5781823
65,1.0,tanh,RMSprop,30,1,2,0.5768955
75,1.0,tanh,RMSprop,50,1,2,0.56999314
30,1.0,tanh,RMSprop,25,1,2,0.5656988
25,1.0,tanh,RMSprop,35,1,2,0.56551176
80,1.0,tanh,RMSprop,15,1,2,0.55976677
40,1.0,tanh,RMSprop,30,1,2,0.5583446
95,1.0,tanh,RMSprop,45,1,2,0.5575248
35,1.0,tanh,RMSprop,25,1,2,0.5513642
30,1.0,tanh,RMSprop,30,1,2,0.5499962
80,1.0,tanh,RMSprop,35,1,2,0.54882973
50,1.0,tanh,RMSprop,45,1,2,0.54189837
40,1.0,tanh,RMSprop,40,1,2,0.5418713
75,1.0,tanh,RMSprop,35,1,2,0.54045445
75,1.0,tanh,RMSprop,15,1,2,0.53080845
20,1.0,tanh,RMSprop,5,1,2,0.523181
30,1.0,tanh,RMSprop,40,1,2,0.5025143
