epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
15,0.9,tanh,RMSprop,20,1,3,nan
15,0.9,tanh,RMSprop,15,1,3,nan
15,0.9,tanh,RMSprop,25,1,3,nan
15,0.9,tanh,RMSprop,13,1,3,nan
30,0.9,tanh,RMSprop,2,1,3,0.5491103
50,0.9,tanh,RMSprop,6,1,3,0.5393156
70,0.9,tanh,RMSprop,2,1,3,0.5001997
60,0.9,tanh,RMSprop,13,1,3,0.49054825
90,0.9,tanh,RMSprop,10,1,3,0.4863706
30,0.9,tanh,RMSprop,4,1,3,0.48458505
45,0.9,tanh,RMSprop,8,1,3,0.48321068
60,0.9,tanh,RMSprop,2,1,3,0.47858953
45,0.9,tanh,RMSprop,4,1,3,0.4731303
35,0.9,tanh,RMSprop,6,1,3,0.46885052
30,0.9,tanh,RMSprop,6,1,3,0.46818995
40,0.9,tanh,RMSprop,8,1,3,0.46471682
25,0.9,tanh,RMSprop,4,1,3,0.45470986
70,0.9,tanh,RMSprop,6,1,3,0.45360333
45,0.9,tanh,RMSprop,10,1,3,0.44977298
15,0.9,tanh,RMSprop,4,1,3,0.4489041
45,0.9,tanh,RMSprop,6,1,3,0.44455317
15,0.9,tanh,RMSprop,6,1,3,0.44085503
60,0.9,tanh,RMSprop,8,1,3,0.44006118
15,0.9,tanh,RMSprop,2,1,3,0.43873942
25,0.9,tanh,RMSprop,8,1,3,0.43711647
100,0.9,tanh,RMSprop,2,1,3,0.43196043
50,0.9,tanh,RMSprop,8,1,3,0.42613906
50,0.9,tanh,RMSprop,4,1,3,0.42428142
35,0.9,tanh,RMSprop,4,1,3,0.4235589
55,0.9,tanh,RMSprop,4,1,3,0.4214688
60,0.9,tanh,RMSprop,4,1,3,0.41956624
20,0.9,tanh,RMSprop,8,1,3,0.4161831
25,0.9,tanh,RMSprop,6,1,3,0.41174743
15,0.9,tanh,RMSprop,10,1,3,0.41115484
15,0.9,tanh,RMSprop,8,1,3,0.4080768
25,0.9,tanh,RMSprop,2,1,3,0.40286124
30,0.9,tanh,RMSprop,8,1,3,0.40252045
90,0.9,tanh,RMSprop,2,1,3,0.40131614
90,0.9,tanh,RMSprop,6,1,3,0.40019575
10,0.9,tanh,RMSprop,2,1,3,0.39650565
60,0.9,tanh,RMSprop,6,1,3,0.39484012
70,0.9,tanh,RMSprop,4,1,3,0.39256397
40,0.9,tanh,RMSprop,2,1,3,0.3902536
10,0.9,tanh,RMSprop,6,1,3,0.38532022
35,0.9,tanh,RMSprop,10,1,3,0.37577403
35,0.9,tanh,RMSprop,2,1,3,0.37288016
90,0.9,tanh,RMSprop,4,1,3,0.36857218
35,0.9,tanh,RMSprop,8,1,3,0.36106133
80,0.9,tanh,RMSprop,4,1,3,0.35949275
100,0.9,tanh,RMSprop,6,1,3,0.3589045
40,0.9,tanh,RMSprop,4,1,3,0.358312
40,0.9,tanh,RMSprop,6,1,3,0.343089
80,0.9,tanh,RMSprop,2,1,3,0.34203848
90,0.9,tanh,RMSprop,8,1,3,0.31581426
50,0.9,tanh,RMSprop,2,1,3,0.31067982
50,0.9,tanh,RMSprop,10,1,3,0.30717623
80,0.9,tanh,RMSprop,8,1,3,0.30505222
25,0.9,tanh,RMSprop,13,1,3,0.29395217
45,0.9,tanh,RMSprop,2,1,3,0.28817192
5,0.9,tanh,RMSprop,6,1,3,0.27417025
55,0.9,tanh,RMSprop,2,1,3,0.2699198
5,0.9,tanh,RMSprop,2,1,3,0.16613398
35,0.9,tanh,RMSprop,25,1,3,0.0
80,0.9,tanh,RMSprop,15,1,3,0.0
80,0.9,tanh,RMSprop,10,1,3,0.0
10,0.9,tanh,RMSprop,8,1,3,0.0
80,0.9,tanh,RMSprop,6,1,3,0.0
10,0.9,tanh,RMSprop,10,1,3,0.0
10,0.9,tanh,RMSprop,13,1,3,0.0
70,0.9,tanh,RMSprop,25,1,3,0.0
70,0.9,tanh,RMSprop,20,1,3,0.0
70,0.9,tanh,RMSprop,15,1,3,0.0
70,0.9,tanh,RMSprop,13,1,3,0.0
70,0.9,tanh,RMSprop,10,1,3,0.0
70,0.9,tanh,RMSprop,8,1,3,0.0
10,0.9,tanh,RMSprop,15,1,3,0.0
10,0.9,tanh,RMSprop,20,1,3,0.0
10,0.9,tanh,RMSprop,25,1,3,0.0
60,0.9,tanh,RMSprop,25,1,3,0.0
60,0.9,tanh,RMSprop,20,1,3,0.0
60,0.9,tanh,RMSprop,15,1,3,0.0
80,0.9,tanh,RMSprop,13,1,3,0.0
80,0.9,tanh,RMSprop,20,1,3,0.0
35,0.9,tanh,RMSprop,20,1,3,0.0
80,0.9,tanh,RMSprop,25,1,3,0.0
100,0.9,tanh,RMSprop,20,1,3,0.0
100,0.9,tanh,RMSprop,15,1,3,0.0
100,0.9,tanh,RMSprop,13,1,3,0.0
100,0.9,tanh,RMSprop,10,1,3,0.0
100,0.9,tanh,RMSprop,8,1,3,0.0
5,0.9,tanh,RMSprop,8,1,3,0.0
100,0.9,tanh,RMSprop,4,1,3,0.0
5,0.9,tanh,RMSprop,10,1,3,0.0
90,0.9,tanh,RMSprop,25,1,3,0.0
90,0.9,tanh,RMSprop,20,1,3,0.0
90,0.9,tanh,RMSprop,15,1,3,0.0
90,0.9,tanh,RMSprop,13,1,3,0.0
5,0.9,tanh,RMSprop,13,1,3,0.0
5,0.9,tanh,RMSprop,15,1,3,0.0
5,0.9,tanh,RMSprop,20,1,3,0.0
5,0.9,tanh,RMSprop,25,1,3,0.0
10,0.9,tanh,RMSprop,4,1,3,0.0
20,0.9,tanh,RMSprop,2,1,3,0.0
60,0.9,tanh,RMSprop,10,1,3,0.0
20,0.9,tanh,RMSprop,4,1,3,0.0
20,0.9,tanh,RMSprop,6,1,3,0.0
45,0.9,tanh,RMSprop,25,1,3,0.0
45,0.9,tanh,RMSprop,20,1,3,0.0
45,0.9,tanh,RMSprop,15,1,3,0.0
45,0.9,tanh,RMSprop,13,1,3,0.0
30,0.9,tanh,RMSprop,10,1,3,0.0
30,0.9,tanh,RMSprop,13,1,3,0.0
30,0.9,tanh,RMSprop,15,1,3,0.0
30,0.9,tanh,RMSprop,20,1,3,0.0
5,0.9,tanh,RMSprop,4,1,3,0.0
40,0.9,tanh,RMSprop,25,1,3,0.0
40,0.9,tanh,RMSprop,20,1,3,0.0
40,0.9,tanh,RMSprop,15,1,3,0.0
40,0.9,tanh,RMSprop,13,1,3,0.0
40,0.9,tanh,RMSprop,10,1,3,0.0
30,0.9,tanh,RMSprop,25,1,3,0.0
35,0.9,tanh,RMSprop,13,1,3,0.0
35,0.9,tanh,RMSprop,15,1,3,0.0
25,0.9,tanh,RMSprop,25,1,3,0.0
25,0.9,tanh,RMSprop,20,1,3,0.0
25,0.9,tanh,RMSprop,15,1,3,0.0
55,0.9,tanh,RMSprop,8,1,3,0.0
20,0.9,tanh,RMSprop,10,1,3,0.0
20,0.9,tanh,RMSprop,13,1,3,0.0
55,0.9,tanh,RMSprop,25,1,3,0.0
55,0.9,tanh,RMSprop,20,1,3,0.0
55,0.9,tanh,RMSprop,15,1,3,0.0
55,0.9,tanh,RMSprop,13,1,3,0.0
55,0.9,tanh,RMSprop,10,1,3,0.0
55,0.9,tanh,RMSprop,6,1,3,0.0
25,0.9,tanh,RMSprop,10,1,3,0.0
20,0.9,tanh,RMSprop,15,1,3,0.0
20,0.9,tanh,RMSprop,20,1,3,0.0
50,0.9,tanh,RMSprop,25,1,3,0.0
50,0.9,tanh,RMSprop,20,1,3,0.0
50,0.9,tanh,RMSprop,15,1,3,0.0
50,0.9,tanh,RMSprop,13,1,3,0.0
20,0.9,tanh,RMSprop,25,1,3,0.0
100,0.9,tanh,RMSprop,25,1,3,0.0
