epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,0.9,tanh,RMSprop,13,1,3,nan
30,0.9,tanh,RMSprop,25,1,3,nan
30,0.9,tanh,RMSprop,10,1,3,nan
15,0.9,tanh,RMSprop,25,1,3,nan
15,0.9,tanh,RMSprop,20,1,3,nan
5,0.9,tanh,RMSprop,13,1,3,nan
5,0.9,tanh,RMSprop,15,1,3,nan
5,0.9,tanh,RMSprop,20,1,3,nan
5,0.9,tanh,RMSprop,25,1,3,nan
15,0.9,tanh,RMSprop,10,1,3,nan
30,0.9,tanh,RMSprop,15,1,3,nan
30,0.9,tanh,RMSprop,20,1,3,nan
50,0.9,tanh,RMSprop,8,1,3,0.75330645
50,0.9,tanh,RMSprop,13,1,3,0.7455057
50,0.9,tanh,RMSprop,10,1,3,0.71922606
80,0.9,tanh,RMSprop,15,1,3,0.71167886
55,0.9,tanh,RMSprop,10,1,3,0.7064633
90,0.9,tanh,RMSprop,13,1,3,0.7028817
80,0.9,tanh,RMSprop,10,1,3,0.7026588
50,0.9,tanh,RMSprop,15,1,3,0.7018054
90,0.9,tanh,RMSprop,10,1,3,0.6962641
100,0.9,tanh,RMSprop,10,1,3,0.693128
70,0.9,tanh,RMSprop,10,1,3,0.69237447
55,0.9,tanh,RMSprop,15,1,3,0.68437564
70,0.9,tanh,RMSprop,15,1,3,0.68391037
90,0.9,tanh,RMSprop,15,1,3,0.6815471
40,0.9,tanh,RMSprop,8,1,3,0.66993904
35,0.9,tanh,RMSprop,15,1,3,0.6681147
100,0.9,tanh,RMSprop,13,1,3,0.66204613
40,0.9,tanh,RMSprop,15,1,3,0.64541775
80,0.9,tanh,RMSprop,4,1,3,0.64254254
70,0.9,tanh,RMSprop,13,1,3,0.63894653
80,0.9,tanh,RMSprop,6,1,3,0.6335774
70,0.9,tanh,RMSprop,6,1,3,0.6298173
45,0.9,tanh,RMSprop,8,1,3,0.62705886
70,0.9,tanh,RMSprop,8,1,3,0.62688833
80,0.9,tanh,RMSprop,8,1,3,0.62504846
60,0.9,tanh,RMSprop,8,1,3,0.62495595
25,0.9,tanh,RMSprop,8,1,3,0.6200376
20,0.9,tanh,RMSprop,13,1,3,0.61999863
70,0.9,tanh,RMSprop,4,1,3,0.61523235
40,0.9,tanh,RMSprop,4,1,3,0.6144741
60,0.9,tanh,RMSprop,6,1,3,0.6021176
45,0.9,tanh,RMSprop,10,1,3,0.59193534
100,0.9,tanh,RMSprop,6,1,3,0.58924073
55,0.9,tanh,RMSprop,13,1,3,0.5865934
60,0.9,tanh,RMSprop,4,1,3,0.58557
55,0.9,tanh,RMSprop,6,1,3,0.58418125
40,0.9,tanh,RMSprop,13,1,3,0.5829513
100,0.9,tanh,RMSprop,4,1,3,0.5827118
45,0.9,tanh,RMSprop,4,1,3,0.58238596
30,0.9,tanh,RMSprop,8,1,3,0.5768724
