epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
80,1.0,tanh,RMSprop,15,1,2,0.87637895
55,1.0,tanh,RMSprop,45,1,2,0.87011373
25,1.0,tanh,RMSprop,15,1,2,0.86231005
70,1.0,tanh,RMSprop,15,1,2,0.85079074
65,1.0,tanh,RMSprop,50,1,2,0.84751284
30,1.0,tanh,RMSprop,100,1,2,0.84136677
70,1.0,tanh,RMSprop,10,1,2,0.8326275
55,1.0,tanh,RMSprop,70,1,2,0.8290602
40,1.0,tanh,RMSprop,20,1,2,0.81089324
60,1.0,tanh,RMSprop,50,1,2,0.80764097
50,1.0,tanh,RMSprop,15,1,2,0.8033187
5,1.0,tanh,RMSprop,20,1,2,0.80139786
45,1.0,tanh,RMSprop,70,1,2,0.7972094
45,1.0,tanh,RMSprop,30,1,2,0.79219365
80,1.0,tanh,RMSprop,5,1,2,0.79087913
5,1.0,tanh,RMSprop,30,1,2,0.7902439
85,1.0,tanh,RMSprop,5,1,2,0.78848267
45,1.0,tanh,RMSprop,5,1,2,0.78761953
10,1.0,tanh,RMSprop,25,1,2,0.78721815
90,1.0,tanh,RMSprop,10,1,2,0.7821556
100,1.0,tanh,RMSprop,10,1,2,0.7808833
40,1.0,tanh,RMSprop,35,1,2,0.78060424
5,1.0,tanh,RMSprop,5,1,2,0.78026795
50,1.0,tanh,RMSprop,10,1,2,0.778752
15,1.0,tanh,RMSprop,30,1,2,0.7787274
80,1.0,tanh,RMSprop,75,1,2,0.77533746
25,1.0,tanh,RMSprop,10,1,2,0.77490556
40,1.0,tanh,RMSprop,25,1,2,0.77405167
45,1.0,tanh,RMSprop,10,1,2,0.7737521
50,1.0,tanh,RMSprop,60,1,2,0.77213585
90,1.0,tanh,RMSprop,5,1,2,0.7707059
95,1.0,tanh,RMSprop,5,1,2,0.7705448
45,1.0,tanh,RMSprop,15,1,2,0.76752657
20,1.0,tanh,RMSprop,25,1,2,0.7668973
30,1.0,tanh,RMSprop,20,1,2,0.7661688
95,1.0,tanh,RMSprop,95,1,2,0.76503134
20,1.0,tanh,RMSprop,10,1,2,0.76381356
95,1.0,tanh,RMSprop,15,1,2,0.7637598
5,1.0,tanh,RMSprop,25,1,2,0.76311624
80,1.0,tanh,RMSprop,30,1,2,0.76289594
85,1.0,tanh,RMSprop,25,1,2,0.76172644
