epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,Adagrad,12,1,2,0.80679333
28,1.0,tanh,Adagrad,12,1,2,0.79914594
30,1.0,tanh,Adagrad,14,1,2,0.7913527
24,1.0,tanh,Adagrad,12,1,2,0.783731
22,1.0,tanh,Adagrad,12,1,2,0.78109527
26,1.0,tanh,Adagrad,14,1,2,0.7805642
26,1.0,tanh,Adagrad,16,1,2,0.78041834
28,1.0,tanh,Adagrad,6,1,2,0.7803782
28,1.0,tanh,Adagrad,16,1,2,0.77933335
26,1.0,tanh,Adagrad,12,1,2,0.7772953
20,1.0,tanh,Adagrad,6,1,2,0.77235305
30,1.0,tanh,Adagrad,10,1,2,0.7661662
20,1.0,tanh,Adagrad,14,1,2,0.7638386
24,1.0,tanh,Adagrad,14,1,2,0.7637658
20,1.0,tanh,Adagrad,8,1,2,0.76340735
26,1.0,tanh,Adagrad,6,1,2,0.7593251
30,1.0,tanh,Adagrad,16,1,2,0.7572034
28,1.0,tanh,Adagrad,8,1,2,0.7562417
26,1.0,tanh,Adagrad,8,1,2,0.7556355
26,1.0,tanh,Adagrad,10,1,2,0.7535631
22,1.0,tanh,Adagrad,16,1,2,0.75294596
28,1.0,tanh,Adagrad,10,1,2,0.7471878
20,1.0,tanh,Adagrad,16,1,2,0.7460623
22,1.0,tanh,Adagrad,10,1,2,0.740604
22,1.0,tanh,Adagrad,14,1,2,0.73906314
20,1.0,tanh,Adagrad,10,1,2,0.73491096
24,1.0,tanh,Adagrad,8,1,2,0.73405594
28,1.0,tanh,Adagrad,14,1,2,0.7339764
24,1.0,tanh,Adagrad,6,1,2,0.7292966
24,1.0,tanh,Adagrad,16,1,2,0.7287085
24,1.0,tanh,Adagrad,10,1,2,0.72369766
30,1.0,tanh,Adagrad,8,1,2,0.7122489
20,1.0,tanh,Adagrad,12,1,2,0.7108454
22,1.0,tanh,Adagrad,8,1,2,0.7101994
22,1.0,tanh,Adagrad,6,1,2,0.6949448
30,1.0,tanh,Adagrad,6,1,2,0.6069772
