epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,0.9,tanh,RMSprop,20,1,3,nan
10,0.9,tanh,RMSprop,13,1,3,nan
15,0.9,tanh,RMSprop,25,1,3,nan
15,0.9,tanh,RMSprop,20,1,3,nan
15,0.9,tanh,RMSprop,18,1,3,nan
15,0.9,tanh,RMSprop,15,1,3,nan
15,0.9,tanh,RMSprop,13,1,3,nan
30,0.9,tanh,RMSprop,6,1,3,nan
15,0.9,tanh,RMSprop,8,1,3,nan
30,0.9,tanh,RMSprop,15,1,3,nan
30,0.9,tanh,RMSprop,18,1,3,nan
10,0.9,tanh,RMSprop,25,1,3,nan
10,0.9,tanh,RMSprop,20,1,3,nan
10,0.9,tanh,RMSprop,18,1,3,nan
10,0.9,tanh,RMSprop,15,1,3,nan
30,0.9,tanh,RMSprop,13,1,3,nan
10,0.9,tanh,RMSprop,10,1,3,nan
30,0.9,tanh,RMSprop,25,1,3,nan
25,0.9,tanh,RMSprop,15,1,3,3.566596e-08
25,0.9,tanh,RMSprop,18,1,3,3.566596e-08
25,0.9,tanh,RMSprop,20,1,3,3.566596e-08
20,0.9,tanh,RMSprop,25,1,3,3.566596e-08
20,0.9,tanh,RMSprop,20,1,3,3.566596e-08
20,0.9,tanh,RMSprop,18,1,3,3.566596e-08
20,0.9,tanh,RMSprop,15,1,3,3.566596e-08
20,0.9,tanh,RMSprop,13,1,3,3.566596e-08
20,0.9,tanh,RMSprop,10,1,3,3.566596e-08
25,0.9,tanh,RMSprop,25,1,3,3.566596e-08
20,0.9,tanh,RMSprop,4,1,3,3.566596e-08
20,0.9,tanh,RMSprop,2,1,3,3.566596e-08
5,0.9,tanh,RMSprop,10,1,3,3.566596e-08
5,0.9,tanh,RMSprop,13,1,3,3.566596e-08
5,0.9,tanh,RMSprop,15,1,3,3.566596e-08
5,0.9,tanh,RMSprop,18,1,3,3.566596e-08
5,0.9,tanh,RMSprop,20,1,3,3.566596e-08
5,0.9,tanh,RMSprop,25,1,3,3.566596e-08
25,0.9,tanh,RMSprop,13,1,3,3.566596e-08
35,0.9,tanh,RMSprop,8,1,3,0.7163861
100,0.9,tanh,RMSprop,6,1,3,0.71493924
45,0.9,tanh,RMSprop,2,1,3,0.6904688
65,0.9,tanh,RMSprop,15,1,3,0.68994665
20,0.9,tanh,RMSprop,6,1,3,0.68768525
90,0.9,tanh,RMSprop,20,1,3,0.6795727
95,0.9,tanh,RMSprop,13,1,3,0.67832845
60,0.9,tanh,RMSprop,13,1,3,0.6715942
70,0.9,tanh,RMSprop,10,1,3,0.66279703
90,0.9,tanh,RMSprop,10,1,3,0.6620902
15,0.9,tanh,RMSprop,6,1,3,0.6550079
50,0.9,tanh,RMSprop,2,1,3,0.65422857
95,0.9,tanh,RMSprop,2,1,3,0.64154714
25,0.9,tanh,RMSprop,8,1,3,0.63997144
25,0.9,tanh,RMSprop,6,1,3,0.637354
85,0.9,tanh,RMSprop,4,1,3,0.6366388
65,0.9,tanh,RMSprop,4,1,3,0.6344857
80,0.9,tanh,RMSprop,10,1,3,0.6297154
55,0.9,tanh,RMSprop,8,1,3,0.62692165
90,0.9,tanh,RMSprop,6,1,3,0.62601674
25,0.9,tanh,RMSprop,4,1,3,0.6227635
15,0.9,tanh,RMSprop,10,1,3,0.6205177
15,0.9,tanh,RMSprop,4,1,3,0.61631656
85,0.9,tanh,RMSprop,8,1,3,0.6094424
80,0.9,tanh,RMSprop,6,1,3,0.60603184
100,0.9,tanh,RMSprop,8,1,3,0.60590565
40,0.9,tanh,RMSprop,6,1,3,0.6007385
15,0.9,tanh,RMSprop,2,1,3,0.6007369
50,0.9,tanh,RMSprop,6,1,3,0.5899263
100,0.9,tanh,RMSprop,13,1,3,0.58220553
100,0.9,tanh,RMSprop,4,1,3,0.5807556
90,0.9,tanh,RMSprop,2,1,3,0.57993406
70,0.9,tanh,RMSprop,2,1,3,0.5744241
65,0.9,tanh,RMSprop,6,1,3,0.5677209
80,0.9,tanh,RMSprop,2,1,3,0.5650388
100,0.9,tanh,RMSprop,10,1,3,0.56436014
85,0.9,tanh,RMSprop,6,1,3,0.5635681
10,0.9,tanh,RMSprop,4,1,3,0.5619232
45,0.9,tanh,RMSprop,4,1,3,0.55769503
10,0.9,tanh,RMSprop,8,1,3,0.5571262
60,0.9,tanh,RMSprop,8,1,3,0.5540859
65,0.9,tanh,RMSprop,2,1,3,0.5527838
35,0.9,tanh,RMSprop,6,1,3,0.5515297
50,0.9,tanh,RMSprop,8,1,3,0.55076265
70,0.9,tanh,RMSprop,4,1,3,0.5504702
100,0.9,tanh,RMSprop,2,1,3,0.55000234
30,0.9,tanh,RMSprop,10,1,3,0.5496464
55,0.9,tanh,RMSprop,2,1,3,0.5347566
10,0.9,tanh,RMSprop,2,1,3,0.53141487
30,0.9,tanh,RMSprop,8,1,3,0.52928644
50,0.9,tanh,RMSprop,4,1,3,0.52910817
85,0.9,tanh,RMSprop,2,1,3,0.52322865
75,0.9,tanh,RMSprop,2,1,3,0.52162373
90,0.9,tanh,RMSprop,4,1,3,0.5202931
55,0.9,tanh,RMSprop,4,1,3,0.515872
75,0.9,tanh,RMSprop,4,1,3,0.5132515
65,0.9,tanh,RMSprop,10,1,3,0.5125408
45,0.9,tanh,RMSprop,8,1,3,0.50884527
70,0.9,tanh,RMSprop,8,1,3,0.5072183
25,0.9,tanh,RMSprop,2,1,3,0.5037606
55,0.9,tanh,RMSprop,6,1,3,0.50342584
95,0.9,tanh,RMSprop,6,1,3,0.50307876
95,0.9,tanh,RMSprop,4,1,3,0.5023661
80,0.9,tanh,RMSprop,4,1,3,0.5017003
65,0.9,tanh,RMSprop,8,1,3,0.49346864
75,0.9,tanh,RMSprop,6,1,3,0.49215952
75,0.9,tanh,RMSprop,8,1,3,0.48751488
60,0.9,tanh,RMSprop,2,1,3,0.48311585
45,0.9,tanh,RMSprop,6,1,3,0.46651202
30,0.9,tanh,RMSprop,2,1,3,0.4579141
40,0.9,tanh,RMSprop,8,1,3,0.4556249
10,0.9,tanh,RMSprop,6,1,3,0.45045227
35,0.9,tanh,RMSprop,2,1,3,0.44499356
70,0.9,tanh,RMSprop,6,1,3,0.4337911
60,0.9,tanh,RMSprop,6,1,3,0.42541444
40,0.9,tanh,RMSprop,4,1,3,0.3972677
50,0.9,tanh,RMSprop,10,1,3,0.39160952
60,0.9,tanh,RMSprop,4,1,3,0.34957165
60,0.9,tanh,RMSprop,10,1,3,0.32781014
5,0.9,tanh,RMSprop,2,1,3,0.28494006
30,0.9,tanh,RMSprop,4,1,3,0.22310147
5,0.9,tanh,RMSprop,4,1,3,0.2198011
5,0.9,tanh,RMSprop,6,1,3,0.10159514
5,0.9,tanh,RMSprop,8,1,3,0.10057279
25,0.9,tanh,RMSprop,10,1,3,0.087306224
60,0.9,tanh,RMSprop,18,1,3,-3.566596e-08
90,0.9,tanh,RMSprop,13,1,3,-3.566596e-08
35,0.9,tanh,RMSprop,25,1,3,-3.566596e-08
90,0.9,tanh,RMSprop,8,1,3,-3.566596e-08
40,0.9,tanh,RMSprop,2,1,3,-3.566596e-08
40,0.9,tanh,RMSprop,13,1,3,-3.566596e-08
85,0.9,tanh,RMSprop,25,1,3,-3.566596e-08
85,0.9,tanh,RMSprop,20,1,3,-3.566596e-08
85,0.9,tanh,RMSprop,13,1,3,-3.566596e-08
85,0.9,tanh,RMSprop,18,1,3,-3.566596e-08
85,0.9,tanh,RMSprop,15,1,3,-3.566596e-08
90,0.9,tanh,RMSprop,18,1,3,-3.566596e-08
85,0.9,tanh,RMSprop,10,1,3,-3.566596e-08
40,0.9,tanh,RMSprop,15,1,3,-3.566596e-08
40,0.9,tanh,RMSprop,18,1,3,-3.566596e-08
40,0.9,tanh,RMSprop,20,1,3,-3.566596e-08
40,0.9,tanh,RMSprop,25,1,3,-3.566596e-08
90,0.9,tanh,RMSprop,15,1,3,-3.566596e-08
35,0.9,tanh,RMSprop,18,1,3,-3.566596e-08
35,0.9,tanh,RMSprop,20,1,3,-3.566596e-08
95,0.9,tanh,RMSprop,18,1,3,-3.566596e-08
100,0.9,tanh,RMSprop,20,1,3,-3.566596e-08
100,0.9,tanh,RMSprop,18,1,3,-3.566596e-08
100,0.9,tanh,RMSprop,15,1,3,-3.566596e-08
35,0.9,tanh,RMSprop,4,1,3,-3.566596e-08
95,0.9,tanh,RMSprop,25,1,3,-3.566596e-08
