epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
15,0.9,tanh,RMSprop,10,1,3,nan
15,0.9,tanh,RMSprop,13,1,3,nan
15,0.9,tanh,RMSprop,15,1,3,nan
15,0.9,tanh,RMSprop,20,1,3,nan
15,0.9,tanh,RMSprop,25,1,3,nan
100,0.9,tanh,RMSprop,25,1,3,2.5390522e-08
70,0.9,tanh,RMSprop,25,1,3,2.5390522e-08
35,0.9,tanh,RMSprop,20,1,3,2.5390522e-08
35,0.9,tanh,RMSprop,15,1,3,2.5390522e-08
35,0.9,tanh,RMSprop,13,1,3,2.5390522e-08
30,0.9,tanh,RMSprop,25,1,3,2.5390522e-08
30,0.9,tanh,RMSprop,20,1,3,2.5390522e-08
30,0.9,tanh,RMSprop,15,1,3,2.5390522e-08
30,0.9,tanh,RMSprop,13,1,3,2.5390522e-08
70,0.9,tanh,RMSprop,13,1,3,2.5390522e-08
30,0.9,tanh,RMSprop,8,1,3,2.5390522e-08
25,0.9,tanh,RMSprop,25,1,3,2.5390522e-08
35,0.9,tanh,RMSprop,25,1,3,2.5390522e-08
40,0.9,tanh,RMSprop,4,1,3,2.5390522e-08
40,0.9,tanh,RMSprop,6,1,3,2.5390522e-08
50,0.9,tanh,RMSprop,20,1,3,2.5390522e-08
60,0.9,tanh,RMSprop,20,1,3,2.5390522e-08
55,0.9,tanh,RMSprop,25,1,3,2.5390522e-08
55,0.9,tanh,RMSprop,20,1,3,2.5390522e-08
55,0.9,tanh,RMSprop,15,1,3,2.5390522e-08
55,0.9,tanh,RMSprop,10,1,3,2.5390522e-08
50,0.9,tanh,RMSprop,25,1,3,2.5390522e-08
50,0.9,tanh,RMSprop,15,1,3,2.5390522e-08
40,0.9,tanh,RMSprop,10,1,3,2.5390522e-08
45,0.9,tanh,RMSprop,25,1,3,2.5390522e-08
45,0.9,tanh,RMSprop,20,1,3,2.5390522e-08
45,0.9,tanh,RMSprop,15,1,3,2.5390522e-08
40,0.9,tanh,RMSprop,25,1,3,2.5390522e-08
40,0.9,tanh,RMSprop,20,1,3,2.5390522e-08
40,0.9,tanh,RMSprop,15,1,3,2.5390522e-08
25,0.9,tanh,RMSprop,20,1,3,2.5390522e-08
60,0.9,tanh,RMSprop,25,1,3,2.5390522e-08
90,0.9,tanh,RMSprop,20,1,3,2.5390522e-08
90,0.9,tanh,RMSprop,25,1,3,2.5390522e-08
10,0.9,tanh,RMSprop,25,1,3,2.5390522e-08
10,0.9,tanh,RMSprop,20,1,3,2.5390522e-08
10,0.9,tanh,RMSprop,15,1,3,2.5390522e-08
80,0.9,tanh,RMSprop,25,1,3,2.5390522e-08
90,0.9,tanh,RMSprop,13,1,3,2.5390522e-08
80,0.9,tanh,RMSprop,20,1,3,2.5390522e-08
100,0.9,tanh,RMSprop,13,1,3,2.5390522e-08
90,0.9,tanh,RMSprop,4,1,3,2.5390522e-08
100,0.9,tanh,RMSprop,15,1,3,2.5390522e-08
10,0.9,tanh,RMSprop,4,1,3,2.5390522e-08
100,0.9,tanh,RMSprop,20,1,3,2.5390522e-08
70,0.9,tanh,RMSprop,15,1,3,0.70663416
45,0.9,tanh,RMSprop,4,1,3,0.70583236
60,0.9,tanh,RMSprop,10,1,3,0.69546056
100,0.9,tanh,RMSprop,8,1,3,0.69353396
80,0.9,tanh,RMSprop,6,1,3,0.68190664
60,0.9,tanh,RMSprop,13,1,3,0.6781115
50,0.9,tanh,RMSprop,8,1,3,0.66994774
35,0.9,tanh,RMSprop,4,1,3,0.6662159
70,0.9,tanh,RMSprop,8,1,3,0.6623388
100,0.9,tanh,RMSprop,6,1,3,0.66115516
35,0.9,tanh,RMSprop,6,1,3,0.659748
55,0.9,tanh,RMSprop,4,1,3,0.65281296
55,0.9,tanh,RMSprop,8,1,3,0.65011287
80,0.9,tanh,RMSprop,15,1,3,0.64562446
60,0.9,tanh,RMSprop,6,1,3,0.6454042
60,0.9,tanh,RMSprop,8,1,3,0.64124864
80,0.9,tanh,RMSprop,13,1,3,0.64098203
90,0.9,tanh,RMSprop,10,1,3,0.6407979
60,0.9,tanh,RMSprop,2,1,3,0.63953304
45,0.9,tanh,RMSprop,8,1,3,0.63845235
45,0.9,tanh,RMSprop,6,1,3,0.63776106
55,0.9,tanh,RMSprop,13,1,3,0.63319564
70,0.9,tanh,RMSprop,6,1,3,0.63135403
35,0.9,tanh,RMSprop,8,1,3,0.63097644
40,0.9,tanh,RMSprop,8,1,3,0.6304571
100,0.9,tanh,RMSprop,2,1,3,0.62948334
40,0.9,tanh,RMSprop,13,1,3,0.62575614
90,0.9,tanh,RMSprop,2,1,3,0.62530047
50,0.9,tanh,RMSprop,10,1,3,0.6222806
60,0.9,tanh,RMSprop,15,1,3,0.6212853
90,0.9,tanh,RMSprop,8,1,3,0.6187332
30,0.9,tanh,RMSprop,6,1,3,0.61845446
70,0.9,tanh,RMSprop,4,1,3,0.613078
80,0.9,tanh,RMSprop,8,1,3,0.6118508
20,0.9,tanh,RMSprop,8,1,3,0.6068657
50,0.9,tanh,RMSprop,13,1,3,0.6065151
60,0.9,tanh,RMSprop,4,1,3,0.6056644
80,0.9,tanh,RMSprop,4,1,3,0.60460436
25,0.9,tanh,RMSprop,13,1,3,0.6038455
40,0.9,tanh,RMSprop,2,1,3,0.6021756
70,0.9,tanh,RMSprop,10,1,3,0.6017957
70,0.9,tanh,RMSprop,2,1,3,0.59940064
30,0.9,tanh,RMSprop,4,1,3,0.59926015
100,0.9,tanh,RMSprop,4,1,3,0.59834224
25,0.9,tanh,RMSprop,4,1,3,0.5976656
55,0.9,tanh,RMSprop,2,1,3,0.59492224
25,0.9,tanh,RMSprop,10,1,3,0.59268725
50,0.9,tanh,RMSprop,4,1,3,0.5895464
55,0.9,tanh,RMSprop,6,1,3,0.5894332
35,0.9,tanh,RMSprop,10,1,3,0.58818525
20,0.9,tanh,RMSprop,6,1,3,0.5834597
50,0.9,tanh,RMSprop,6,1,3,0.5812642
90,0.9,tanh,RMSprop,6,1,3,0.57805467
70,0.9,tanh,RMSprop,20,1,3,0.57410103
25,0.9,tanh,RMSprop,8,1,3,0.57401097
100,0.9,tanh,RMSprop,10,1,3,0.5681813
45,0.9,tanh,RMSprop,13,1,3,0.56593186
15,0.9,tanh,RMSprop,2,1,3,0.54742163
45,0.9,tanh,RMSprop,2,1,3,0.54645455
30,0.9,tanh,RMSprop,2,1,3,0.5430139
15,0.9,tanh,RMSprop,6,1,3,0.53937244
45,0.9,tanh,RMSprop,10,1,3,0.536573
25,0.9,tanh,RMSprop,6,1,3,0.5243787
80,0.9,tanh,RMSprop,10,1,3,0.5229252
80,0.9,tanh,RMSprop,2,1,3,0.5183405
20,0.9,tanh,RMSprop,4,1,3,0.51329494
15,0.9,tanh,RMSprop,4,1,3,0.50103325
20,0.9,tanh,RMSprop,2,1,3,0.48944488
35,0.9,tanh,RMSprop,2,1,3,0.48446274
15,0.9,tanh,RMSprop,8,1,3,0.4534406
25,0.9,tanh,RMSprop,2,1,3,0.45006987
50,0.9,tanh,RMSprop,2,1,3,0.42698228
25,0.9,tanh,RMSprop,15,1,3,0.39152187
90,0.9,tanh,RMSprop,15,1,3,0.38836107
10,0.9,tanh,RMSprop,10,1,3,0.3818003
10,0.9,tanh,RMSprop,6,1,3,0.3416376
10,0.9,tanh,RMSprop,8,1,3,0.31306455
10,0.9,tanh,RMSprop,2,1,3,0.3035319
10,0.9,tanh,RMSprop,13,1,3,0.2959732
20,0.9,tanh,RMSprop,13,1,3,0.28948754
20,0.9,tanh,RMSprop,15,1,3,0.28561804
5,0.9,tanh,RMSprop,10,1,3,0.2275244
5,0.9,tanh,RMSprop,4,1,3,0.21570462
5,0.9,tanh,RMSprop,6,1,3,0.21217415
30,0.9,tanh,RMSprop,10,1,3,0.20719272
5,0.9,tanh,RMSprop,8,1,3,0.20113909
5,0.9,tanh,RMSprop,2,1,3,0.1640368
20,0.9,tanh,RMSprop,25,1,3,-2.5390522e-08
20,0.9,tanh,RMSprop,20,1,3,-2.5390522e-08
20,0.9,tanh,RMSprop,10,1,3,-2.5390522e-08
5,0.9,tanh,RMSprop,25,1,3,-2.5390522e-08
5,0.9,tanh,RMSprop,20,1,3,-2.5390522e-08
5,0.9,tanh,RMSprop,15,1,3,-2.5390522e-08
5,0.9,tanh,RMSprop,13,1,3,-2.5390522e-08
