epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
24,1.0,tanh,Adagrad,6,1,2,0.8732627
20,1.0,tanh,Adagrad,6,1,2,0.85571504
30,1.0,tanh,Adagrad,6,1,2,0.8347513
26,1.0,tanh,Adagrad,8,1,2,0.8260326
30,1.0,tanh,Adagrad,8,1,2,0.8159595
28,1.0,tanh,Adagrad,12,1,2,0.80449134
22,1.0,tanh,Adagrad,16,1,2,0.7998924
26,1.0,tanh,Adagrad,6,1,2,0.7892515
22,1.0,tanh,Adagrad,10,1,2,0.78630054
28,1.0,tanh,Adagrad,8,1,2,0.78612924
22,1.0,tanh,Adagrad,6,1,2,0.784788
28,1.0,tanh,Adagrad,6,1,2,0.7719805
26,1.0,tanh,Adagrad,12,1,2,0.7636635
28,1.0,tanh,Adagrad,10,1,2,0.74855244
24,1.0,tanh,Adagrad,12,1,2,0.7468863
28,1.0,tanh,Adagrad,14,1,2,0.7194038
24,1.0,tanh,Adagrad,8,1,2,0.7185856
22,1.0,tanh,Adagrad,8,1,2,0.697105
20,1.0,tanh,Adagrad,8,1,2,0.68623686
26,1.0,tanh,Adagrad,14,1,2,0.6835603
22,1.0,tanh,Adagrad,12,1,2,0.67622
30,1.0,tanh,Adagrad,10,1,2,0.6706272
26,1.0,tanh,Adagrad,16,1,2,0.64898664
24,1.0,tanh,Adagrad,10,1,2,0.64503264
30,1.0,tanh,Adagrad,16,1,2,0.64340293
30,1.0,tanh,Adagrad,12,1,2,0.6308599
28,1.0,tanh,Adagrad,16,1,2,0.6077687
22,1.0,tanh,Adagrad,14,1,2,0.5955844
20,1.0,tanh,Adagrad,12,1,2,0.5909883
24,1.0,tanh,Adagrad,14,1,2,0.58821774
24,1.0,tanh,Adagrad,16,1,2,0.5614208
26,1.0,tanh,Adagrad,10,1,2,0.54026634
20,1.0,tanh,Adagrad,14,1,2,0.46068895
20,1.0,tanh,Adagrad,16,1,2,0.41956392
20,1.0,tanh,Adagrad,10,1,2,0.40550697
30,1.0,tanh,Adagrad,14,1,2,0.39819798
