epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
15,0.9,tanh,RMSprop,25,1,3,nan
15,0.9,tanh,RMSprop,20,1,3,nan
15,0.9,tanh,RMSprop,15,1,3,nan
15,0.9,tanh,RMSprop,10,1,3,nan
20,0.9,tanh,RMSprop,25,1,3,5.307435e-08
20,0.9,tanh,RMSprop,20,1,3,5.307435e-08
20,0.9,tanh,RMSprop,13,1,3,5.307435e-08
90,0.9,tanh,RMSprop,2,1,3,3.9805762e-08
30,0.9,tanh,RMSprop,25,1,3,3.9805762e-08
55,0.9,tanh,RMSprop,25,1,3,3.9805762e-08
50,0.9,tanh,RMSprop,25,1,3,3.9805762e-08
90,0.9,tanh,RMSprop,25,1,3,3.9805762e-08
35,0.9,tanh,RMSprop,25,1,3,3.9805762e-08
40,0.9,tanh,RMSprop,25,1,3,3.9805762e-08
5,0.9,tanh,RMSprop,6,1,3,3.9805762e-08
25,0.9,tanh,RMSprop,25,1,3,3.9805762e-08
60,0.9,tanh,RMSprop,25,1,3,3.9805762e-08
5,0.9,tanh,RMSprop,20,1,3,3.9805762e-08
45,0.9,tanh,RMSprop,25,1,3,3.9805762e-08
5,0.9,tanh,RMSprop,25,1,3,3.9805762e-08
25,0.9,tanh,RMSprop,6,1,3,0.8930342
70,0.9,tanh,RMSprop,2,1,3,0.87662256
15,0.9,tanh,RMSprop,4,1,3,0.87608385
55,0.9,tanh,RMSprop,15,1,3,0.87225485
35,0.9,tanh,RMSprop,4,1,3,0.8703874
25,0.9,tanh,RMSprop,4,1,3,0.86966395
25,0.9,tanh,RMSprop,2,1,3,0.860238
30,0.9,tanh,RMSprop,4,1,3,0.85763943
35,0.9,tanh,RMSprop,2,1,3,0.85424197
50,0.9,tanh,RMSprop,2,1,3,0.84893876
60,0.9,tanh,RMSprop,4,1,3,0.8443943
15,0.9,tanh,RMSprop,13,1,3,0.8418869
45,0.9,tanh,RMSprop,6,1,3,0.84049433
30,0.9,tanh,RMSprop,13,1,3,0.8398778
25,0.9,tanh,RMSprop,20,1,3,0.8376222
35,0.9,tanh,RMSprop,6,1,3,0.8354581
80,0.9,tanh,RMSprop,4,1,3,0.8342363
20,0.9,tanh,RMSprop,4,1,3,0.83100784
20,0.9,tanh,RMSprop,10,1,3,0.8303282
10,0.9,tanh,RMSprop,10,1,3,0.8276594
10,0.9,tanh,RMSprop,6,1,3,0.8202213
70,0.9,tanh,RMSprop,6,1,3,0.81956774
40,0.9,tanh,RMSprop,4,1,3,0.8132736
30,0.9,tanh,RMSprop,6,1,3,0.8131314
20,0.9,tanh,RMSprop,2,1,3,0.79701674
25,0.9,tanh,RMSprop,8,1,3,0.7953768
100,0.9,tanh,RMSprop,6,1,3,0.7865651
40,0.9,tanh,RMSprop,6,1,3,0.7814718
10,0.9,tanh,RMSprop,8,1,3,0.77867985
40,0.9,tanh,RMSprop,8,1,3,0.77351624
45,0.9,tanh,RMSprop,8,1,3,0.7681053
15,0.9,tanh,RMSprop,8,1,3,0.76523614
5,0.9,tanh,RMSprop,8,1,3,0.76072
80,0.9,tanh,RMSprop,2,1,3,0.75047505
55,0.9,tanh,RMSprop,13,1,3,0.73801905
45,0.9,tanh,RMSprop,4,1,3,0.73362434
60,0.9,tanh,RMSprop,2,1,3,0.7203946
55,0.9,tanh,RMSprop,2,1,3,0.7160682
15,0.9,tanh,RMSprop,6,1,3,0.705124
10,0.9,tanh,RMSprop,2,1,3,0.7021765
50,0.9,tanh,RMSprop,6,1,3,0.70076835
55,0.9,tanh,RMSprop,10,1,3,0.69850624
15,0.9,tanh,RMSprop,2,1,3,0.6909164
50,0.9,tanh,RMSprop,4,1,3,0.6563656
5,0.9,tanh,RMSprop,4,1,3,0.6548703
40,0.9,tanh,RMSprop,10,1,3,0.6541761
80,0.9,tanh,RMSprop,8,1,3,0.6348369
35,0.9,tanh,RMSprop,10,1,3,0.5921799
60,0.9,tanh,RMSprop,10,1,3,0.5778618
80,0.9,tanh,RMSprop,6,1,3,0.5739263
45,0.9,tanh,RMSprop,10,1,3,0.55543613
90,0.9,tanh,RMSprop,4,1,3,0.53935707
60,0.9,tanh,RMSprop,8,1,3,0.5276279
70,0.9,tanh,RMSprop,10,1,3,0.5197767
100,0.9,tanh,RMSprop,8,1,3,0.5185838
50,0.9,tanh,RMSprop,8,1,3,0.50684863
90,0.9,tanh,RMSprop,6,1,3,0.49942014
20,0.9,tanh,RMSprop,6,1,3,0.49638116
90,0.9,tanh,RMSprop,10,1,3,0.47258025
30,0.9,tanh,RMSprop,8,1,3,0.46972436
100,0.9,tanh,RMSprop,4,1,3,0.46369082
55,0.9,tanh,RMSprop,4,1,3,0.45630127
60,0.9,tanh,RMSprop,15,1,3,0.4359505
25,0.9,tanh,RMSprop,13,1,3,0.4212433
50,0.9,tanh,RMSprop,13,1,3,0.4204743
45,0.9,tanh,RMSprop,13,1,3,0.39695033
70,0.9,tanh,RMSprop,4,1,3,0.3533769
100,0.9,tanh,RMSprop,2,1,3,0.33406875
80,0.9,tanh,RMSprop,15,1,3,0.3295175
50,0.9,tanh,RMSprop,10,1,3,0.2998272
30,0.9,tanh,RMSprop,10,1,3,0.29216683
35,0.9,tanh,RMSprop,20,1,3,0.27533823
55,0.9,tanh,RMSprop,6,1,3,0.27186245
60,0.9,tanh,RMSprop,6,1,3,0.27178514
