epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
10,0.9,tanh,RMSprop,15,1,3,3.7159044e-08
10,0.9,tanh,RMSprop,25,1,3,3.7159044e-08
10,0.9,tanh,RMSprop,20,1,3,3.7159044e-08
80,0.9,tanh,RMSprop,6,1,3,0.8072417
35,0.9,tanh,RMSprop,8,1,3,0.8070878
45,0.9,tanh,RMSprop,2,1,3,0.8036473
35,0.9,tanh,RMSprop,4,1,3,0.8031769
30,0.9,tanh,RMSprop,4,1,3,0.7879767
30,0.9,tanh,RMSprop,2,1,3,0.7666195
20,0.9,tanh,RMSprop,4,1,3,0.7367842
30,0.9,tanh,RMSprop,15,1,3,0.72234267
40,0.9,tanh,RMSprop,2,1,3,0.7188605
25,0.9,tanh,RMSprop,8,1,3,0.70294696
50,0.9,tanh,RMSprop,2,1,3,0.6833747
100,0.9,tanh,RMSprop,6,1,3,0.65595526
80,0.9,tanh,RMSprop,2,1,3,0.63185
70,0.9,tanh,RMSprop,2,1,3,0.6306588
10,0.9,tanh,RMSprop,2,1,3,0.6283115
20,0.9,tanh,RMSprop,6,1,3,0.62819
60,0.9,tanh,RMSprop,4,1,3,0.6266752
25,0.9,tanh,RMSprop,10,1,3,0.6202629
25,0.9,tanh,RMSprop,13,1,3,0.62008697
40,0.9,tanh,RMSprop,13,1,3,0.60913765
55,0.9,tanh,RMSprop,4,1,3,0.58860457
70,0.9,tanh,RMSprop,4,1,3,0.5777814
45,0.9,tanh,RMSprop,4,1,3,0.5757021
45,0.9,tanh,RMSprop,15,1,3,0.561055
100,0.9,tanh,RMSprop,4,1,3,0.5492857
50,0.9,tanh,RMSprop,4,1,3,0.54558176
20,0.9,tanh,RMSprop,8,1,3,0.54079866
40,0.9,tanh,RMSprop,6,1,3,0.52199155
15,0.9,tanh,RMSprop,6,1,3,0.51258314
60,0.9,tanh,RMSprop,6,1,3,0.45265022
30,0.9,tanh,RMSprop,10,1,3,0.45128325
30,0.9,tanh,RMSprop,6,1,3,0.42766473
50,0.9,tanh,RMSprop,6,1,3,0.40221113
40,0.9,tanh,RMSprop,4,1,3,0.40106395
90,0.9,tanh,RMSprop,2,1,3,0.3974387
10,0.9,tanh,RMSprop,6,1,3,0.38988855
45,0.9,tanh,RMSprop,13,1,3,0.35552555
10,0.9,tanh,RMSprop,10,1,3,0.35546514
35,0.9,tanh,RMSprop,10,1,3,0.35494077
60,0.9,tanh,RMSprop,10,1,3,0.32893655
25,0.9,tanh,RMSprop,6,1,3,0.3244973
15,0.9,tanh,RMSprop,10,1,3,0.30923057
45,0.9,tanh,RMSprop,8,1,3,0.2848792
55,0.9,tanh,RMSprop,8,1,3,0.15354899
70,0.9,tanh,RMSprop,15,1,3,0.111679316
70,0.9,tanh,RMSprop,8,1,3,0.09360211
50,0.9,tanh,RMSprop,8,1,3,0.092712976
15,0.9,tanh,RMSprop,8,1,3,0.06340194
40,0.9,tanh,RMSprop,8,1,3,0.05920092
45,0.9,tanh,RMSprop,10,1,3,0.03226135
60,0.9,tanh,RMSprop,13,1,3,0.0037510497
25,0.9,tanh,RMSprop,2,1,3,0.0024237083
15,0.9,tanh,RMSprop,20,1,3,0.0
5,0.9,tanh,RMSprop,6,1,3,0.0
15,0.9,tanh,RMSprop,25,1,3,0.0
5,0.9,tanh,RMSprop,15,1,3,0.0
5,0.9,tanh,RMSprop,20,1,3,0.0
5,0.9,tanh,RMSprop,25,1,3,0.0
55,0.9,tanh,RMSprop,20,1,3,-3.7159044e-08
90,0.9,tanh,RMSprop,15,1,3,-3.7159044e-08
60,0.9,tanh,RMSprop,25,1,3,-3.7159044e-08
60,0.9,tanh,RMSprop,20,1,3,-3.7159044e-08
45,0.9,tanh,RMSprop,25,1,3,-3.7159044e-08
90,0.9,tanh,RMSprop,25,1,3,-3.7159044e-08
80,0.9,tanh,RMSprop,25,1,3,-3.7159044e-08
80,0.9,tanh,RMSprop,20,1,3,-3.7159044e-08
60,0.9,tanh,RMSprop,15,1,3,-3.7159044e-08
100,0.9,tanh,RMSprop,20,1,3,-3.7159044e-08
70,0.9,tanh,RMSprop,10,1,3,-3.7159044e-08
50,0.9,tanh,RMSprop,13,1,3,-3.7159044e-08
70,0.9,tanh,RMSprop,20,1,3,-3.7159044e-08
80,0.9,tanh,RMSprop,15,1,3,-3.7159044e-08
70,0.9,tanh,RMSprop,25,1,3,-3.7159044e-08
50,0.9,tanh,RMSprop,25,1,3,-3.7159044e-08
55,0.9,tanh,RMSprop,25,1,3,-3.7159044e-08
45,0.9,tanh,RMSprop,20,1,3,-3.7159044e-08
100,0.9,tanh,RMSprop,25,1,3,-3.7159044e-08
20,0.9,tanh,RMSprop,20,1,3,-3.7159044e-08
35,0.9,tanh,RMSprop,25,1,3,-3.7159044e-08
20,0.9,tanh,RMSprop,25,1,3,-3.7159044e-08
30,0.9,tanh,RMSprop,20,1,3,-3.7159044e-08
35,0.9,tanh,RMSprop,15,1,3,-3.7159044e-08
20,0.9,tanh,RMSprop,2,1,3,-3.7159044e-08
35,0.9,tanh,RMSprop,20,1,3,-3.7159044e-08
30,0.9,tanh,RMSprop,25,1,3,-3.7159044e-08
25,0.9,tanh,RMSprop,25,1,3,-3.7159044e-08
25,0.9,tanh,RMSprop,20,1,3,-3.7159044e-08
20,0.9,tanh,RMSprop,13,1,3,-3.7159044e-08
40,0.9,tanh,RMSprop,20,1,3,-3.7159044e-08
40,0.9,tanh,RMSprop,25,1,3,-3.7159044e-08
55,0.9,tanh,RMSprop,2,1,3,-0.7601723
50,0.9,tanh,RMSprop,20,1,3,-0.75597924
100,0.9,tanh,RMSprop,13,1,3,-0.7428772
35,0.9,tanh,RMSprop,2,1,3,-0.71216637
55,0.9,tanh,RMSprop,13,1,3,-0.7095885
35,0.9,tanh,RMSprop,6,1,3,-0.69083536
40,0.9,tanh,RMSprop,15,1,3,-0.65187895
100,0.9,tanh,RMSprop,10,1,3,-0.63054526
15,0.9,tanh,RMSprop,2,1,3,-0.5749776
90,0.9,tanh,RMSprop,8,1,3,-0.55851036
