epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
10,0.9,tanh,RMSprop,25,1,3,nan
40,0.9,tanh,RMSprop,20,1,3,8.57721e-05
100,0.9,tanh,RMSprop,25,1,3,2.626805e-08
80,0.9,tanh,RMSprop,25,1,3,2.626805e-08
25,0.9,tanh,RMSprop,25,1,3,2.626805e-08
20,0.9,tanh,RMSprop,25,1,3,2.626805e-08
20,0.9,tanh,RMSprop,20,1,3,2.626805e-08
55,0.9,tanh,RMSprop,25,1,3,2.626805e-08
45,0.9,tanh,RMSprop,25,1,3,2.626805e-08
60,0.9,tanh,RMSprop,25,1,3,2.626805e-08
50,0.9,tanh,RMSprop,20,1,3,2.626805e-08
45,0.9,tanh,RMSprop,20,1,3,2.626805e-08
50,0.9,tanh,RMSprop,25,1,3,2.626805e-08
80,0.9,tanh,RMSprop,2,1,3,0.5081886
100,0.9,tanh,RMSprop,8,1,3,0.5001971
70,0.9,tanh,RMSprop,6,1,3,0.49976367
90,0.9,tanh,RMSprop,20,1,3,0.47764212
100,0.9,tanh,RMSprop,15,1,3,0.45563155
55,0.9,tanh,RMSprop,4,1,3,0.45172465
70,0.9,tanh,RMSprop,15,1,3,0.4483283
30,0.9,tanh,RMSprop,15,1,3,0.43460116
80,0.9,tanh,RMSprop,10,1,3,0.43293273
90,0.9,tanh,RMSprop,8,1,3,0.4287015
35,0.9,tanh,RMSprop,2,1,3,0.42820078
50,0.9,tanh,RMSprop,10,1,3,0.42751017
100,0.9,tanh,RMSprop,10,1,3,0.41244087
100,0.9,tanh,RMSprop,4,1,3,0.4073695
40,0.9,tanh,RMSprop,8,1,3,0.40468824
70,0.9,tanh,RMSprop,2,1,3,0.39451826
70,0.9,tanh,RMSprop,4,1,3,0.3931731
80,0.9,tanh,RMSprop,15,1,3,0.38668248
5,0.9,tanh,RMSprop,8,1,3,0.38513064
90,0.9,tanh,RMSprop,10,1,3,0.38244084
30,0.9,tanh,RMSprop,6,1,3,0.38212463
70,0.9,tanh,RMSprop,20,1,3,0.38207725
45,0.9,tanh,RMSprop,4,1,3,0.3819264
80,0.9,tanh,RMSprop,20,1,3,0.3754087
90,0.9,tanh,RMSprop,15,1,3,0.37152898
35,0.9,tanh,RMSprop,10,1,3,0.36429417
25,0.9,tanh,RMSprop,4,1,3,0.3519036
80,0.9,tanh,RMSprop,4,1,3,0.35043865
50,0.9,tanh,RMSprop,4,1,3,0.3478788
55,0.9,tanh,RMSprop,10,1,3,0.3399387
60,0.9,tanh,RMSprop,2,1,3,0.33010277
30,0.9,tanh,RMSprop,4,1,3,0.32726112
90,0.9,tanh,RMSprop,2,1,3,0.3271856
80,0.9,tanh,RMSprop,6,1,3,0.32678047
35,0.9,tanh,RMSprop,6,1,3,0.3190237
100,0.9,tanh,RMSprop,2,1,3,0.31359038
60,0.9,tanh,RMSprop,20,1,3,0.31124708
50,0.9,tanh,RMSprop,6,1,3,0.3070847
55,0.9,tanh,RMSprop,6,1,3,0.30559775
10,0.9,tanh,RMSprop,20,1,3,0.30148897
50,0.9,tanh,RMSprop,8,1,3,0.30023295
35,0.9,tanh,RMSprop,15,1,3,0.3000626
60,0.9,tanh,RMSprop,10,1,3,0.29765844
90,0.9,tanh,RMSprop,4,1,3,0.28888917
55,0.9,tanh,RMSprop,2,1,3,0.2873498
60,0.9,tanh,RMSprop,6,1,3,0.2757247
35,0.9,tanh,RMSprop,4,1,3,0.2740971
45,0.9,tanh,RMSprop,15,1,3,0.2680829
25,0.9,tanh,RMSprop,13,1,3,0.25527188
35,0.9,tanh,RMSprop,13,1,3,0.2540407
40,0.9,tanh,RMSprop,13,1,3,0.24385892
45,0.9,tanh,RMSprop,2,1,3,0.24163003
90,0.9,tanh,RMSprop,13,1,3,0.24095465
5,0.9,tanh,RMSprop,6,1,3,0.24030209
100,0.9,tanh,RMSprop,13,1,3,0.23980993
80,0.9,tanh,RMSprop,13,1,3,0.23936956
55,0.9,tanh,RMSprop,15,1,3,0.23697259
40,0.9,tanh,RMSprop,2,1,3,0.2356168
90,0.9,tanh,RMSprop,6,1,3,0.23534787
55,0.9,tanh,RMSprop,13,1,3,0.22696415
35,0.9,tanh,RMSprop,8,1,3,0.22621834
25,0.9,tanh,RMSprop,10,1,3,0.22084472
60,0.9,tanh,RMSprop,15,1,3,0.21749237
25,0.9,tanh,RMSprop,8,1,3,0.21429664
20,0.9,tanh,RMSprop,13,1,3,0.21214248
30,0.9,tanh,RMSprop,2,1,3,0.21181309
80,0.9,tanh,RMSprop,8,1,3,0.20665082
20,0.9,tanh,RMSprop,2,1,3,0.20476113
30,0.9,tanh,RMSprop,13,1,3,0.20050797
10,0.9,tanh,RMSprop,8,1,3,0.19998395
15,0.9,tanh,RMSprop,6,1,3,0.19841653
