epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
10,0.9,tanh,RMSprop,25,1,3,6.7894144e-09
10,0.9,tanh,RMSprop,20,1,3,6.7894144e-09
40,0.9,tanh,RMSprop,15,1,3,6.7894144e-09
25,0.9,tanh,RMSprop,13,1,3,6.7894144e-09
25,0.9,tanh,RMSprop,20,1,3,6.7894144e-09
40,0.9,tanh,RMSprop,20,1,3,6.7894144e-09
5,0.9,tanh,RMSprop,20,1,3,6.7894144e-09
5,0.9,tanh,RMSprop,25,1,3,6.7894144e-09
30,0.9,tanh,RMSprop,25,1,3,6.7894144e-09
35,0.9,tanh,RMSprop,25,1,3,6.7894144e-09
15,0.9,tanh,RMSprop,20,1,3,6.7894144e-09
25,0.9,tanh,RMSprop,25,1,3,6.7894144e-09
15,0.9,tanh,RMSprop,25,1,3,6.7894144e-09
40,0.9,tanh,RMSprop,25,1,3,6.7894144e-09
10,0.9,tanh,RMSprop,15,1,3,6.7894144e-09
60,0.9,tanh,RMSprop,25,1,3,4.526276e-09
45,0.9,tanh,RMSprop,25,1,3,4.526276e-09
50,0.9,tanh,RMSprop,20,1,3,4.526276e-09
90,0.9,tanh,RMSprop,20,1,3,0.5542731
45,0.9,tanh,RMSprop,20,1,3,0.54188174
60,0.9,tanh,RMSprop,10,1,3,0.52214056
60,0.9,tanh,RMSprop,6,1,3,0.51789606
45,0.9,tanh,RMSprop,10,1,3,0.49846005
80,0.9,tanh,RMSprop,10,1,3,0.49336603
55,0.9,tanh,RMSprop,15,1,3,0.48296297
55,0.9,tanh,RMSprop,25,1,3,0.47540948
80,0.9,tanh,RMSprop,25,1,3,0.474941
80,0.9,tanh,RMSprop,20,1,3,0.47327837
80,0.9,tanh,RMSprop,6,1,3,0.46302134
40,0.9,tanh,RMSprop,6,1,3,0.4604309
90,0.9,tanh,RMSprop,13,1,3,0.45346484
100,0.9,tanh,RMSprop,13,1,3,0.43376926
90,0.9,tanh,RMSprop,6,1,3,0.42687306
100,0.9,tanh,RMSprop,15,1,3,0.42041177
35,0.9,tanh,RMSprop,15,1,3,0.41289145
90,0.9,tanh,RMSprop,2,1,3,0.41278714
70,0.9,tanh,RMSprop,4,1,3,0.40802866
80,0.9,tanh,RMSprop,15,1,3,0.4042125
80,0.9,tanh,RMSprop,2,1,3,0.40113288
30,0.9,tanh,RMSprop,10,1,3,0.3985743
60,0.9,tanh,RMSprop,15,1,3,0.39653566
70,0.9,tanh,RMSprop,15,1,3,0.39512303
35,0.9,tanh,RMSprop,4,1,3,0.39407492
30,0.9,tanh,RMSprop,13,1,3,0.38754427
40,0.9,tanh,RMSprop,13,1,3,0.38288844
45,0.9,tanh,RMSprop,4,1,3,0.37862447
90,0.9,tanh,RMSprop,10,1,3,0.3775763
100,0.9,tanh,RMSprop,4,1,3,0.3760508
45,0.9,tanh,RMSprop,13,1,3,0.36764768
5,0.9,tanh,RMSprop,8,1,3,0.3655028
100,0.9,tanh,RMSprop,6,1,3,0.36169696
90,0.9,tanh,RMSprop,15,1,3,0.3615542
5,0.9,tanh,RMSprop,15,1,3,0.36101633
30,0.9,tanh,RMSprop,15,1,3,0.36072674
50,0.9,tanh,RMSprop,6,1,3,0.3554316
80,0.9,tanh,RMSprop,4,1,3,0.3554293
55,0.9,tanh,RMSprop,2,1,3,0.3531819
100,0.9,tanh,RMSprop,2,1,3,0.35266063
35,0.9,tanh,RMSprop,8,1,3,0.35251346
60,0.9,tanh,RMSprop,4,1,3,0.3521409
50,0.9,tanh,RMSprop,2,1,3,0.35055557
50,0.9,tanh,RMSprop,8,1,3,0.3466318
70,0.9,tanh,RMSprop,20,1,3,0.34332058
25,0.9,tanh,RMSprop,2,1,3,0.34307054
60,0.9,tanh,RMSprop,13,1,3,0.33987913
60,0.9,tanh,RMSprop,2,1,3,0.3378122
45,0.9,tanh,RMSprop,2,1,3,0.334977
70,0.9,tanh,RMSprop,25,1,3,0.33374435
30,0.9,tanh,RMSprop,20,1,3,0.33345094
50,0.9,tanh,RMSprop,4,1,3,0.3304033
70,0.9,tanh,RMSprop,13,1,3,0.32505962
45,0.9,tanh,RMSprop,15,1,3,0.32332027
55,0.9,tanh,RMSprop,13,1,3,0.32018143
100,0.9,tanh,RMSprop,8,1,3,0.31497163
30,0.9,tanh,RMSprop,6,1,3,0.31340212
70,0.9,tanh,RMSprop,6,1,3,0.31296352
45,0.9,tanh,RMSprop,8,1,3,0.30915523
60,0.9,tanh,RMSprop,8,1,3,0.30354777
100,0.9,tanh,RMSprop,20,1,3,0.29915795
35,0.9,tanh,RMSprop,2,1,3,0.29899558
30,0.9,tanh,RMSprop,4,1,3,0.29370192
90,0.9,tanh,RMSprop,4,1,3,0.29259863
45,0.9,tanh,RMSprop,6,1,3,0.28750905
40,0.9,tanh,RMSprop,4,1,3,0.28415826
55,0.9,tanh,RMSprop,8,1,3,0.2821504
70,0.9,tanh,RMSprop,2,1,3,0.2743148
35,0.9,tanh,RMSprop,13,1,3,0.2712599
30,0.9,tanh,RMSprop,8,1,3,0.25540954
40,0.9,tanh,RMSprop,2,1,3,0.25154072
55,0.9,tanh,RMSprop,6,1,3,0.24756056
30,0.9,tanh,RMSprop,2,1,3,0.24187803
40,0.9,tanh,RMSprop,8,1,3,0.24142794
60,0.9,tanh,RMSprop,20,1,3,0.24068162
50,0.9,tanh,RMSprop,13,1,3,0.23719789
15,0.9,tanh,RMSprop,13,1,3,0.22067918
80,0.9,tanh,RMSprop,8,1,3,0.20732138
50,0.9,tanh,RMSprop,10,1,3,0.20112717
40,0.9,tanh,RMSprop,10,1,3,0.19402416
90,0.9,tanh,RMSprop,8,1,3,0.19196504
55,0.9,tanh,RMSprop,10,1,3,0.17752638
10,0.9,tanh,RMSprop,4,1,3,0.17068964
55,0.9,tanh,RMSprop,4,1,3,0.16267239
20,0.9,tanh,RMSprop,2,1,3,0.16042684
70,0.9,tanh,RMSprop,8,1,3,0.15734355
25,0.9,tanh,RMSprop,4,1,3,0.15397441
80,0.9,tanh,RMSprop,13,1,3,0.14770506
100,0.9,tanh,RMSprop,10,1,3,0.14317034
25,0.9,tanh,RMSprop,6,1,3,0.14062922
15,0.9,tanh,RMSprop,2,1,3,0.13400066
50,0.9,tanh,RMSprop,15,1,3,0.13162217
20,0.9,tanh,RMSprop,6,1,3,0.12963046
70,0.9,tanh,RMSprop,10,1,3,0.12918456
15,0.9,tanh,RMSprop,10,1,3,0.12172415
55,0.9,tanh,RMSprop,20,1,3,0.12043364
20,0.9,tanh,RMSprop,4,1,3,0.11692172
10,0.9,tanh,RMSprop,2,1,3,0.10430919
25,0.9,tanh,RMSprop,10,1,3,0.09469396
15,0.9,tanh,RMSprop,15,1,3,0.09249239
15,0.9,tanh,RMSprop,8,1,3,0.088046215
20,0.9,tanh,RMSprop,8,1,3,0.07596735
25,0.9,tanh,RMSprop,8,1,3,0.072900645
15,0.9,tanh,RMSprop,6,1,3,0.067687064
25,0.9,tanh,RMSprop,15,1,3,0.0654717
15,0.9,tanh,RMSprop,4,1,3,0.05987473
20,0.9,tanh,RMSprop,10,1,3,0.053177927
90,0.9,tanh,RMSprop,25,1,3,0.04881732
10,0.9,tanh,RMSprop,8,1,3,0.03919005
5,0.9,tanh,RMSprop,2,1,3,0.03267084
10,0.9,tanh,RMSprop,10,1,3,0.017691663
35,0.9,tanh,RMSprop,10,1,3,0.01742604
50,0.9,tanh,RMSprop,25,1,3,0.011227772
20,0.9,tanh,RMSprop,13,1,3,0.009796752
20,0.9,tanh,RMSprop,25,1,3,-6.7894144e-09
20,0.9,tanh,RMSprop,20,1,3,-6.7894144e-09
20,0.9,tanh,RMSprop,15,1,3,-6.7894144e-09
5,0.9,tanh,RMSprop,4,1,3,-0.36943507
5,0.9,tanh,RMSprop,13,1,3,-0.36704817
100,0.9,tanh,RMSprop,25,1,3,-0.3638305
35,0.9,tanh,RMSprop,6,1,3,-0.35649315
5,0.9,tanh,RMSprop,6,1,3,-0.2537546
10,0.9,tanh,RMSprop,13,1,3,-0.16662021
5,0.9,tanh,RMSprop,10,1,3,-0.13542299
35,0.9,tanh,RMSprop,20,1,3,-0.066465296
10,0.9,tanh,RMSprop,6,1,3,-0.008571203
