epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
20,0.9,tanh,RMSprop,13,1,3,nan
20,0.9,tanh,RMSprop,10,1,3,nan
20,0.9,tanh,RMSprop,20,1,3,nan
10,0.9,tanh,RMSprop,25,1,3,nan
10,0.9,tanh,RMSprop,20,1,3,nan
10,0.9,tanh,RMSprop,15,1,3,nan
20,0.9,tanh,RMSprop,25,1,3,nan
10,0.9,tanh,RMSprop,10,1,3,nan
35,0.9,tanh,RMSprop,10,1,3,nan
35,0.9,tanh,RMSprop,13,1,3,nan
35,0.9,tanh,RMSprop,15,1,3,nan
35,0.9,tanh,RMSprop,20,1,3,nan
35,0.9,tanh,RMSprop,25,1,3,nan
20,0.9,tanh,RMSprop,15,1,3,nan
5,0.9,tanh,RMSprop,25,1,3,1.6606295e-08
5,0.9,tanh,RMSprop,20,1,3,1.6606295e-08
5,0.9,tanh,RMSprop,15,1,3,1.6606295e-08
5,0.9,tanh,RMSprop,13,1,3,1.6606295e-08
5,0.9,tanh,RMSprop,6,1,3,1.6606295e-08
50,0.9,tanh,RMSprop,2,1,3,0.6756126
40,0.9,tanh,RMSprop,4,1,3,0.65080047
30,0.9,tanh,RMSprop,10,1,3,0.62426066
70,0.9,tanh,RMSprop,8,1,3,0.6176529
40,0.9,tanh,RMSprop,2,1,3,0.612379
80,0.9,tanh,RMSprop,8,1,3,0.61059225
5,0.9,tanh,RMSprop,10,1,3,0.6042532
25,0.9,tanh,RMSprop,6,1,3,0.60138863
70,0.9,tanh,RMSprop,6,1,3,0.6005318
45,0.9,tanh,RMSprop,4,1,3,0.59867066
60,0.9,tanh,RMSprop,2,1,3,0.5931576
35,0.9,tanh,RMSprop,8,1,3,0.58989865
20,0.9,tanh,RMSprop,8,1,3,0.5890429
70,0.9,tanh,RMSprop,4,1,3,0.5845958
50,0.9,tanh,RMSprop,6,1,3,0.5822185
5,0.9,tanh,RMSprop,4,1,3,0.5764347
30,0.9,tanh,RMSprop,4,1,3,0.5731841
90,0.9,tanh,RMSprop,13,1,3,0.5716315
55,0.9,tanh,RMSprop,2,1,3,0.57108825
100,0.9,tanh,RMSprop,4,1,3,0.56984705
80,0.9,tanh,RMSprop,6,1,3,0.5690997
90,0.9,tanh,RMSprop,4,1,3,0.56417394
55,0.9,tanh,RMSprop,10,1,3,0.55878246
60,0.9,tanh,RMSprop,10,1,3,0.55524707
25,0.9,tanh,RMSprop,2,1,3,0.55334353
25,0.9,tanh,RMSprop,13,1,3,0.5510231
90,0.9,tanh,RMSprop,8,1,3,0.5487323
30,0.9,tanh,RMSprop,13,1,3,0.5481217
40,0.9,tanh,RMSprop,8,1,3,0.5416912
70,0.9,tanh,RMSprop,2,1,3,0.53159094
80,0.9,tanh,RMSprop,2,1,3,0.5301855
60,0.9,tanh,RMSprop,8,1,3,0.5212114
80,0.9,tanh,RMSprop,10,1,3,0.51904804
90,0.9,tanh,RMSprop,2,1,3,0.51605415
55,0.9,tanh,RMSprop,6,1,3,0.5116429
55,0.9,tanh,RMSprop,8,1,3,0.49518868
60,0.9,tanh,RMSprop,6,1,3,0.48015374
50,0.9,tanh,RMSprop,13,1,3,0.47875667
40,0.9,tanh,RMSprop,10,1,3,0.46231633
25,0.9,tanh,RMSprop,10,1,3,0.46221995
55,0.9,tanh,RMSprop,4,1,3,0.45499817
60,0.9,tanh,RMSprop,4,1,3,0.45376465
35,0.9,tanh,RMSprop,4,1,3,0.45283476
