epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
80,1.0,tanh,RMSprop,15,1,2,0.6522093
5,1.0,tanh,RMSprop,5,1,2,0.647509
50,1.0,tanh,RMSprop,20,1,2,0.61173266
25,1.0,tanh,RMSprop,5,1,2,0.57521707
10,1.0,tanh,RMSprop,5,1,2,0.5329708
60,1.0,tanh,RMSprop,10,1,2,0.49439064
25,1.0,tanh,RMSprop,20,1,2,0.47882393
5,1.0,tanh,RMSprop,30,1,2,0.442875
5,1.0,tanh,RMSprop,35,1,2,0.42497572
5,1.0,tanh,RMSprop,40,1,2,0.41917333
15,1.0,tanh,RMSprop,5,1,2,0.41574326
5,1.0,tanh,RMSprop,50,1,2,0.41160756
5,1.0,tanh,RMSprop,45,1,2,0.40162197
5,1.0,tanh,RMSprop,65,1,2,0.39539695
5,1.0,tanh,RMSprop,60,1,2,0.39473775
5,1.0,tanh,RMSprop,55,1,2,0.39324448
5,1.0,tanh,RMSprop,75,1,2,0.38868174
5,1.0,tanh,RMSprop,70,1,2,0.3884552
5,1.0,tanh,RMSprop,80,1,2,0.3847631
5,1.0,tanh,RMSprop,85,1,2,0.38372958
5,1.0,tanh,RMSprop,90,1,2,0.3819834
5,1.0,tanh,RMSprop,100,1,2,0.38186854
40,1.0,tanh,RMSprop,15,1,2,0.37965357
50,1.0,tanh,RMSprop,5,1,2,0.37615892
5,1.0,tanh,RMSprop,10,1,2,0.37280113
5,1.0,tanh,RMSprop,95,1,2,0.37264234
10,1.0,tanh,RMSprop,30,1,2,0.3633051
10,1.0,tanh,RMSprop,35,1,2,0.35956627
10,1.0,tanh,RMSprop,40,1,2,0.35354078
25,1.0,tanh,RMSprop,25,1,2,0.34975106
15,1.0,tanh,RMSprop,30,1,2,0.3484296
10,1.0,tanh,RMSprop,45,1,2,0.34833935
15,1.0,tanh,RMSprop,35,1,2,0.34679466
10,1.0,tanh,RMSprop,50,1,2,0.3460836
10,1.0,tanh,RMSprop,60,1,2,0.34554514
10,1.0,tanh,RMSprop,55,1,2,0.34503806
20,1.0,tanh,RMSprop,35,1,2,0.34490332
30,1.0,tanh,RMSprop,25,1,2,0.34329623
10,1.0,tanh,RMSprop,70,1,2,0.3432835
15,1.0,tanh,RMSprop,40,1,2,0.34274858
10,1.0,tanh,RMSprop,65,1,2,0.34188658
15,1.0,tanh,RMSprop,45,1,2,0.34164047
15,1.0,tanh,RMSprop,50,1,2,0.34061134
10,1.0,tanh,RMSprop,85,1,2,0.34047624
10,1.0,tanh,RMSprop,75,1,2,0.34041318
10,1.0,tanh,RMSprop,90,1,2,0.3398716
10,1.0,tanh,RMSprop,80,1,2,0.33973148
20,1.0,tanh,RMSprop,40,1,2,0.33958128
90,1.0,tanh,RMSprop,10,1,2,0.33817133
