epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
15,0.9,tanh,RMSprop,15,1,3,1.6685075e-08
10,0.9,tanh,RMSprop,15,1,3,1.6685075e-08
5,0.9,tanh,RMSprop,6,1,3,1.6685075e-08
15,0.9,tanh,RMSprop,13,1,3,1.6685075e-08
15,0.9,tanh,RMSprop,25,1,3,1.6685075e-08
5,0.9,tanh,RMSprop,20,1,3,1.6685075e-08
5,0.9,tanh,RMSprop,25,1,3,1.6685075e-08
10,0.9,tanh,RMSprop,2,1,3,1.6685075e-08
10,0.9,tanh,RMSprop,25,1,3,1.6685075e-08
15,0.9,tanh,RMSprop,20,1,3,1.6685075e-08
10,0.9,tanh,RMSprop,20,1,3,1.6685075e-08
50,0.9,tanh,RMSprop,4,1,3,0.6997649
90,0.9,tanh,RMSprop,4,1,3,0.67070395
70,0.9,tanh,RMSprop,6,1,3,0.64698285
20,0.9,tanh,RMSprop,8,1,3,0.6445786
30,0.9,tanh,RMSprop,6,1,3,0.6440711
80,0.9,tanh,RMSprop,15,1,3,0.64297926
80,0.9,tanh,RMSprop,6,1,3,0.6384826
20,0.9,tanh,RMSprop,6,1,3,0.63734317
60,0.9,tanh,RMSprop,15,1,3,0.6368832
55,0.9,tanh,RMSprop,4,1,3,0.6361569
55,0.9,tanh,RMSprop,15,1,3,0.63576996
55,0.9,tanh,RMSprop,8,1,3,0.63002026
45,0.9,tanh,RMSprop,8,1,3,0.6287065
60,0.9,tanh,RMSprop,8,1,3,0.62849385
30,0.9,tanh,RMSprop,8,1,3,0.62512696
60,0.9,tanh,RMSprop,6,1,3,0.62366664
100,0.9,tanh,RMSprop,15,1,3,0.6221969
55,0.9,tanh,RMSprop,10,1,3,0.62049764
55,0.9,tanh,RMSprop,13,1,3,0.6169043
45,0.9,tanh,RMSprop,2,1,3,0.611889
30,0.9,tanh,RMSprop,10,1,3,0.6109961
35,0.9,tanh,RMSprop,2,1,3,0.60554445
50,0.9,tanh,RMSprop,2,1,3,0.6054473
40,0.9,tanh,RMSprop,13,1,3,0.6037608
70,0.9,tanh,RMSprop,4,1,3,0.60300434
80,0.9,tanh,RMSprop,4,1,3,0.6026959
15,0.9,tanh,RMSprop,8,1,3,0.6024402
90,0.9,tanh,RMSprop,15,1,3,0.59902996
35,0.9,tanh,RMSprop,6,1,3,0.5975849
45,0.9,tanh,RMSprop,6,1,3,0.5950537
10,0.9,tanh,RMSprop,13,1,3,0.59399515
45,0.9,tanh,RMSprop,10,1,3,0.59386057
25,0.9,tanh,RMSprop,6,1,3,0.59373975
70,0.9,tanh,RMSprop,13,1,3,0.5932034
10,0.9,tanh,RMSprop,8,1,3,0.59032875
90,0.9,tanh,RMSprop,10,1,3,0.5887516
20,0.9,tanh,RMSprop,4,1,3,0.5861775
40,0.9,tanh,RMSprop,4,1,3,0.5828752
20,0.9,tanh,RMSprop,10,1,3,0.5827961
15,0.9,tanh,RMSprop,10,1,3,0.5827506
80,0.9,tanh,RMSprop,2,1,3,0.58129644
40,0.9,tanh,RMSprop,2,1,3,0.579855
30,0.9,tanh,RMSprop,4,1,3,0.57803315
10,0.9,tanh,RMSprop,10,1,3,0.57398933
70,0.9,tanh,RMSprop,8,1,3,0.5729328
35,0.9,tanh,RMSprop,10,1,3,0.57125145
25,0.9,tanh,RMSprop,2,1,3,0.5694072
100,0.9,tanh,RMSprop,6,1,3,0.56826335
40,0.9,tanh,RMSprop,10,1,3,0.5647841
40,0.9,tanh,RMSprop,8,1,3,0.56373626
50,0.9,tanh,RMSprop,8,1,3,0.5630645
25,0.9,tanh,RMSprop,4,1,3,0.5610165
90,0.9,tanh,RMSprop,6,1,3,0.55757993
25,0.9,tanh,RMSprop,8,1,3,0.55757296
90,0.9,tanh,RMSprop,2,1,3,0.55727947
45,0.9,tanh,RMSprop,4,1,3,0.55542636
55,0.9,tanh,RMSprop,2,1,3,0.5523605
35,0.9,tanh,RMSprop,13,1,3,0.55229264
40,0.9,tanh,RMSprop,6,1,3,0.5448431
30,0.9,tanh,RMSprop,15,1,3,0.54434955
60,0.9,tanh,RMSprop,4,1,3,0.5417404
30,0.9,tanh,RMSprop,2,1,3,0.5403775
50,0.9,tanh,RMSprop,10,1,3,0.5394749
55,0.9,tanh,RMSprop,6,1,3,0.5389807
15,0.9,tanh,RMSprop,4,1,3,0.5351539
10,0.9,tanh,RMSprop,4,1,3,0.5338774
70,0.9,tanh,RMSprop,10,1,3,0.53291
10,0.9,tanh,RMSprop,6,1,3,0.5314927
60,0.9,tanh,RMSprop,2,1,3,0.52813476
50,0.9,tanh,RMSprop,6,1,3,0.52776873
100,0.9,tanh,RMSprop,2,1,3,0.5277573
90,0.9,tanh,RMSprop,20,1,3,0.5274175
100,0.9,tanh,RMSprop,8,1,3,0.5259772
35,0.9,tanh,RMSprop,4,1,3,0.5251768
15,0.9,tanh,RMSprop,6,1,3,0.5232542
90,0.9,tanh,RMSprop,8,1,3,0.5210384
100,0.9,tanh,RMSprop,4,1,3,0.5193306
30,0.9,tanh,RMSprop,13,1,3,0.5181029
70,0.9,tanh,RMSprop,2,1,3,0.5175215
35,0.9,tanh,RMSprop,8,1,3,0.516542
25,0.9,tanh,RMSprop,10,1,3,0.5150506
80,0.9,tanh,RMSprop,8,1,3,0.51399446
70,0.9,tanh,RMSprop,20,1,3,0.51387197
80,0.9,tanh,RMSprop,10,1,3,0.5084053
60,0.9,tanh,RMSprop,10,1,3,0.49911258
15,0.9,tanh,RMSprop,2,1,3,0.49030295
5,0.9,tanh,RMSprop,2,1,3,0.48319057
20,0.9,tanh,RMSprop,2,1,3,0.45244455
