epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
10,0.9,tanh,RMSprop,15,1,3,nan
10,0.9,tanh,RMSprop,20,1,3,nan
5,0.9,tanh,RMSprop,13,1,3,nan
5,0.9,tanh,RMSprop,20,1,3,nan
5,0.9,tanh,RMSprop,25,1,3,nan
10,0.9,tanh,RMSprop,25,1,3,nan
10,0.9,tanh,RMSprop,8,1,3,nan
10,0.9,tanh,RMSprop,10,1,3,nan
10,0.9,tanh,RMSprop,13,1,3,nan
30,0.9,tanh,RMSprop,8,1,3,0.7338434
55,0.9,tanh,RMSprop,6,1,3,0.7183985
50,0.9,tanh,RMSprop,4,1,3,0.7111825
80,0.9,tanh,RMSprop,4,1,3,0.7087448
100,0.9,tanh,RMSprop,2,1,3,0.7072151
30,0.9,tanh,RMSprop,13,1,3,0.7062198
35,0.9,tanh,RMSprop,4,1,3,0.705959
45,0.9,tanh,RMSprop,2,1,3,0.70276016
60,0.9,tanh,RMSprop,2,1,3,0.7027134
25,0.9,tanh,RMSprop,2,1,3,0.7024068
25,0.9,tanh,RMSprop,4,1,3,0.6995067
50,0.9,tanh,RMSprop,2,1,3,0.6994168
20,0.9,tanh,RMSprop,6,1,3,0.69792104
35,0.9,tanh,RMSprop,10,1,3,0.6967362
55,0.9,tanh,RMSprop,4,1,3,0.69162756
30,0.9,tanh,RMSprop,4,1,3,0.69107866
50,0.9,tanh,RMSprop,13,1,3,0.6902625
40,0.9,tanh,RMSprop,4,1,3,0.689769
70,0.9,tanh,RMSprop,2,1,3,0.6887009
45,0.9,tanh,RMSprop,6,1,3,0.68718946
60,0.9,tanh,RMSprop,4,1,3,0.68584144
80,0.9,tanh,RMSprop,6,1,3,0.68449676
90,0.9,tanh,RMSprop,4,1,3,0.68240285
35,0.9,tanh,RMSprop,6,1,3,0.68138677
40,0.9,tanh,RMSprop,8,1,3,0.6788915
10,0.9,tanh,RMSprop,6,1,3,0.67777365
70,0.9,tanh,RMSprop,4,1,3,0.67727053
100,0.9,tanh,RMSprop,8,1,3,0.676235
60,0.9,tanh,RMSprop,8,1,3,0.67496204
80,0.9,tanh,RMSprop,15,1,3,0.67437744
25,0.9,tanh,RMSprop,6,1,3,0.6723957
20,0.9,tanh,RMSprop,4,1,3,0.67226523
30,0.9,tanh,RMSprop,6,1,3,0.6709622
35,0.9,tanh,RMSprop,15,1,3,0.67022246
40,0.9,tanh,RMSprop,10,1,3,0.6690686
50,0.9,tanh,RMSprop,8,1,3,0.66897404
90,0.9,tanh,RMSprop,20,1,3,0.66655463
55,0.9,tanh,RMSprop,8,1,3,0.66623956
25,0.9,tanh,RMSprop,10,1,3,0.66519725
60,0.9,tanh,RMSprop,13,1,3,0.66410434
60,0.9,tanh,RMSprop,6,1,3,0.6616789
100,0.9,tanh,RMSprop,6,1,3,0.6599561
45,0.9,tanh,RMSprop,15,1,3,0.65777975
90,0.9,tanh,RMSprop,8,1,3,0.65720236
30,0.9,tanh,RMSprop,2,1,3,0.6562693
45,0.9,tanh,RMSprop,8,1,3,0.6544936
100,0.9,tanh,RMSprop,15,1,3,0.65380746
90,0.9,tanh,RMSprop,15,1,3,0.6506981
90,0.9,tanh,RMSprop,10,1,3,0.6505882
90,0.9,tanh,RMSprop,6,1,3,0.6485633
20,0.9,tanh,RMSprop,2,1,3,0.64789677
50,0.9,tanh,RMSprop,6,1,3,0.64709854
70,0.9,tanh,RMSprop,15,1,3,0.6457614
15,0.9,tanh,RMSprop,4,1,3,0.64458597
15,0.9,tanh,RMSprop,2,1,3,0.64419544
15,0.9,tanh,RMSprop,10,1,3,0.64342886
55,0.9,tanh,RMSprop,15,1,3,0.642304
30,0.9,tanh,RMSprop,10,1,3,0.6407556
80,0.9,tanh,RMSprop,10,1,3,0.63984585
15,0.9,tanh,RMSprop,6,1,3,0.6386553
45,0.9,tanh,RMSprop,4,1,3,0.6375941
50,0.9,tanh,RMSprop,15,1,3,0.63726336
70,0.9,tanh,RMSprop,13,1,3,0.63681287
70,0.9,tanh,RMSprop,10,1,3,0.63518584
70,0.9,tanh,RMSprop,8,1,3,0.63415194
80,0.9,tanh,RMSprop,8,1,3,0.6336394
70,0.9,tanh,RMSprop,20,1,3,0.63316584
15,0.9,tanh,RMSprop,15,1,3,0.63178694
35,0.9,tanh,RMSprop,2,1,3,0.62704206
60,0.9,tanh,RMSprop,10,1,3,0.62307763
70,0.9,tanh,RMSprop,6,1,3,0.6227063
80,0.9,tanh,RMSprop,13,1,3,0.6219326
60,0.9,tanh,RMSprop,15,1,3,0.61499095
35,0.9,tanh,RMSprop,8,1,3,0.6143944
40,0.9,tanh,RMSprop,6,1,3,0.6143701
40,0.9,tanh,RMSprop,2,1,3,0.6127131
10,0.9,tanh,RMSprop,4,1,3,0.6119434
100,0.9,tanh,RMSprop,4,1,3,0.6113893
90,0.9,tanh,RMSprop,13,1,3,0.60697013
45,0.9,tanh,RMSprop,13,1,3,0.6012076
40,0.9,tanh,RMSprop,13,1,3,0.59886956
100,0.9,tanh,RMSprop,13,1,3,0.5982817
5,0.9,tanh,RMSprop,10,1,3,0.5868539
5,0.9,tanh,RMSprop,8,1,3,0.5796278
5,0.9,tanh,RMSprop,6,1,3,0.57164925
10,0.9,tanh,RMSprop,2,1,3,0.57002926
5,0.9,tanh,RMSprop,4,1,3,0.56123644
100,0.9,tanh,RMSprop,20,1,3,0.5552452
40,0.9,tanh,RMSprop,15,1,3,0.5487715
5,0.9,tanh,RMSprop,15,1,3,0.53285444
100,0.9,tanh,RMSprop,10,1,3,0.5260463
50,0.9,tanh,RMSprop,10,1,3,0.5171644
55,0.9,tanh,RMSprop,2,1,3,0.50601584
15,0.9,tanh,RMSprop,8,1,3,0.5004281
25,0.9,tanh,RMSprop,13,1,3,0.4873214
5,0.9,tanh,RMSprop,2,1,3,0.46784994
55,0.9,tanh,RMSprop,10,1,3,0.4542717
45,0.9,tanh,RMSprop,10,1,3,0.44446257
35,0.9,tanh,RMSprop,13,1,3,0.44302404
80,0.9,tanh,RMSprop,2,1,3,0.41161934
30,0.9,tanh,RMSprop,15,1,3,0.29998437
35,0.9,tanh,RMSprop,20,1,3,0.19494365
20,0.9,tanh,RMSprop,15,1,3,0.13291748
90,0.9,tanh,RMSprop,25,1,3,0.0
25,0.9,tanh,RMSprop,25,1,3,0.0
25,0.9,tanh,RMSprop,20,1,3,0.0
