epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
10,0.7,sigmoid,RMSprop,40,198,3,0.7377028955101829
10,0.8,sigmoid,RMSprop,40,198,3,0.7376885672872333
10,0.7,sigmoid,RMSprop,30,198,4,0.7376766602395843
10,0.8,sigmoid,RMSprop,40,198,4,0.7376741840034471
10,0.9,sigmoid,RMSprop,40,198,3,0.7376544873144132
10,0.6,sigmoid,RMSprop,30,198,3,0.7376533030942937
10,0.9,hard_sigmoid,RMSprop,40,198,3,0.7376408015864617
10,0.9,sigmoid,RMSprop,30,198,4,0.737634458354996
10,0.8,sigmoid,RMSprop,30,198,3,0.7376276179233026
10,0.7,hard_sigmoid,RMSprop,40,198,3,0.737626893062471
10,0.7,hard_sigmoid,RMSprop,30,198,5,0.7376255585169391
10,0.9,sigmoid,RMSprop,40,198,4,0.7376233653550649
10,0.7,hard_sigmoid,RMSprop,30,198,4,0.7376213748197854
10,0.7,sigmoid,RMSprop,40,198,4,0.7376202623912449
10,0.6,hard_sigmoid,RMSprop,40,198,3,0.7376191461903348
10,0.9,sigmoid,RMSprop,20,198,5,0.7376185038520873
10,0.6,sigmoid,RMSprop,40,198,3,0.7376153336128422
10,0.8,hard_sigmoid,RMSprop,40,198,5,0.7376143259390682
10,0.9,hard_sigmoid,RMSprop,30,198,3,0.7376114997037299
10,0.8,sigmoid,RMSprop,40,198,5,0.7376097492096352
10,0.6,hard_sigmoid,RMSprop,30,198,3,0.737607145564055
10,0.6,softplus,RMSprop,30,198,3,0.7376048587529642
10,0.7,hard_sigmoid,RMSprop,40,198,4,0.7376034611435347
10,0.8,sigmoid,RMSprop,30,198,4,0.7375966703185312
10,0.6,sigmoid,RMSprop,20,198,4,0.7375954062709452
10,0.9,sigmoid,RMSprop,30,198,5,0.7375927811738304
10,0.9,hard_sigmoid,RMSprop,40,198,4,0.7375892412134439
10,0.7,hard_sigmoid,RMSprop,15,198,3,0.7375880182065496
10,0.9,softplus,RMSprop,30,198,4,0.7375879517608585
10,0.7,sigmoid,RMSprop,40,198,5,0.7375837252269506
10,0.6,sigmoid,RMSprop,40,198,4,0.7375822329111495
10,0.7,softplus,RMSprop,30,198,3,0.7375818602572253
10,0.8,softplus,RMSprop,30,198,4,0.737581294192674
10,0.7,sigmoid,RMSprop,30,198,3,0.737580523797572
10,0.8,hard_sigmoid,RMSprop,40,198,4,0.737576909252012
10,0.8,softplus,RMSprop,30,198,3,0.7375682989327398
10,0.8,sigmoid,RMSprop,20,198,3,0.7375677799659691
10,0.6,softplus,RMSprop,40,198,3,0.7375632728486302
10,0.6,hard_sigmoid,RMSprop,40,198,5,0.7375627340241014
10,0.6,sigmoid,RMSprop,40,198,5,0.7375617903435534
10,0.9,hard_sigmoid,RMSprop,20,198,3,0.7375570374056434
10,0.6,hard_sigmoid,RMSprop,20,198,3,0.7375546858467179
10,0.7,hard_sigmoid,RMSprop,15,198,5,0.737553565820654
10,0.6,sigmoid,RMSprop,30,198,4,0.7375535170405964
10,0.8,hard_sigmoid,RMSprop,20,198,4,0.7375530235562032
10,0.9,hard_sigmoid,RMSprop,30,198,4,0.7375519851659894
10,0.9,sigmoid,RMSprop,40,198,5,0.7375503724478889
10,0.7,hard_sigmoid,RMSprop,30,198,3,0.7375451989253301
10,0.8,hard_sigmoid,RMSprop,40,198,3,0.7375383660518618
10,0.8,hard_sigmoid,RMSprop,20,198,5,0.7375329720589116
10,0.8,hard_sigmoid,RMSprop,20,198,3,0.7375280716086365
10,0.9,sigmoid,RMSprop,30,198,3,0.737525344448355
10,0.9,sigmoid,RMSprop,20,198,3,0.7375198873076677
10,0.6,hard_sigmoid,RMSprop,20,198,4,0.7375164235586729
10,0.6,sigmoid,RMSprop,30,198,5,0.7375144347197907
10,0.6,sigmoid,RMSprop,20,198,3,0.7374994198157443
10,0.9,hard_sigmoid,RMSprop,20,198,4,0.7374990464653133
10,0.7,hard_sigmoid,RMSprop,40,198,5,0.737478552066791
10,0.9,softplus,RMSprop,20,198,5,0.737478311189323
10,0.9,hard_sigmoid,RMSprop,40,198,5,0.7374781892812202
10,0.8,hard_sigmoid,RMSprop,30,198,4,0.7374748541185934
10,0.9,softplus,RMSprop,40,198,3,0.7374743652581055
10,0.7,softplus,RMSprop,40,198,4,0.7374734269637161
10,0.9,softplus,RMSprop,30,198,3,0.7374684970752026
10,0.6,hard_sigmoid,RMSprop,40,198,4,0.7374684664123831
10,0.6,hard_sigmoid,RMSprop,30,198,5,0.7374682553210516
10,0.8,softplus,RMSprop,40,198,3,0.7374571052277422
10,0.7,softplus,RMSprop,40,198,3,0.7374503225343421
10,0.9,softplus,RMSprop,20,198,4,0.7374488487009625
10,0.6,hard_sigmoid,RMSprop,15,198,3,0.7374409197419315
10,0.8,softplus,RMSprop,15,198,5,0.7374395062819843
10,0.9,softplus,RMSprop,15,198,4,0.7374385999747455
10,0.6,sigmoid,RMSprop,15,198,3,0.7374351446325257
10,0.7,sigmoid,RMSprop,20,198,3,0.7374298457097361
10,0.9,softplus,RMSprop,40,198,4,0.7374260826087852
10,0.9,sigmoid,RMSprop,20,198,4,0.7374209359206717
10,0.7,sigmoid,RMSprop,30,198,5,0.7374189125130161
10,0.7,hard_sigmoid,RMSprop,20,198,4,0.7374128663039716
10,0.6,softplus,RMSprop,30,198,4,0.7374100145417193
10,0.8,softplus,RMSprop,30,198,5,0.7374087843421973
