epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,0.9,tanh,RMSprop,13,1,3,nan
25,0.9,tanh,RMSprop,6,1,3,nan
30,0.9,tanh,RMSprop,20,1,3,nan
30,0.9,tanh,RMSprop,15,1,3,nan
30,0.9,tanh,RMSprop,10,1,3,nan
25,0.9,tanh,RMSprop,25,1,3,nan
25,0.9,tanh,RMSprop,20,1,3,nan
25,0.9,tanh,RMSprop,15,1,3,nan
25,0.9,tanh,RMSprop,10,1,3,nan
30,0.9,tanh,RMSprop,25,1,3,nan
5,0.9,tanh,RMSprop,15,1,3,nan
5,0.9,tanh,RMSprop,20,1,3,nan
5,0.9,tanh,RMSprop,8,1,3,nan
5,0.9,tanh,RMSprop,25,1,3,nan
5,0.9,tanh,RMSprop,13,1,3,nan
40,0.9,tanh,RMSprop,15,1,3,8.099717e-09
40,0.9,tanh,RMSprop,13,1,3,8.099717e-09
70,0.9,tanh,RMSprop,15,1,3,8.099717e-09
70,0.9,tanh,RMSprop,20,1,3,8.099717e-09
55,0.9,tanh,RMSprop,20,1,3,8.099717e-09
40,0.9,tanh,RMSprop,2,1,3,8.099717e-09
35,0.9,tanh,RMSprop,25,1,3,8.099717e-09
55,0.9,tanh,RMSprop,15,1,3,8.099717e-09
55,0.9,tanh,RMSprop,13,1,3,8.099717e-09
35,0.9,tanh,RMSprop,20,1,3,8.099717e-09
35,0.9,tanh,RMSprop,15,1,3,8.099717e-09
35,0.9,tanh,RMSprop,13,1,3,8.099717e-09
35,0.9,tanh,RMSprop,10,1,3,8.099717e-09
55,0.9,tanh,RMSprop,25,1,3,8.099717e-09
35,0.9,tanh,RMSprop,8,1,3,8.099717e-09
60,0.9,tanh,RMSprop,15,1,3,8.099717e-09
40,0.9,tanh,RMSprop,20,1,3,8.099717e-09
40,0.9,tanh,RMSprop,25,1,3,8.099717e-09
70,0.9,tanh,RMSprop,13,1,3,8.099717e-09
50,0.9,tanh,RMSprop,10,1,3,8.099717e-09
60,0.9,tanh,RMSprop,20,1,3,8.099717e-09
60,0.9,tanh,RMSprop,25,1,3,8.099717e-09
55,0.9,tanh,RMSprop,6,1,3,8.099717e-09
55,0.9,tanh,RMSprop,4,1,3,8.099717e-09
50,0.9,tanh,RMSprop,25,1,3,8.099717e-09
50,0.9,tanh,RMSprop,20,1,3,8.099717e-09
50,0.9,tanh,RMSprop,15,1,3,8.099717e-09
50,0.9,tanh,RMSprop,13,1,3,8.099717e-09
50,0.9,tanh,RMSprop,8,1,3,8.099717e-09
70,0.9,tanh,RMSprop,10,1,3,8.099717e-09
70,0.9,tanh,RMSprop,6,1,3,8.099717e-09
70,0.9,tanh,RMSprop,8,1,3,8.099717e-09
45,0.9,tanh,RMSprop,25,1,3,8.099717e-09
45,0.9,tanh,RMSprop,20,1,3,8.099717e-09
45,0.9,tanh,RMSprop,15,1,3,8.099717e-09
70,0.9,tanh,RMSprop,25,1,3,8.099717e-09
45,0.9,tanh,RMSprop,10,1,3,8.099717e-09
45,0.9,tanh,RMSprop,8,1,3,8.099717e-09
45,0.9,tanh,RMSprop,13,1,3,8.099717e-09
100,0.9,tanh,RMSprop,25,1,3,8.099717e-09
90,0.9,tanh,RMSprop,8,1,3,8.099717e-09
10,0.9,tanh,RMSprop,13,1,3,8.099717e-09
90,0.9,tanh,RMSprop,20,1,3,8.099717e-09
90,0.9,tanh,RMSprop,25,1,3,8.099717e-09
100,0.9,tanh,RMSprop,8,1,3,8.099717e-09
10,0.9,tanh,RMSprop,25,1,3,8.099717e-09
10,0.9,tanh,RMSprop,20,1,3,8.099717e-09
10,0.9,tanh,RMSprop,15,1,3,8.099717e-09
10,0.9,tanh,RMSprop,10,1,3,8.099717e-09
90,0.9,tanh,RMSprop,13,1,3,8.099717e-09
10,0.9,tanh,RMSprop,8,1,3,8.099717e-09
10,0.9,tanh,RMSprop,6,1,3,8.099717e-09
100,0.9,tanh,RMSprop,10,1,3,8.099717e-09
100,0.9,tanh,RMSprop,13,1,3,8.099717e-09
100,0.9,tanh,RMSprop,15,1,3,8.099717e-09
100,0.9,tanh,RMSprop,20,1,3,8.099717e-09
90,0.9,tanh,RMSprop,15,1,3,8.099717e-09
60,0.9,tanh,RMSprop,13,1,3,8.099717e-09
80,0.9,tanh,RMSprop,15,1,3,8.099717e-09
80,0.9,tanh,RMSprop,10,1,3,8.099717e-09
80,0.9,tanh,RMSprop,20,1,3,8.099717e-09
80,0.9,tanh,RMSprop,13,1,3,8.099717e-09
80,0.9,tanh,RMSprop,25,1,3,8.099717e-09
50,0.9,tanh,RMSprop,4,1,3,0.5852738
40,0.9,tanh,RMSprop,4,1,3,0.5841229
55,0.9,tanh,RMSprop,2,1,3,0.580237
80,0.9,tanh,RMSprop,6,1,3,0.57181627
35,0.9,tanh,RMSprop,6,1,3,0.56883603
20,0.9,tanh,RMSprop,10,1,3,0.5629698
25,0.9,tanh,RMSprop,8,1,3,0.5590673
30,0.9,tanh,RMSprop,2,1,3,0.55636847
20,0.9,tanh,RMSprop,6,1,3,0.55374366
25,0.9,tanh,RMSprop,13,1,3,0.552785
20,0.9,tanh,RMSprop,4,1,3,0.5467747
100,0.9,tanh,RMSprop,4,1,3,0.54583925
100,0.9,tanh,RMSprop,6,1,3,0.53964317
20,0.9,tanh,RMSprop,8,1,3,0.53851926
25,0.9,tanh,RMSprop,4,1,3,0.5296305
80,0.9,tanh,RMSprop,2,1,3,0.52958506
25,0.9,tanh,RMSprop,2,1,3,0.5105871
60,0.9,tanh,RMSprop,8,1,3,0.50486094
90,0.9,tanh,RMSprop,10,1,3,0.49319753
20,0.9,tanh,RMSprop,2,1,3,0.4903966
40,0.9,tanh,RMSprop,6,1,3,0.48652494
90,0.9,tanh,RMSprop,6,1,3,0.4838371
45,0.9,tanh,RMSprop,4,1,3,0.4780159
45,0.9,tanh,RMSprop,2,1,3,0.4766894
60,0.9,tanh,RMSprop,2,1,3,0.47653064
60,0.9,tanh,RMSprop,10,1,3,0.47335088
90,0.9,tanh,RMSprop,4,1,3,0.46818134
45,0.9,tanh,RMSprop,6,1,3,0.4570978
10,0.9,tanh,RMSprop,4,1,3,0.45227358
15,0.9,tanh,RMSprop,4,1,3,0.44643942
55,0.9,tanh,RMSprop,8,1,3,0.44134673
30,0.9,tanh,RMSprop,8,1,3,0.43892074
80,0.9,tanh,RMSprop,4,1,3,0.4379185
40,0.9,tanh,RMSprop,8,1,3,0.4350722
10,0.9,tanh,RMSprop,2,1,3,0.4343576
50,0.9,tanh,RMSprop,2,1,3,0.42161623
70,0.9,tanh,RMSprop,4,1,3,0.4184348
40,0.9,tanh,RMSprop,10,1,3,0.40405327
15,0.9,tanh,RMSprop,2,1,3,0.40281254
35,0.9,tanh,RMSprop,4,1,3,0.3922887
15,0.9,tanh,RMSprop,6,1,3,0.39130542
5,0.9,tanh,RMSprop,2,1,3,0.39023307
100,0.9,tanh,RMSprop,2,1,3,0.38831174
50,0.9,tanh,RMSprop,6,1,3,0.38770851
5,0.9,tanh,RMSprop,6,1,3,0.38305056
60,0.9,tanh,RMSprop,4,1,3,0.36780092
70,0.9,tanh,RMSprop,2,1,3,0.35934985
5,0.9,tanh,RMSprop,4,1,3,0.34972632
90,0.9,tanh,RMSprop,2,1,3,0.33251932
35,0.9,tanh,RMSprop,2,1,3,0.32417926
30,0.9,tanh,RMSprop,4,1,3,0.31739706
60,0.9,tanh,RMSprop,6,1,3,0.27818936
80,0.9,tanh,RMSprop,8,1,3,0.25883842
30,0.9,tanh,RMSprop,6,1,3,0.24968128
15,0.9,tanh,RMSprop,20,1,3,-8.099717e-09
15,0.9,tanh,RMSprop,15,1,3,-8.099717e-09
15,0.9,tanh,RMSprop,13,1,3,-8.099717e-09
15,0.9,tanh,RMSprop,10,1,3,-8.099717e-09
15,0.9,tanh,RMSprop,8,1,3,-8.099717e-09
15,0.9,tanh,RMSprop,25,1,3,-8.099717e-09
20,0.9,tanh,RMSprop,13,1,3,-8.099717e-09
20,0.9,tanh,RMSprop,15,1,3,-8.099717e-09
20,0.9,tanh,RMSprop,20,1,3,-8.099717e-09
20,0.9,tanh,RMSprop,25,1,3,-8.099717e-09
5,0.9,tanh,RMSprop,10,1,3,-0.42960638
55,0.9,tanh,RMSprop,10,1,3,-0.14303337
