epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
15,0.9,tanh,RMSprop,25,1,3,nan
15,0.9,tanh,RMSprop,20,1,3,nan
15,0.9,tanh,RMSprop,15,1,3,nan
15,0.9,tanh,RMSprop,13,1,3,nan
15,0.9,tanh,RMSprop,10,1,3,nan
45,0.9,tanh,RMSprop,2,1,3,0.57253826
25,0.9,tanh,RMSprop,8,1,3,0.52653706
40,0.9,tanh,RMSprop,2,1,3,0.5173717
20,0.9,tanh,RMSprop,6,1,3,0.5134896
90,0.9,tanh,RMSprop,4,1,3,0.5097541
80,0.9,tanh,RMSprop,6,1,3,0.50469875
70,0.9,tanh,RMSprop,4,1,3,0.4960225
80,0.9,tanh,RMSprop,8,1,3,0.49387723
20,0.9,tanh,RMSprop,10,1,3,0.4923818
50,0.9,tanh,RMSprop,8,1,3,0.4906323
80,0.9,tanh,RMSprop,4,1,3,0.48120338
15,0.9,tanh,RMSprop,8,1,3,0.47803503
10,0.9,tanh,RMSprop,4,1,3,0.47612244
20,0.9,tanh,RMSprop,2,1,3,0.47398883
15,0.9,tanh,RMSprop,4,1,3,0.46994224
15,0.9,tanh,RMSprop,6,1,3,0.46204355
25,0.9,tanh,RMSprop,2,1,3,0.46016768
70,0.9,tanh,RMSprop,6,1,3,0.45658416
60,0.9,tanh,RMSprop,2,1,3,0.45492962
30,0.9,tanh,RMSprop,2,1,3,0.45154336
35,0.9,tanh,RMSprop,4,1,3,0.45066
100,0.9,tanh,RMSprop,4,1,3,0.44276875
90,0.9,tanh,RMSprop,6,1,3,0.44200343
45,0.9,tanh,RMSprop,6,1,3,0.43732265
50,0.9,tanh,RMSprop,6,1,3,0.4345191
90,0.9,tanh,RMSprop,8,1,3,0.4344435
60,0.9,tanh,RMSprop,4,1,3,0.42563716
100,0.9,tanh,RMSprop,8,1,3,0.41968858
10,0.9,tanh,RMSprop,6,1,3,0.41913423
50,0.9,tanh,RMSprop,4,1,3,0.41725168
100,0.9,tanh,RMSprop,10,1,3,0.41500175
60,0.9,tanh,RMSprop,8,1,3,0.41153115
20,0.9,tanh,RMSprop,4,1,3,0.41124517
70,0.9,tanh,RMSprop,13,1,3,0.41075677
50,0.9,tanh,RMSprop,2,1,3,0.40723416
55,0.9,tanh,RMSprop,4,1,3,0.40570813
20,0.9,tanh,RMSprop,13,1,3,0.39890346
10,0.9,tanh,RMSprop,8,1,3,0.39481372
15,0.9,tanh,RMSprop,2,1,3,0.38904768
5,0.9,tanh,RMSprop,4,1,3,0.38081688
35,0.9,tanh,RMSprop,2,1,3,0.3771857
40,0.9,tanh,RMSprop,4,1,3,0.37058315
25,0.9,tanh,RMSprop,10,1,3,0.36868042
40,0.9,tanh,RMSprop,6,1,3,0.362308
55,0.9,tanh,RMSprop,6,1,3,0.36003298
10,0.9,tanh,RMSprop,2,1,3,0.35885262
70,0.9,tanh,RMSprop,8,1,3,0.3551835
30,0.9,tanh,RMSprop,4,1,3,0.35510576
30,0.9,tanh,RMSprop,6,1,3,0.3458639
80,0.9,tanh,RMSprop,2,1,3,0.33087432
45,0.9,tanh,RMSprop,8,1,3,0.32995716
25,0.9,tanh,RMSprop,4,1,3,0.32865843
5,0.9,tanh,RMSprop,8,1,3,0.3103554
45,0.9,tanh,RMSprop,4,1,3,0.30600885
70,0.9,tanh,RMSprop,2,1,3,0.28056794
55,0.9,tanh,RMSprop,2,1,3,0.25441915
100,0.9,tanh,RMSprop,2,1,3,0.24686472
5,0.9,tanh,RMSprop,2,1,3,0.161519
35,0.9,tanh,RMSprop,25,1,3,0.0
20,0.9,tanh,RMSprop,8,1,3,0.0
80,0.9,tanh,RMSprop,10,1,3,0.0
10,0.9,tanh,RMSprop,15,1,3,0.0
10,0.9,tanh,RMSprop,20,1,3,0.0
10,0.9,tanh,RMSprop,25,1,3,0.0
70,0.9,tanh,RMSprop,25,1,3,0.0
70,0.9,tanh,RMSprop,20,1,3,0.0
70,0.9,tanh,RMSprop,15,1,3,0.0
70,0.9,tanh,RMSprop,10,1,3,0.0
80,0.9,tanh,RMSprop,15,1,3,0.0
20,0.9,tanh,RMSprop,15,1,3,0.0
20,0.9,tanh,RMSprop,20,1,3,0.0
20,0.9,tanh,RMSprop,25,1,3,0.0
25,0.9,tanh,RMSprop,6,1,3,0.0
60,0.9,tanh,RMSprop,25,1,3,0.0
60,0.9,tanh,RMSprop,20,1,3,0.0
60,0.9,tanh,RMSprop,15,1,3,0.0
80,0.9,tanh,RMSprop,13,1,3,0.0
80,0.9,tanh,RMSprop,20,1,3,0.0
35,0.9,tanh,RMSprop,20,1,3,0.0
90,0.9,tanh,RMSprop,25,1,3,0.0
100,0.9,tanh,RMSprop,20,1,3,0.0
100,0.9,tanh,RMSprop,15,1,3,0.0
100,0.9,tanh,RMSprop,13,1,3,0.0
5,0.9,tanh,RMSprop,10,1,3,0.0
100,0.9,tanh,RMSprop,6,1,3,0.0
5,0.9,tanh,RMSprop,13,1,3,0.0
5,0.9,tanh,RMSprop,15,1,3,0.0
90,0.9,tanh,RMSprop,20,1,3,0.0
80,0.9,tanh,RMSprop,25,1,3,0.0
90,0.9,tanh,RMSprop,15,1,3,0.0
90,0.9,tanh,RMSprop,13,1,3,0.0
90,0.9,tanh,RMSprop,10,1,3,0.0
5,0.9,tanh,RMSprop,20,1,3,0.0
