epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
10,0.9,softplus,RMSprop,40,198,5,0.722017015444716
10,0.9,softplus,RMSprop,30,198,5,0.7219979720923227
10,0.6,softplus,RMSprop,40,198,5,0.7219819503894936
10,0.8,softplus,RMSprop,40,198,5,0.7219603205946596
10,0.6,softplus,RMSprop,30,198,4,0.7219592011946951
10,0.8,softplus,RMSprop,20,198,5,0.7219314173826421
10,0.8,softplus,RMSprop,30,198,5,0.7219273878597455
10,0.7,softplus,RMSprop,40,198,4,0.7219271013184352
10,0.7,softplus,RMSprop,40,198,5,0.7219026416179767
10,0.6,softplus,RMSprop,40,198,4,0.7218367614916102
10,0.6,softplus,RMSprop,30,198,5,0.72182068202655
10,0.8,softplus,RMSprop,40,198,4,0.721818711128509
10,0.8,softplus,RMSprop,30,198,4,0.7218177743666023
10,0.8,softplus,RMSprop,15,198,5,0.7218004079212392
10,0.9,softplus,RMSprop,40,198,4,0.7217944928912904
10,0.6,softplus,RMSprop,20,198,5,0.7217382795835355
10,0.9,softplus,RMSprop,30,198,4,0.7217234423747932
10,0.6,softplus,RMSprop,20,198,3,0.7217077701799016
10,0.7,softplus,RMSprop,20,198,5,0.7216771114989807
10,0.7,softplus,RMSprop,30,198,4,0.7216384554440697
10,0.8,softplus,RMSprop,30,198,3,0.7216339218778226
10,0.7,softplus,RMSprop,30,198,5,0.7215769735392208
10,0.6,softplus,RMSprop,40,198,3,0.72152669844187
10,0.9,softplus,RMSprop,20,198,4,0.7214819408052671
10,0.7,softplus,RMSprop,20,198,3,0.7214623792607774
10,0.7,softplus,RMSprop,40,198,3,0.7214571341078494
10,0.9,softplus,RMSprop,40,198,3,0.7214539785633053
10,0.6,softplus,RMSprop,15,198,4,0.7214332934103967
10,0.7,softplus,RMSprop,30,198,3,0.7214314948694801
10,0.8,softplus,RMSprop,40,198,3,0.721390668503513
10,0.6,sigmoid,RMSprop,15,198,3,0.7212462361787852
10,0.8,softplus,RMSprop,20,198,3,0.7211909153573525
10,0.9,softplus,RMSprop,20,198,5,0.7211866666232858
10,0.7,softplus,RMSprop,15,198,5,0.7210839420848124
10,0.7,hard_sigmoid,RMSprop,20,198,4,0.7210404399693903
10,0.8,softplus,RMSprop,15,198,4,0.7210303395690983
10,0.6,softplus,RMSprop,30,198,3,0.7209966303658943
10,0.8,softplus,RMSprop,15,198,3,0.7209457851051304
10,0.9,hard_sigmoid,RMSprop,20,198,3,0.7209239087058187
10,0.9,sigmoid,RMSprop,40,198,3,0.720921201258135
10,0.9,softplus,RMSprop,30,198,3,0.7209093523215285
10,0.7,softplus,RMSprop,10,198,4,0.7208871561190997
10,0.8,sigmoid,RMSprop,30,198,3,0.7208557680829442
10,0.8,sigmoid,RMSprop,30,198,4,0.7208542634676829
10,0.8,hard_sigmoid,RMSprop,15,198,3,0.7208534366733155
10,0.8,sigmoid,RMSprop,40,198,3,0.72083051830952
10,0.6,softplus,RMSprop,15,198,5,0.7208283759046287
10,0.8,sigmoid,RMSprop,15,198,4,0.7208030712868121
10,0.8,softplus,RMSprop,20,198,4,0.720797463067854
10,0.6,hard_sigmoid,RMSprop,15,198,3,0.7207529199731655
10,0.6,sigmoid,RMSprop,15,198,4,0.7207304563548226
10,0.9,sigmoid,RMSprop,30,198,3,0.7207164830045739
10,0.6,sigmoid,RMSprop,30,198,5,0.7207129376376653
10,0.6,sigmoid,RMSprop,10,198,5,0.7207000637372445
10,0.9,sigmoid,RMSprop,20,198,3,0.7206921219390563
10,0.8,hard_sigmoid,RMSprop,30,198,3,0.7206894911351623
10,0.6,softplus,RMSprop,20,198,4,0.7206884464085467
10,0.9,sigmoid,RMSprop,15,198,5,0.7206605595251129
10,0.6,softplus,RMSprop,15,198,3,0.720655512413273
10,0.7,sigmoid,RMSprop,30,198,3,0.7206438200431526
10,0.9,sigmoid,RMSprop,40,198,4,0.7206270608648306
10,0.8,hard_sigmoid,RMSprop,30,198,4,0.7206266564452123
10,0.9,softplus,RMSprop,10,198,5,0.720583748057011
10,0.9,sigmoid,RMSprop,20,198,5,0.7205745692324439
10,0.6,sigmoid,RMSprop,30,198,4,0.7205722299391865
10,0.9,hard_sigmoid,RMSprop,40,198,3,0.7205701513482703
10,0.6,sigmoid,RMSprop,40,198,3,0.7205241437777231
10,0.9,hard_sigmoid,RMSprop,15,198,4,0.720517239160491
10,0.7,sigmoid,RMSprop,30,198,4,0.7205003543203687
10,0.7,hard_sigmoid,RMSprop,40,198,3,0.7204988768006989
10,0.8,sigmoid,RMSprop,40,198,4,0.7204784819322972
10,0.6,hard_sigmoid,RMSprop,40,198,3,0.7204707091855388
10,0.7,sigmoid,RMSprop,40,198,5,0.7204703046716492
10,0.6,sigmoid,RMSprop,20,198,3,0.7204619930810909
10,0.9,sigmoid,RMSprop,30,198,4,0.7204370161227486
10,0.6,hard_sigmoid,RMSprop,20,198,4,0.7204361862135571
10,0.9,softplus,RMSprop,20,198,3,0.7204290867553874
10,0.7,hard_sigmoid,RMSprop,30,198,3,0.7204152217883264
10,0.6,hard_sigmoid,RMSprop,30,198,3,0.7203858494643024
10,0.7,sigmoid,RMSprop,40,198,3,0.7203746435795981
10,0.7,hard_sigmoid,RMSprop,40,198,4,0.7203697252486432
10,0.9,sigmoid,RMSprop,20,198,4,0.7203694231889984
10,0.9,hard_sigmoid,RMSprop,30,198,4,0.7203624842351396
10,0.8,hard_sigmoid,RMSprop,15,198,5,0.7203616092199857
10,0.7,hard_sigmoid,RMSprop,15,198,3,0.7203578600121042
10,0.6,sigmoid,RMSprop,30,198,3,0.7203515279295567
10,0.8,sigmoid,RMSprop,20,198,3,0.7203397144263355
10,0.9,sigmoid,RMSprop,40,198,5,0.7203344419845017
10,0.8,hard_sigmoid,RMSprop,20,198,5,0.72032021860627
10,0.8,hard_sigmoid,RMSprop,40,198,5,0.7203082742104944
10,0.6,hard_sigmoid,RMSprop,40,198,4,0.7203071625786809
10,0.7,sigmoid,RMSprop,40,198,4,0.7202909667054208
10,0.6,hard_sigmoid,RMSprop,20,198,3,0.7202871421363092
10,0.7,sigmoid,RMSprop,30,198,5,0.7202842438911822
10,0.6,sigmoid,RMSprop,20,198,5,0.7202734891432103
10,0.8,softplus,RMSprop,10,198,5,0.7202649786791107
10,0.8,sigmoid,RMSprop,20,198,4,0.7202538687737204
10,0.8,hard_sigmoid,RMSprop,40,198,4,0.7202510087166271
10,0.7,sigmoid,RMSprop,15,198,4,0.7202352220544724
10,0.8,sigmoid,RMSprop,40,198,5,0.7202318285157783
10,0.8,sigmoid,RMSprop,20,198,5,0.7202249942200805
10,0.9,hard_sigmoid,RMSprop,15,198,3,0.720220120129913
10,0.7,softplus,RMSprop,15,198,4,0.7202189711123057
10,0.7,hard_sigmoid,RMSprop,20,198,3,0.7202133763069145
10,0.6,hard_sigmoid,RMSprop,30,198,4,0.7202100013871545
10,0.9,hard_sigmoid,RMSprop,30,198,5,0.7202097291820896
10,0.6,sigmoid,RMSprop,40,198,4,0.7202004224352332
10,0.6,hard_sigmoid,RMSprop,10,198,5,0.7201895908135946
10,0.6,hard_sigmoid,RMSprop,30,198,5,0.7201857726121509
10,0.7,sigmoid,RMSprop,20,198,4,0.7201688497668836
10,0.8,hard_sigmoid,RMSprop,30,198,5,0.7201671364964201
10,0.6,hard_sigmoid,RMSprop,40,198,5,0.7201438585372697
10,0.8,hard_sigmoid,RMSprop,40,198,3,0.7201206325715025
10,0.9,hard_sigmoid,RMSprop,40,198,4,0.720118760568724
10,0.6,sigmoid,RMSprop,40,198,5,0.7201132314155446
10,0.9,hard_sigmoid,RMSprop,30,198,3,0.720103998399113
10,0.8,hard_sigmoid,RMSprop,20,198,3,0.7201026601119477
10,0.8,hard_sigmoid,RMSprop,20,198,4,0.7200732871470511
10,0.8,sigmoid,RMSprop,30,198,5,0.7200663411006735
