epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
10,0.9,tanh,RMSprop,25,1,3,nan
10,0.9,tanh,RMSprop,13,1,3,nan
25,0.9,tanh,RMSprop,20,1,3,nan
25,0.9,tanh,RMSprop,25,1,3,nan
15,0.9,tanh,RMSprop,25,1,3,nan
15,0.9,tanh,RMSprop,20,1,3,nan
15,0.9,tanh,RMSprop,15,1,3,nan
15,0.9,tanh,RMSprop,10,1,3,nan
15,0.9,tanh,RMSprop,2,1,3,nan
25,0.9,tanh,RMSprop,8,1,3,nan
10,0.9,tanh,RMSprop,20,1,3,nan
10,0.9,tanh,RMSprop,15,1,3,nan
25,0.9,tanh,RMSprop,15,1,3,nan
5,0.9,tanh,RMSprop,15,1,3,nan
5,0.9,tanh,RMSprop,13,1,3,nan
5,0.9,tanh,RMSprop,8,1,3,nan
5,0.9,tanh,RMSprop,25,1,3,nan
5,0.9,tanh,RMSprop,20,1,3,nan
60,0.9,tanh,RMSprop,25,1,3,1.0471135e-07
70,0.9,tanh,RMSprop,25,1,3,1.0471135e-07
30,0.9,tanh,RMSprop,13,1,3,1.0471135e-07
30,0.9,tanh,RMSprop,15,1,3,1.0471135e-07
30,0.9,tanh,RMSprop,20,1,3,1.0471135e-07
60,0.9,tanh,RMSprop,20,1,3,1.0471135e-07
55,0.9,tanh,RMSprop,25,1,3,1.0471135e-07
40,0.9,tanh,RMSprop,25,1,3,1.0471135e-07
45,0.9,tanh,RMSprop,15,1,3,1.0471135e-07
70,0.9,tanh,RMSprop,20,1,3,1.0471135e-07
40,0.9,tanh,RMSprop,10,1,3,1.0471135e-07
40,0.9,tanh,RMSprop,13,1,3,1.0471135e-07
40,0.9,tanh,RMSprop,20,1,3,1.0471135e-07
50,0.9,tanh,RMSprop,25,1,3,1.0471135e-07
50,0.9,tanh,RMSprop,20,1,3,1.0471135e-07
45,0.9,tanh,RMSprop,25,1,3,1.0471135e-07
100,0.9,tanh,RMSprop,25,1,3,1.0471135e-07
30,0.9,tanh,RMSprop,25,1,3,1.0471135e-07
60,0.9,tanh,RMSprop,15,1,3,1.0471135e-07
90,0.9,tanh,RMSprop,25,1,3,1.0471135e-07
90,0.9,tanh,RMSprop,20,1,3,1.0471135e-07
90,0.9,tanh,RMSprop,13,1,3,1.0471135e-07
100,0.9,tanh,RMSprop,20,1,3,1.0471135e-07
100,0.9,tanh,RMSprop,15,1,3,1.0471135e-07
80,0.9,tanh,RMSprop,20,1,3,1.0471135e-07
80,0.9,tanh,RMSprop,25,1,3,1.0471135e-07
70,0.9,tanh,RMSprop,13,1,3,0.25742048
70,0.9,tanh,RMSprop,15,1,3,0.2498065
80,0.9,tanh,RMSprop,8,1,3,0.24192671
45,0.9,tanh,RMSprop,10,1,3,0.23199227
70,0.9,tanh,RMSprop,8,1,3,0.21551943
100,0.9,tanh,RMSprop,10,1,3,0.21471117
90,0.9,tanh,RMSprop,15,1,3,0.21197234
60,0.9,tanh,RMSprop,8,1,3,0.20888229
35,0.9,tanh,RMSprop,10,1,3,0.18100385
50,0.9,tanh,RMSprop,10,1,3,0.18061304
45,0.9,tanh,RMSprop,13,1,3,0.17438582
55,0.9,tanh,RMSprop,13,1,3,0.15954271
80,0.9,tanh,RMSprop,13,1,3,0.15799281
80,0.9,tanh,RMSprop,10,1,3,0.15768346
35,0.9,tanh,RMSprop,8,1,3,0.15053245
35,0.9,tanh,RMSprop,6,1,3,0.1456851
45,0.9,tanh,RMSprop,20,1,3,0.14255299
55,0.9,tanh,RMSprop,10,1,3,0.13478923
70,0.9,tanh,RMSprop,10,1,3,0.12767829
60,0.9,tanh,RMSprop,13,1,3,0.12757272
100,0.9,tanh,RMSprop,8,1,3,0.12395242
100,0.9,tanh,RMSprop,13,1,3,0.11633776
50,0.9,tanh,RMSprop,6,1,3,0.11509169
45,0.9,tanh,RMSprop,8,1,3,0.11472905
60,0.9,tanh,RMSprop,6,1,3,0.11313985
90,0.9,tanh,RMSprop,4,1,3,0.10960454
55,0.9,tanh,RMSprop,4,1,3,0.10703503
90,0.9,tanh,RMSprop,6,1,3,0.10607604
60,0.9,tanh,RMSprop,10,1,3,0.105760746
35,0.9,tanh,RMSprop,4,1,3,0.10395767
40,0.9,tanh,RMSprop,15,1,3,0.10256288
45,0.9,tanh,RMSprop,4,1,3,0.10172262
100,0.9,tanh,RMSprop,4,1,3,0.097641915
55,0.9,tanh,RMSprop,6,1,3,0.09630552
100,0.9,tanh,RMSprop,6,1,3,0.09562817
50,0.9,tanh,RMSprop,13,1,3,0.085222095
55,0.9,tanh,RMSprop,2,1,3,0.08146698
70,0.9,tanh,RMSprop,6,1,3,0.080622025
80,0.9,tanh,RMSprop,4,1,3,0.076497786
90,0.9,tanh,RMSprop,8,1,3,0.075404815
50,0.9,tanh,RMSprop,4,1,3,0.069326505
80,0.9,tanh,RMSprop,15,1,3,0.067595385
45,0.9,tanh,RMSprop,6,1,3,0.0642306
55,0.9,tanh,RMSprop,8,1,3,0.062062103
70,0.9,tanh,RMSprop,2,1,3,0.06006451
