epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
20,0.9,tanh,RMSprop,25,1,3,nan
20,0.9,tanh,RMSprop,20,1,3,nan
15,0.9,tanh,RMSprop,13,1,3,7.2562685e-08
15,0.9,tanh,RMSprop,25,1,3,7.2562685e-08
15,0.9,tanh,RMSprop,20,1,3,7.2562685e-08
15,0.9,tanh,RMSprop,8,1,3,7.2562685e-08
10,0.9,tanh,RMSprop,13,1,3,6.2196584e-08
10,0.9,tanh,RMSprop,8,1,3,6.2196584e-08
10,0.9,tanh,RMSprop,25,1,3,6.2196584e-08
10,0.9,tanh,RMSprop,20,1,3,6.2196584e-08
10,0.9,tanh,RMSprop,15,1,3,6.2196584e-08
10,0.9,tanh,RMSprop,4,1,3,6.2196584e-08
60,0.9,tanh,RMSprop,6,1,3,0.44598857
100,0.9,tanh,RMSprop,8,1,3,0.44163135
45,0.9,tanh,RMSprop,10,1,3,0.432606
55,0.9,tanh,RMSprop,2,1,3,0.42804673
70,0.9,tanh,RMSprop,6,1,3,0.4276364
50,0.9,tanh,RMSprop,8,1,3,0.42028478
90,0.9,tanh,RMSprop,6,1,3,0.4153714
90,0.9,tanh,RMSprop,8,1,3,0.4112482
60,0.9,tanh,RMSprop,13,1,3,0.410794
45,0.9,tanh,RMSprop,8,1,3,0.4036553
80,0.9,tanh,RMSprop,13,1,3,0.40026417
90,0.9,tanh,RMSprop,10,1,3,0.3987682
40,0.9,tanh,RMSprop,8,1,3,0.394629
35,0.9,tanh,RMSprop,6,1,3,0.38784945
90,0.9,tanh,RMSprop,4,1,3,0.38739994
80,0.9,tanh,RMSprop,8,1,3,0.3863582
35,0.9,tanh,RMSprop,8,1,3,0.38626668
45,0.9,tanh,RMSprop,6,1,3,0.37603593
30,0.9,tanh,RMSprop,15,1,3,0.3729808
40,0.9,tanh,RMSprop,6,1,3,0.37282246
35,0.9,tanh,RMSprop,10,1,3,0.37242323
60,0.9,tanh,RMSprop,15,1,3,0.37146616
60,0.9,tanh,RMSprop,8,1,3,0.369372
70,0.9,tanh,RMSprop,15,1,3,0.36799493
30,0.9,tanh,RMSprop,6,1,3,0.36444944
40,0.9,tanh,RMSprop,13,1,3,0.36091962
25,0.9,tanh,RMSprop,10,1,3,0.36073107
40,0.9,tanh,RMSprop,4,1,3,0.35954335
55,0.9,tanh,RMSprop,6,1,3,0.35697755
35,0.9,tanh,RMSprop,13,1,3,0.3567303
55,0.9,tanh,RMSprop,13,1,3,0.35191876
30,0.9,tanh,RMSprop,13,1,3,0.3518628
70,0.9,tanh,RMSprop,13,1,3,0.3515172
90,0.9,tanh,RMSprop,2,1,3,0.34991494
55,0.9,tanh,RMSprop,10,1,3,0.34558517
70,0.9,tanh,RMSprop,25,1,3,0.34512648
25,0.9,tanh,RMSprop,13,1,3,0.34413898
30,0.9,tanh,RMSprop,10,1,3,0.34274286
70,0.9,tanh,RMSprop,2,1,3,0.34155405
80,0.9,tanh,RMSprop,4,1,3,0.33999655
50,0.9,tanh,RMSprop,6,1,3,0.33625275
90,0.9,tanh,RMSprop,15,1,3,0.33491492
25,0.9,tanh,RMSprop,6,1,3,0.33356163
20,0.9,tanh,RMSprop,15,1,3,0.32971382
