epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
20,0.9,tanh,RMSprop,25,1,3,nan
20,0.9,tanh,RMSprop,13,1,3,nan
20,0.9,tanh,RMSprop,20,1,3,nan
10,0.9,tanh,RMSprop,10,1,3,3.5784604e-09
15,0.9,tanh,RMSprop,15,1,3,3.5784604e-09
10,0.9,tanh,RMSprop,25,1,3,3.5784604e-09
10,0.9,tanh,RMSprop,20,1,3,3.5784604e-09
10,0.9,tanh,RMSprop,13,1,3,3.5784604e-09
15,0.9,tanh,RMSprop,25,1,3,3.5784604e-09
15,0.9,tanh,RMSprop,20,1,3,3.5784604e-09
80,0.9,tanh,RMSprop,10,1,3,0.55604297
60,0.9,tanh,RMSprop,6,1,3,0.5442041
90,0.9,tanh,RMSprop,6,1,3,0.5419471
30,0.9,tanh,RMSprop,15,1,3,0.5335766
70,0.9,tanh,RMSprop,13,1,3,0.53013635
100,0.9,tanh,RMSprop,10,1,3,0.5282451
60,0.9,tanh,RMSprop,10,1,3,0.51962745
100,0.9,tanh,RMSprop,6,1,3,0.5176582
80,0.9,tanh,RMSprop,8,1,3,0.5122706
70,0.9,tanh,RMSprop,2,1,3,0.51097184
60,0.9,tanh,RMSprop,15,1,3,0.5055814
50,0.9,tanh,RMSprop,6,1,3,0.5024303
55,0.9,tanh,RMSprop,13,1,3,0.5019188
60,0.9,tanh,RMSprop,2,1,3,0.49656895
20,0.9,tanh,RMSprop,15,1,3,0.49129862
100,0.9,tanh,RMSprop,2,1,3,0.490349
30,0.9,tanh,RMSprop,13,1,3,0.4787129
90,0.9,tanh,RMSprop,8,1,3,0.47191572
70,0.9,tanh,RMSprop,15,1,3,0.4693894
55,0.9,tanh,RMSprop,2,1,3,0.46842712
80,0.9,tanh,RMSprop,6,1,3,0.46605384
50,0.9,tanh,RMSprop,8,1,3,0.45915756
35,0.9,tanh,RMSprop,13,1,3,0.45871216
55,0.9,tanh,RMSprop,10,1,3,0.45332658
55,0.9,tanh,RMSprop,4,1,3,0.44961968
55,0.9,tanh,RMSprop,8,1,3,0.4478491
45,0.9,tanh,RMSprop,6,1,3,0.44460794
50,0.9,tanh,RMSprop,10,1,3,0.4421381
45,0.9,tanh,RMSprop,10,1,3,0.44055125
45,0.9,tanh,RMSprop,2,1,3,0.43895265
80,0.9,tanh,RMSprop,13,1,3,0.43572974
100,0.9,tanh,RMSprop,8,1,3,0.428676
90,0.9,tanh,RMSprop,2,1,3,0.4242668
80,0.9,tanh,RMSprop,4,1,3,0.42056167
60,0.9,tanh,RMSprop,8,1,3,0.418076
70,0.9,tanh,RMSprop,10,1,3,0.41406927
100,0.9,tanh,RMSprop,4,1,3,0.4140602
90,0.9,tanh,RMSprop,15,1,3,0.40697795
90,0.9,tanh,RMSprop,10,1,3,0.40657133
35,0.9,tanh,RMSprop,10,1,3,0.4050282
70,0.9,tanh,RMSprop,6,1,3,0.40339983
40,0.9,tanh,RMSprop,13,1,3,0.4019442
25,0.9,tanh,RMSprop,4,1,3,0.40101486
55,0.9,tanh,RMSprop,6,1,3,0.3967994
80,0.9,tanh,RMSprop,2,1,3,0.39460227
70,0.9,tanh,RMSprop,4,1,3,0.3743666
50,0.9,tanh,RMSprop,2,1,3,0.36758974
35,0.9,tanh,RMSprop,4,1,3,0.36191934
90,0.9,tanh,RMSprop,4,1,3,0.36191797
30,0.9,tanh,RMSprop,6,1,3,0.36184472
60,0.9,tanh,RMSprop,4,1,3,0.36115792
70,0.9,tanh,RMSprop,8,1,3,0.35757425
40,0.9,tanh,RMSprop,4,1,3,0.35516706
15,0.9,tanh,RMSprop,10,1,3,0.3464537
40,0.9,tanh,RMSprop,10,1,3,0.34409672
40,0.9,tanh,RMSprop,15,1,3,0.3420392
20,0.9,tanh,RMSprop,6,1,3,0.34064567
45,0.9,tanh,RMSprop,4,1,3,0.3333022
40,0.9,tanh,RMSprop,8,1,3,0.32279643
90,0.9,tanh,RMSprop,20,1,3,0.32077697
20,0.9,tanh,RMSprop,4,1,3,0.31983075
50,0.9,tanh,RMSprop,4,1,3,0.3112414
35,0.9,tanh,RMSprop,8,1,3,0.30985487
30,0.9,tanh,RMSprop,4,1,3,0.30728117
10,0.9,tanh,RMSprop,2,1,3,0.3048896
