epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
10,0.9,tanh,RMSprop,15,1,3,nan
10,0.9,tanh,RMSprop,25,1,3,nan
10,0.9,tanh,RMSprop,20,1,3,nan
55,0.9,tanh,RMSprop,8,1,3,0.60778475
100,0.9,tanh,RMSprop,2,1,3,0.54233414
40,0.9,tanh,RMSprop,8,1,3,0.5029929
35,0.9,tanh,RMSprop,8,1,3,0.47506982
30,0.9,tanh,RMSprop,10,1,3,0.46776038
90,0.9,tanh,RMSprop,4,1,3,0.4623086
80,0.9,tanh,RMSprop,10,1,3,0.45434177
90,0.9,tanh,RMSprop,2,1,3,0.42886922
80,0.9,tanh,RMSprop,25,1,3,0.4270816
70,0.9,tanh,RMSprop,2,1,3,0.4183251
60,0.9,tanh,RMSprop,8,1,3,0.4171031
100,0.9,tanh,RMSprop,4,1,3,0.4154378
55,0.9,tanh,RMSprop,10,1,3,0.38766572
60,0.9,tanh,RMSprop,6,1,3,0.3737734
80,0.9,tanh,RMSprop,4,1,3,0.36420476
80,0.9,tanh,RMSprop,6,1,3,0.3614979
30,0.9,tanh,RMSprop,8,1,3,0.3574434
55,0.9,tanh,RMSprop,6,1,3,0.34807494
90,0.9,tanh,RMSprop,13,1,3,0.34596327
55,0.9,tanh,RMSprop,4,1,3,0.34317285
60,0.9,tanh,RMSprop,4,1,3,0.33872402
90,0.9,tanh,RMSprop,8,1,3,0.33621618
45,0.9,tanh,RMSprop,8,1,3,0.3314599
100,0.9,tanh,RMSprop,10,1,3,0.32482523
70,0.9,tanh,RMSprop,4,1,3,0.32198218
80,0.9,tanh,RMSprop,2,1,3,0.32164446
40,0.9,tanh,RMSprop,6,1,3,0.31790537
30,0.9,tanh,RMSprop,2,1,3,0.31517822
60,0.9,tanh,RMSprop,15,1,3,0.30427808
60,0.9,tanh,RMSprop,13,1,3,0.30181453
90,0.9,tanh,RMSprop,6,1,3,0.29908574
40,0.9,tanh,RMSprop,10,1,3,0.28160855
20,0.9,tanh,RMSprop,13,1,3,0.27595147
45,0.9,tanh,RMSprop,6,1,3,0.27135637
10,0.9,tanh,RMSprop,13,1,3,0.2650287
35,0.9,tanh,RMSprop,15,1,3,0.24794748
90,0.9,tanh,RMSprop,10,1,3,0.24485491
80,0.9,tanh,RMSprop,13,1,3,0.24359713
45,0.9,tanh,RMSprop,13,1,3,0.24042122
40,0.9,tanh,RMSprop,13,1,3,0.23886506
50,0.9,tanh,RMSprop,4,1,3,0.23476213
80,0.9,tanh,RMSprop,20,1,3,0.22636199
55,0.9,tanh,RMSprop,13,1,3,0.2188235
70,0.9,tanh,RMSprop,10,1,3,0.2110335
60,0.9,tanh,RMSprop,20,1,3,0.20967796
45,0.9,tanh,RMSprop,4,1,3,0.20946108
50,0.9,tanh,RMSprop,15,1,3,0.20942068
30,0.9,tanh,RMSprop,13,1,3,0.2087017
60,0.9,tanh,RMSprop,2,1,3,0.20466043
70,0.9,tanh,RMSprop,15,1,3,0.19812615
25,0.9,tanh,RMSprop,2,1,3,0.19465907
50,0.9,tanh,RMSprop,8,1,3,0.19353493
70,0.9,tanh,RMSprop,6,1,3,0.18685529
100,0.9,tanh,RMSprop,6,1,3,0.18634455
35,0.9,tanh,RMSprop,2,1,3,0.18060546
80,0.9,tanh,RMSprop,8,1,3,0.17948915
10,0.9,tanh,RMSprop,6,1,3,0.17730403
60,0.9,tanh,RMSprop,10,1,3,0.1649015
5,0.9,tanh,RMSprop,10,1,3,0.16103737
70,0.9,tanh,RMSprop,13,1,3,0.16089882
35,0.9,tanh,RMSprop,6,1,3,0.15817586
50,0.9,tanh,RMSprop,2,1,3,0.1543514
25,0.9,tanh,RMSprop,6,1,3,0.15076593
50,0.9,tanh,RMSprop,10,1,3,0.1498725
90,0.9,tanh,RMSprop,15,1,3,0.14865814
20,0.9,tanh,RMSprop,6,1,3,0.14196101
15,0.9,tanh,RMSprop,10,1,3,0.14091791
100,0.9,tanh,RMSprop,8,1,3,0.13708231
50,0.9,tanh,RMSprop,13,1,3,0.13057695
80,0.9,tanh,RMSprop,15,1,3,0.1262553
35,0.9,tanh,RMSprop,4,1,3,0.120347
25,0.9,tanh,RMSprop,10,1,3,0.1188339
15,0.9,tanh,RMSprop,8,1,3,0.109077804
25,0.9,tanh,RMSprop,13,1,3,0.10661085
55,0.9,tanh,RMSprop,15,1,3,0.104825445
55,0.9,tanh,RMSprop,20,1,3,0.10325767
70,0.9,tanh,RMSprop,8,1,3,0.09071454
30,0.9,tanh,RMSprop,6,1,3,0.08806119
20,0.9,tanh,RMSprop,10,1,3,0.08634065
70,0.9,tanh,RMSprop,20,1,3,0.08491709
40,0.9,tanh,RMSprop,4,1,3,0.07757055
100,0.9,tanh,RMSprop,15,1,3,0.074806064
25,0.9,tanh,RMSprop,15,1,3,0.06977912
5,0.9,tanh,RMSprop,6,1,3,0.067614414
10,0.9,tanh,RMSprop,10,1,3,0.06761045
20,0.9,tanh,RMSprop,4,1,3,0.06646933
35,0.9,tanh,RMSprop,10,1,3,0.06401277
55,0.9,tanh,RMSprop,2,1,3,0.04636759
50,0.9,tanh,RMSprop,6,1,3,0.040490124
25,0.9,tanh,RMSprop,4,1,3,0.03127845
100,0.9,tanh,RMSprop,25,1,3,0.030383447
5,0.9,tanh,RMSprop,8,1,3,0.025613517
20,0.9,tanh,RMSprop,8,1,3,0.021350503
50,0.9,tanh,RMSprop,20,1,3,0.020036502
30,0.9,tanh,RMSprop,20,1,3,0.017998965
10,0.9,tanh,RMSprop,8,1,3,0.009229662
10,0.9,tanh,RMSprop,2,1,3,0.007293662
40,0.9,tanh,RMSprop,2,1,3,0.006570376
45,0.9,tanh,RMSprop,15,1,3,0.0
5,0.9,tanh,RMSprop,13,1,3,0.0
5,0.9,tanh,RMSprop,15,1,3,0.0
25,0.9,tanh,RMSprop,20,1,3,0.0
25,0.9,tanh,RMSprop,25,1,3,0.0
40,0.9,tanh,RMSprop,25,1,3,0.0
5,0.9,tanh,RMSprop,4,1,3,0.0
25,0.9,tanh,RMSprop,8,1,3,0.0
5,0.9,tanh,RMSprop,20,1,3,0.0
5,0.9,tanh,RMSprop,25,1,3,0.0
90,0.9,tanh,RMSprop,20,1,3,0.0
45,0.9,tanh,RMSprop,25,1,3,0.0
15,0.9,tanh,RMSprop,13,1,3,0.0
30,0.9,tanh,RMSprop,25,1,3,0.0
15,0.9,tanh,RMSprop,15,1,3,0.0
40,0.9,tanh,RMSprop,20,1,3,0.0
20,0.9,tanh,RMSprop,25,1,3,0.0
60,0.9,tanh,RMSprop,25,1,3,0.0
20,0.9,tanh,RMSprop,20,1,3,0.0
35,0.9,tanh,RMSprop,20,1,3,0.0
50,0.9,tanh,RMSprop,25,1,3,0.0
35,0.9,tanh,RMSprop,25,1,3,0.0
55,0.9,tanh,RMSprop,25,1,3,0.0
15,0.9,tanh,RMSprop,25,1,3,0.0
15,0.9,tanh,RMSprop,20,1,3,0.0
20,0.9,tanh,RMSprop,15,1,3,0.0
30,0.9,tanh,RMSprop,4,1,3,-0.20842545
45,0.9,tanh,RMSprop,10,1,3,-0.14804085
40,0.9,tanh,RMSprop,15,1,3,-0.09475582
100,0.9,tanh,RMSprop,20,1,3,-0.08155472
45,0.9,tanh,RMSprop,2,1,3,-0.053610437
15,0.9,tanh,RMSprop,6,1,3,-0.053177573
20,0.9,tanh,RMSprop,2,1,3,-0.049163785
45,0.9,tanh,RMSprop,20,1,3,-0.0491297
10,0.9,tanh,RMSprop,4,1,3,-0.039813474
70,0.9,tanh,RMSprop,25,1,3,-0.038173873
90,0.9,tanh,RMSprop,25,1,3,-0.037506115
30,0.9,tanh,RMSprop,15,1,3,-0.03188928
15,0.9,tanh,RMSprop,4,1,3,-0.031392973
100,0.9,tanh,RMSprop,13,1,3,-0.029043453
15,0.9,tanh,RMSprop,2,1,3,-0.020688899
35,0.9,tanh,RMSprop,13,1,3,-0.017228426
5,0.9,tanh,RMSprop,2,1,3,-0.00018641529
