epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
75,1.0,tanh,RMSprop,20,1,2,0.83029175
55,1.0,tanh,RMSprop,20,1,2,0.7706506
40,1.0,tanh,RMSprop,15,1,2,0.7635344
70,1.0,tanh,RMSprop,15,1,2,0.7600352
15,1.0,tanh,RMSprop,20,1,2,0.7369229
35,1.0,tanh,RMSprop,20,1,2,0.7168825
20,1.0,tanh,RMSprop,15,1,2,0.7109915
60,1.0,tanh,RMSprop,15,1,2,0.7072835
40,1.0,tanh,RMSprop,20,1,2,0.70651203
90,1.0,tanh,RMSprop,10,1,2,0.68149024
55,1.0,tanh,RMSprop,15,1,2,0.66924745
45,1.0,tanh,RMSprop,15,1,2,0.662898
95,1.0,tanh,RMSprop,10,1,2,0.646242
70,1.0,tanh,RMSprop,20,1,2,0.6323901
95,1.0,tanh,RMSprop,15,1,2,0.5938094
25,1.0,tanh,RMSprop,15,1,2,0.5665252
85,1.0,tanh,RMSprop,25,1,2,0.5604914
70,1.0,tanh,RMSprop,5,1,2,0.55847895
45,1.0,tanh,RMSprop,10,1,2,0.5537176
50,1.0,tanh,RMSprop,15,1,2,0.529918
85,1.0,tanh,RMSprop,20,1,2,0.49976504
75,1.0,tanh,RMSprop,5,1,2,0.49354562
25,1.0,tanh,RMSprop,20,1,2,0.4822469
80,1.0,tanh,RMSprop,20,1,2,0.47294405
30,1.0,tanh,RMSprop,10,1,2,0.47216216
55,1.0,tanh,RMSprop,5,1,2,0.4697624
100,1.0,tanh,RMSprop,20,1,2,0.46940586
80,1.0,tanh,RMSprop,5,1,2,0.46710706
40,1.0,tanh,RMSprop,5,1,2,0.46383208
25,1.0,tanh,RMSprop,10,1,2,0.46279043
65,1.0,tanh,RMSprop,5,1,2,0.46108124
85,1.0,tanh,RMSprop,10,1,2,0.46063194
35,1.0,tanh,RMSprop,5,1,2,0.45982292
70,1.0,tanh,RMSprop,10,1,2,0.45750993
80,1.0,tanh,RMSprop,10,1,2,0.45716783
100,1.0,tanh,RMSprop,5,1,2,0.4520489
