epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
5,0.9,tanh,RMSprop,13,1,3,nan
5,0.9,tanh,RMSprop,15,1,3,nan
5,0.9,tanh,RMSprop,20,1,3,nan
5,0.9,tanh,RMSprop,25,1,3,nan
30,0.9,tanh,RMSprop,20,1,3,2.1649543e-08
30,0.9,tanh,RMSprop,25,1,3,2.1649543e-08
15,0.9,tanh,RMSprop,25,1,3,2.1649543e-08
15,0.9,tanh,RMSprop,20,1,3,2.1649543e-08
15,0.9,tanh,RMSprop,13,1,3,2.1649543e-08
15,0.9,tanh,RMSprop,8,1,3,2.1649543e-08
30,0.9,tanh,RMSprop,13,1,3,2.1649543e-08
30,0.9,tanh,RMSprop,15,1,3,2.1649543e-08
20,0.9,tanh,RMSprop,4,1,3,0.6171667
90,0.9,tanh,RMSprop,4,1,3,0.6162166
70,0.9,tanh,RMSprop,15,1,3,0.61550575
100,0.9,tanh,RMSprop,4,1,3,0.5843525
80,0.9,tanh,RMSprop,13,1,3,0.5795662
30,0.9,tanh,RMSprop,4,1,3,0.5787611
60,0.9,tanh,RMSprop,2,1,3,0.57796437
100,0.9,tanh,RMSprop,8,1,3,0.5672244
55,0.9,tanh,RMSprop,4,1,3,0.5558498
50,0.9,tanh,RMSprop,2,1,3,0.5533485
10,0.9,tanh,RMSprop,4,1,3,0.551988
35,0.9,tanh,RMSprop,2,1,3,0.5509282
50,0.9,tanh,RMSprop,4,1,3,0.5466037
80,0.9,tanh,RMSprop,6,1,3,0.54491085
25,0.9,tanh,RMSprop,4,1,3,0.5437062
70,0.9,tanh,RMSprop,4,1,3,0.5416089
100,0.9,tanh,RMSprop,10,1,3,0.54131347
25,0.9,tanh,RMSprop,10,1,3,0.5378918
25,0.9,tanh,RMSprop,6,1,3,0.5149065
80,0.9,tanh,RMSprop,2,1,3,0.51371455
90,0.9,tanh,RMSprop,8,1,3,0.5119727
40,0.9,tanh,RMSprop,2,1,3,0.50426525
60,0.9,tanh,RMSprop,10,1,3,0.50056577
25,0.9,tanh,RMSprop,8,1,3,0.49201837
90,0.9,tanh,RMSprop,10,1,3,0.48830062
70,0.9,tanh,RMSprop,8,1,3,0.47848594
40,0.9,tanh,RMSprop,8,1,3,0.46968868
15,0.9,tanh,RMSprop,10,1,3,0.46951714
30,0.9,tanh,RMSprop,6,1,3,0.46841115
15,0.9,tanh,RMSprop,6,1,3,0.45555565
20,0.9,tanh,RMSprop,6,1,3,0.45058295
15,0.9,tanh,RMSprop,4,1,3,0.44930834
60,0.9,tanh,RMSprop,6,1,3,0.4412632
30,0.9,tanh,RMSprop,2,1,3,0.4383508
70,0.9,tanh,RMSprop,13,1,3,0.42939657
15,0.9,tanh,RMSprop,2,1,3,0.42724645
40,0.9,tanh,RMSprop,10,1,3,0.4265587
55,0.9,tanh,RMSprop,6,1,3,0.42418426
45,0.9,tanh,RMSprop,8,1,3,0.42012998
10,0.9,tanh,RMSprop,10,1,3,0.41380662
10,0.9,tanh,RMSprop,6,1,3,0.4102077
100,0.9,tanh,RMSprop,6,1,3,0.40870947
40,0.9,tanh,RMSprop,4,1,3,0.40381303
30,0.9,tanh,RMSprop,8,1,3,0.38940272
15,0.9,tanh,RMSprop,15,1,3,0.38554928
60,0.9,tanh,RMSprop,8,1,3,0.37480715
45,0.9,tanh,RMSprop,2,1,3,0.370937
20,0.9,tanh,RMSprop,2,1,3,0.3614957
55,0.9,tanh,RMSprop,2,1,3,0.36106116
45,0.9,tanh,RMSprop,13,1,3,0.35371056
40,0.9,tanh,RMSprop,6,1,3,0.3494801
50,0.9,tanh,RMSprop,8,1,3,0.34922612
50,0.9,tanh,RMSprop,6,1,3,0.3480282
25,0.9,tanh,RMSprop,2,1,3,0.34313488
5,0.9,tanh,RMSprop,4,1,3,0.32676452
30,0.9,tanh,RMSprop,10,1,3,0.32326412
35,0.9,tanh,RMSprop,4,1,3,0.31060436
5,0.9,tanh,RMSprop,10,1,3,0.30756587
80,0.9,tanh,RMSprop,8,1,3,0.30655617
90,0.9,tanh,RMSprop,6,1,3,0.30407032
5,0.9,tanh,RMSprop,8,1,3,0.30007353
70,0.9,tanh,RMSprop,2,1,3,0.29969603
5,0.9,tanh,RMSprop,6,1,3,0.29755777
45,0.9,tanh,RMSprop,4,1,3,0.28776193
