epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,Adagrad,8,1,2,0.51845545
26,1.0,tanh,Adagrad,10,1,2,0.4903977
30,1.0,tanh,Adagrad,6,1,2,0.4526177
30,1.0,tanh,Adagrad,10,1,2,0.45116866
22,1.0,tanh,Adagrad,8,1,2,0.43220136
30,1.0,tanh,Adagrad,14,1,2,0.43166283
26,1.0,tanh,Adagrad,8,1,2,0.42971015
22,1.0,tanh,Adagrad,10,1,2,0.42504564
28,1.0,tanh,Adagrad,6,1,2,0.42359966
28,1.0,tanh,Adagrad,8,1,2,0.38746428
28,1.0,tanh,Adagrad,10,1,2,0.38726342
20,1.0,tanh,Adagrad,8,1,2,0.37659976
26,1.0,tanh,Adagrad,6,1,2,0.34811842
28,1.0,tanh,Adagrad,16,1,2,0.33735436
22,1.0,tanh,Adagrad,6,1,2,0.3171975
26,1.0,tanh,Adagrad,14,1,2,0.31613952
22,1.0,tanh,Adagrad,14,1,2,0.3145283
20,1.0,tanh,Adagrad,6,1,2,0.31213054
24,1.0,tanh,Adagrad,12,1,2,0.30385667
24,1.0,tanh,Adagrad,8,1,2,0.2957273
22,1.0,tanh,Adagrad,12,1,2,0.29048523
24,1.0,tanh,Adagrad,10,1,2,0.2746393
26,1.0,tanh,Adagrad,16,1,2,0.26167583
20,1.0,tanh,Adagrad,12,1,2,0.25903165
20,1.0,tanh,Adagrad,14,1,2,0.24581596
26,1.0,tanh,Adagrad,12,1,2,0.23302051
30,1.0,tanh,Adagrad,12,1,2,0.2310716
24,1.0,tanh,Adagrad,6,1,2,0.218682
28,1.0,tanh,Adagrad,12,1,2,0.18372637
24,1.0,tanh,Adagrad,14,1,2,0.16959411
28,1.0,tanh,Adagrad,14,1,2,0.16133197
30,1.0,tanh,Adagrad,16,1,2,0.11260615
20,1.0,tanh,Adagrad,10,1,2,0.112336375
22,1.0,tanh,Adagrad,16,1,2,0.00888694
20,1.0,tanh,Adagrad,16,1,2,-0.2772244
24,1.0,tanh,Adagrad,16,1,2,-0.083932444
