epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
28,1.0,tanh,Adagrad,10,1,2,0.5799328
22,1.0,tanh,Adagrad,8,1,2,0.5673906
26,1.0,tanh,Adagrad,14,1,2,0.562793
24,1.0,tanh,Adagrad,8,1,2,0.56012464
28,1.0,tanh,Adagrad,6,1,2,0.5528573
20,1.0,tanh,Adagrad,6,1,2,0.5480464
26,1.0,tanh,Adagrad,6,1,2,0.53613603
22,1.0,tanh,Adagrad,12,1,2,0.5243399
30,1.0,tanh,Adagrad,10,1,2,0.52379626
26,1.0,tanh,Adagrad,8,1,2,0.5213427
26,1.0,tanh,Adagrad,10,1,2,0.5166948
26,1.0,tanh,Adagrad,16,1,2,0.5137574
30,1.0,tanh,Adagrad,8,1,2,0.5068031
22,1.0,tanh,Adagrad,6,1,2,0.49528223
20,1.0,tanh,Adagrad,8,1,2,0.49206868
30,1.0,tanh,Adagrad,6,1,2,0.48396316
30,1.0,tanh,Adagrad,12,1,2,0.47423884
30,1.0,tanh,Adagrad,16,1,2,0.47379893
20,1.0,tanh,Adagrad,10,1,2,0.45505336
20,1.0,tanh,Adagrad,14,1,2,0.43102378
28,1.0,tanh,Adagrad,12,1,2,0.42243916
24,1.0,tanh,Adagrad,14,1,2,0.42048195
30,1.0,tanh,Adagrad,14,1,2,0.40912244
28,1.0,tanh,Adagrad,8,1,2,0.4022358
24,1.0,tanh,Adagrad,6,1,2,0.3907654
22,1.0,tanh,Adagrad,10,1,2,0.31656334
26,1.0,tanh,Adagrad,12,1,2,0.31630614
24,1.0,tanh,Adagrad,12,1,2,0.2987377
24,1.0,tanh,Adagrad,16,1,2,0.29765642
20,1.0,tanh,Adagrad,12,1,2,0.2970212
28,1.0,tanh,Adagrad,14,1,2,0.2847124
28,1.0,tanh,Adagrad,16,1,2,0.28337413
20,1.0,tanh,Adagrad,16,1,2,0.23782988
22,1.0,tanh,Adagrad,16,1,2,0.22257116
24,1.0,tanh,Adagrad,10,1,2,0.17696935
22,1.0,tanh,Adagrad,14,1,2,0.028705131
