epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
22,1.0,tanh,Adagrad,16,1,2,0.4986141
20,1.0,tanh,Adagrad,6,1,2,0.4700332
28,1.0,tanh,Adagrad,10,1,2,0.42878157
24,1.0,tanh,Adagrad,6,1,2,0.42236865
26,1.0,tanh,Adagrad,6,1,2,0.41156965
26,1.0,tanh,Adagrad,10,1,2,0.40253517
20,1.0,tanh,Adagrad,10,1,2,0.388578
22,1.0,tanh,Adagrad,12,1,2,0.3767922
30,1.0,tanh,Adagrad,8,1,2,0.37369072
26,1.0,tanh,Adagrad,12,1,2,0.37261787
22,1.0,tanh,Adagrad,8,1,2,0.37035728
28,1.0,tanh,Adagrad,12,1,2,0.3679551
26,1.0,tanh,Adagrad,14,1,2,0.35885224
20,1.0,tanh,Adagrad,8,1,2,0.348364
26,1.0,tanh,Adagrad,8,1,2,0.34811938
24,1.0,tanh,Adagrad,8,1,2,0.34379953
22,1.0,tanh,Adagrad,14,1,2,0.33582333
30,1.0,tanh,Adagrad,12,1,2,0.32891876
24,1.0,tanh,Adagrad,16,1,2,0.29600102
30,1.0,tanh,Adagrad,16,1,2,0.29261407
28,1.0,tanh,Adagrad,6,1,2,0.2898926
30,1.0,tanh,Adagrad,10,1,2,0.28893685
22,1.0,tanh,Adagrad,6,1,2,0.26602408
28,1.0,tanh,Adagrad,8,1,2,0.25948724
30,1.0,tanh,Adagrad,14,1,2,0.25741932
24,1.0,tanh,Adagrad,10,1,2,0.25278285
24,1.0,tanh,Adagrad,12,1,2,0.24522927
28,1.0,tanh,Adagrad,14,1,2,0.24025963
26,1.0,tanh,Adagrad,16,1,2,0.2354726
20,1.0,tanh,Adagrad,16,1,2,0.2317673
20,1.0,tanh,Adagrad,12,1,2,0.23154251
24,1.0,tanh,Adagrad,14,1,2,0.20781435
22,1.0,tanh,Adagrad,10,1,2,0.20440216
30,1.0,tanh,Adagrad,6,1,2,0.17927912
28,1.0,tanh,Adagrad,16,1,2,0.1346182
20,1.0,tanh,Adagrad,14,1,2,0.09519941
