epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
45,1.0,tanh,RMSprop,5,1,2,0.64080685
70,1.0,tanh,RMSprop,10,1,2,0.42172614
25,1.0,tanh,RMSprop,15,1,2,0.37835488
65,1.0,tanh,RMSprop,25,1,2,0.29102796
60,1.0,tanh,RMSprop,20,1,2,0.28969792
80,1.0,tanh,RMSprop,10,1,2,0.24925534
90,1.0,tanh,RMSprop,15,1,2,0.1926162
60,1.0,tanh,RMSprop,5,1,2,0.17918992
85,1.0,tanh,RMSprop,5,1,2,0.14733689
90,1.0,tanh,RMSprop,30,1,2,0.13355865
90,1.0,tanh,RMSprop,5,1,2,0.09129597
95,1.0,tanh,RMSprop,10,1,2,0.08857911
50,1.0,tanh,RMSprop,10,1,2,0.07138763
45,1.0,tanh,RMSprop,15,1,2,0.07136416
75,1.0,tanh,RMSprop,15,1,2,0.064542204
75,1.0,tanh,RMSprop,5,1,2,0.056502037
55,1.0,tanh,RMSprop,25,1,2,0.048646923
65,1.0,tanh,RMSprop,5,1,2,0.048462633
30,1.0,tanh,RMSprop,15,1,2,0.039700482
90,1.0,tanh,RMSprop,25,1,2,0.03379541
25,1.0,tanh,RMSprop,10,1,2,0.032590654
40,1.0,tanh,RMSprop,5,1,2,0.032314107
95,1.0,tanh,RMSprop,5,1,2,0.023402253
30,1.0,tanh,RMSprop,5,1,2,0.020967504
20,1.0,tanh,RMSprop,10,1,2,0.004429676
5,1.0,tanh,RMSprop,20,1,2,0.0038688306
55,1.0,tanh,RMSprop,10,1,2,0.0012709383
65,1.0,tanh,RMSprop,30,1,2,-0.51836914
25,1.0,tanh,RMSprop,20,1,2,-0.40141496
40,1.0,tanh,RMSprop,15,1,2,-0.39934945
35,1.0,tanh,RMSprop,5,1,2,-0.38011667
40,1.0,tanh,RMSprop,20,1,2,-0.37932006
30,1.0,tanh,RMSprop,25,1,2,-0.37249115
90,1.0,tanh,RMSprop,20,1,2,-0.36023998
50,1.0,tanh,RMSprop,25,1,2,-0.35760453
5,1.0,tanh,RMSprop,25,1,2,-0.35157648
60,1.0,tanh,RMSprop,10,1,2,-0.35009223
5,1.0,tanh,RMSprop,30,1,2,-0.34906095
5,1.0,tanh,RMSprop,35,1,2,-0.3480875
45,1.0,tanh,RMSprop,10,1,2,-0.34728044
15,1.0,tanh,RMSprop,25,1,2,-0.34563312
5,1.0,tanh,RMSprop,40,1,2,-0.34532955
5,1.0,tanh,RMSprop,45,1,2,-0.34409976
5,1.0,tanh,RMSprop,50,1,2,-0.3431083
35,1.0,tanh,RMSprop,10,1,2,-0.34154472
10,1.0,tanh,RMSprop,30,1,2,-0.34060594
5,1.0,tanh,RMSprop,60,1,2,-0.33914793
5,1.0,tanh,RMSprop,55,1,2,-0.33840615
60,1.0,tanh,RMSprop,25,1,2,-0.33634833
5,1.0,tanh,RMSprop,65,1,2,-0.3355264
5,1.0,tanh,RMSprop,70,1,2,-0.33537143
20,1.0,tanh,RMSprop,25,1,2,-0.33367372
