epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,Adagrad,8,1,2,0.5882809
22,1.0,tanh,Adagrad,14,1,2,0.54974836
22,1.0,tanh,Adagrad,12,1,2,0.5333931
24,1.0,tanh,Adagrad,6,1,2,0.5106663
20,1.0,tanh,Adagrad,8,1,2,0.51046115
22,1.0,tanh,Adagrad,6,1,2,0.48913276
28,1.0,tanh,Adagrad,10,1,2,0.47590995
20,1.0,tanh,Adagrad,10,1,2,0.4713571
26,1.0,tanh,Adagrad,8,1,2,0.40066049
26,1.0,tanh,Adagrad,10,1,2,0.2978034
24,1.0,tanh,Adagrad,8,1,2,0.29417604
28,1.0,tanh,Adagrad,6,1,2,0.27801424
28,1.0,tanh,Adagrad,8,1,2,0.27717546
30,1.0,tanh,Adagrad,6,1,2,0.2763234
24,1.0,tanh,Adagrad,10,1,2,0.25096044
30,1.0,tanh,Adagrad,10,1,2,0.25066805
20,1.0,tanh,Adagrad,6,1,2,0.18492384
28,1.0,tanh,Adagrad,12,1,2,0.1674339
26,1.0,tanh,Adagrad,14,1,2,0.14062062
26,1.0,tanh,Adagrad,6,1,2,0.1282557
22,1.0,tanh,Adagrad,8,1,2,0.06364937
28,1.0,tanh,Adagrad,14,1,2,0.03843987
22,1.0,tanh,Adagrad,10,1,2,-0.00800234
20,1.0,tanh,Adagrad,12,1,2,-0.0076591517
24,1.0,tanh,Adagrad,16,1,2,-0.0074551604
24,1.0,tanh,Adagrad,12,1,2,-0.006959045
30,1.0,tanh,Adagrad,16,1,2,-0.0065284986
30,1.0,tanh,Adagrad,12,1,2,-0.0064653135
22,1.0,tanh,Adagrad,16,1,2,-0.0064357244
26,1.0,tanh,Adagrad,12,1,2,-0.0063096834
24,1.0,tanh,Adagrad,14,1,2,-0.006241296
20,1.0,tanh,Adagrad,14,1,2,-0.0061296574
26,1.0,tanh,Adagrad,16,1,2,-0.006076287
28,1.0,tanh,Adagrad,16,1,2,-0.0060383584
30,1.0,tanh,Adagrad,14,1,2,-0.0060355733
20,1.0,tanh,Adagrad,16,1,2,-0.005838168
