epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
24,1.0,tanh,Adagrad,6,1,2,0.5586954
30,1.0,tanh,Adagrad,6,1,2,0.5494274
20,1.0,tanh,Adagrad,12,1,2,0.5146827
30,1.0,tanh,Adagrad,8,1,2,0.47623107
20,1.0,tanh,Adagrad,6,1,2,0.4605955
26,1.0,tanh,Adagrad,10,1,2,0.43633628
22,1.0,tanh,Adagrad,6,1,2,0.3841397
28,1.0,tanh,Adagrad,6,1,2,0.36664185
28,1.0,tanh,Adagrad,10,1,2,0.34803632
26,1.0,tanh,Adagrad,6,1,2,0.2958777
28,1.0,tanh,Adagrad,8,1,2,0.26341838
26,1.0,tanh,Adagrad,8,1,2,0.22026217
22,1.0,tanh,Adagrad,8,1,2,0.20585084
20,1.0,tanh,Adagrad,10,1,2,0.18449582
20,1.0,tanh,Adagrad,8,1,2,0.12136192
24,1.0,tanh,Adagrad,8,1,2,0.11301088
22,1.0,tanh,Adagrad,10,1,2,0.058245737
24,1.0,tanh,Adagrad,10,1,2,0.054577317
22,1.0,tanh,Adagrad,12,1,2,0.0542224
24,1.0,tanh,Adagrad,12,1,2,0.05387472
20,1.0,tanh,Adagrad,14,1,2,0.052802455
28,1.0,tanh,Adagrad,12,1,2,0.052791562
22,1.0,tanh,Adagrad,14,1,2,0.05268726
26,1.0,tanh,Adagrad,12,1,2,0.05225263
30,1.0,tanh,Adagrad,10,1,2,0.051990427
30,1.0,tanh,Adagrad,12,1,2,0.0517783
20,1.0,tanh,Adagrad,16,1,2,0.051431112
24,1.0,tanh,Adagrad,14,1,2,0.051296007
30,1.0,tanh,Adagrad,14,1,2,0.05123662
26,1.0,tanh,Adagrad,14,1,2,0.05110368
22,1.0,tanh,Adagrad,16,1,2,0.050200604
26,1.0,tanh,Adagrad,16,1,2,0.050148223
28,1.0,tanh,Adagrad,16,1,2,0.04988086
24,1.0,tanh,Adagrad,16,1,2,0.04985953
28,1.0,tanh,Adagrad,14,1,2,0.0496653
30,1.0,tanh,Adagrad,16,1,2,0.049615216
