epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
28,1.0,tanh,Adagrad,8,1,2,0.3855672
28,1.0,tanh,Adagrad,12,1,2,0.38027352
26,1.0,tanh,Adagrad,10,1,2,0.33985707
26,1.0,tanh,Adagrad,12,1,2,0.33760533
20,1.0,tanh,Adagrad,10,1,2,0.33292374
30,1.0,tanh,Adagrad,6,1,2,0.3193254
24,1.0,tanh,Adagrad,12,1,2,0.3182134
28,1.0,tanh,Adagrad,10,1,2,0.31790262
26,1.0,tanh,Adagrad,8,1,2,0.31603205
30,1.0,tanh,Adagrad,8,1,2,0.3099638
24,1.0,tanh,Adagrad,8,1,2,0.30964407
30,1.0,tanh,Adagrad,10,1,2,0.303493
20,1.0,tanh,Adagrad,8,1,2,0.3020261
24,1.0,tanh,Adagrad,10,1,2,0.30038244
26,1.0,tanh,Adagrad,6,1,2,0.29588547
22,1.0,tanh,Adagrad,6,1,2,0.28737682
24,1.0,tanh,Adagrad,6,1,2,0.27046764
28,1.0,tanh,Adagrad,6,1,2,0.2651182
22,1.0,tanh,Adagrad,8,1,2,0.25872105
20,1.0,tanh,Adagrad,6,1,2,0.2320896
22,1.0,tanh,Adagrad,10,1,2,0.20496269
22,1.0,tanh,Adagrad,12,1,2,-0.06615069
20,1.0,tanh,Adagrad,12,1,2,-0.06467551
20,1.0,tanh,Adagrad,14,1,2,-0.063852094
22,1.0,tanh,Adagrad,14,1,2,-0.061828658
20,1.0,tanh,Adagrad,16,1,2,-0.060832348
30,1.0,tanh,Adagrad,12,1,2,-0.06042437
22,1.0,tanh,Adagrad,16,1,2,-0.059939403
24,1.0,tanh,Adagrad,14,1,2,-0.059360232
28,1.0,tanh,Adagrad,14,1,2,-0.05884191
30,1.0,tanh,Adagrad,16,1,2,-0.058523063
30,1.0,tanh,Adagrad,14,1,2,-0.05834535
24,1.0,tanh,Adagrad,16,1,2,-0.05832638
26,1.0,tanh,Adagrad,14,1,2,-0.05743084
26,1.0,tanh,Adagrad,16,1,2,-0.055871304
28,1.0,tanh,Adagrad,16,1,2,-0.055744674
