epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
30,1.0,tanh,Adagrad,6,1,2,0.66028553
26,1.0,tanh,Adagrad,6,1,2,0.648712
28,1.0,tanh,Adagrad,8,1,2,0.6265531
22,1.0,tanh,Adagrad,10,1,2,0.6101009
30,1.0,tanh,Adagrad,8,1,2,0.6055058
24,1.0,tanh,Adagrad,6,1,2,0.60532457
22,1.0,tanh,Adagrad,8,1,2,0.5980045
20,1.0,tanh,Adagrad,8,1,2,0.59698075
20,1.0,tanh,Adagrad,6,1,2,0.5822917
30,1.0,tanh,Adagrad,12,1,2,0.5625076
24,1.0,tanh,Adagrad,8,1,2,0.56151295
26,1.0,tanh,Adagrad,8,1,2,0.5287481
20,1.0,tanh,Adagrad,10,1,2,0.5007329
24,1.0,tanh,Adagrad,10,1,2,0.44190156
22,1.0,tanh,Adagrad,6,1,2,0.40321714
28,1.0,tanh,Adagrad,6,1,2,0.36707222
20,1.0,tanh,Adagrad,12,1,2,-0.01861538
20,1.0,tanh,Adagrad,14,1,2,-0.01833112
28,1.0,tanh,Adagrad,10,1,2,-0.018299976
24,1.0,tanh,Adagrad,12,1,2,-0.018065577
22,1.0,tanh,Adagrad,12,1,2,-0.018047588
26,1.0,tanh,Adagrad,10,1,2,-0.018002098
20,1.0,tanh,Adagrad,16,1,2,-0.017909214
22,1.0,tanh,Adagrad,14,1,2,-0.01790236
24,1.0,tanh,Adagrad,14,1,2,-0.017615175
26,1.0,tanh,Adagrad,12,1,2,-0.017606359
22,1.0,tanh,Adagrad,16,1,2,-0.017548805
30,1.0,tanh,Adagrad,10,1,2,-0.017539846
26,1.0,tanh,Adagrad,14,1,2,-0.017539369
28,1.0,tanh,Adagrad,12,1,2,-0.017172445
24,1.0,tanh,Adagrad,16,1,2,-0.017102303
28,1.0,tanh,Adagrad,14,1,2,-0.016835226
26,1.0,tanh,Adagrad,16,1,2,-0.016710393
30,1.0,tanh,Adagrad,14,1,2,-0.016647462
28,1.0,tanh,Adagrad,16,1,2,-0.016400501
30,1.0,tanh,Adagrad,16,1,2,-0.015738498
