epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
26,1.0,tanh,Adagrad,6,1,2,0.59185594
20,1.0,tanh,Adagrad,6,1,2,0.5719225
28,1.0,tanh,Adagrad,8,1,2,0.55186445
28,1.0,tanh,Adagrad,6,1,2,0.5508046
26,1.0,tanh,Adagrad,8,1,2,0.54839754
30,1.0,tanh,Adagrad,10,1,2,0.5338155
24,1.0,tanh,Adagrad,8,1,2,0.53223485
22,1.0,tanh,Adagrad,8,1,2,0.52805346
22,1.0,tanh,Adagrad,12,1,2,0.52742213
28,1.0,tanh,Adagrad,12,1,2,0.523569
26,1.0,tanh,Adagrad,10,1,2,0.5233971
20,1.0,tanh,Adagrad,14,1,2,0.52327746
20,1.0,tanh,Adagrad,10,1,2,0.5159897
22,1.0,tanh,Adagrad,6,1,2,0.5158375
22,1.0,tanh,Adagrad,16,1,2,0.5143393
20,1.0,tanh,Adagrad,8,1,2,0.5140692
26,1.0,tanh,Adagrad,16,1,2,0.5128052
22,1.0,tanh,Adagrad,10,1,2,0.5111177
28,1.0,tanh,Adagrad,16,1,2,0.5101449
30,1.0,tanh,Adagrad,16,1,2,0.50993466
24,1.0,tanh,Adagrad,12,1,2,0.5065467
20,1.0,tanh,Adagrad,12,1,2,0.50576407
28,1.0,tanh,Adagrad,10,1,2,0.5053023
24,1.0,tanh,Adagrad,6,1,2,0.5013814
30,1.0,tanh,Adagrad,14,1,2,0.49964437
30,1.0,tanh,Adagrad,8,1,2,0.49664578
22,1.0,tanh,Adagrad,14,1,2,0.49598235
24,1.0,tanh,Adagrad,14,1,2,0.49533823
28,1.0,tanh,Adagrad,14,1,2,0.49031317
26,1.0,tanh,Adagrad,12,1,2,0.49027738
24,1.0,tanh,Adagrad,16,1,2,0.4873847
20,1.0,tanh,Adagrad,16,1,2,0.48703185
24,1.0,tanh,Adagrad,10,1,2,0.4860125
26,1.0,tanh,Adagrad,14,1,2,0.4834745
30,1.0,tanh,Adagrad,12,1,2,0.48152894
30,1.0,tanh,Adagrad,6,1,2,0.36685863
