epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
90,1.0,tanh,RMSprop,95,1,2,0.77286017
5,1.0,tanh,RMSprop,30,1,2,0.7449346
90,1.0,tanh,RMSprop,30,1,2,0.72532815
75,1.0,tanh,RMSprop,100,1,2,0.6643055
40,1.0,tanh,RMSprop,15,1,2,0.61937696
15,1.0,tanh,RMSprop,50,1,2,0.606309
50,1.0,tanh,RMSprop,15,1,2,0.58552724
70,1.0,tanh,RMSprop,5,1,2,0.5835834
20,1.0,tanh,RMSprop,95,1,2,0.5754424
75,1.0,tanh,RMSprop,5,1,2,0.5732362
100,1.0,tanh,RMSprop,85,1,2,0.5595435
30,1.0,tanh,RMSprop,5,1,2,0.557583
5,1.0,tanh,RMSprop,5,1,2,0.5528161
60,1.0,tanh,RMSprop,15,1,2,0.5391219
20,1.0,tanh,RMSprop,5,1,2,0.53770274
45,1.0,tanh,RMSprop,95,1,2,0.5339907
75,1.0,tanh,RMSprop,95,1,2,0.53261995
65,1.0,tanh,RMSprop,20,1,2,0.52473605
80,1.0,tanh,RMSprop,25,1,2,0.51341754
35,1.0,tanh,RMSprop,10,1,2,0.51097894
50,1.0,tanh,RMSprop,30,1,2,0.5022774
10,1.0,tanh,RMSprop,5,1,2,0.49788716
5,1.0,tanh,RMSprop,10,1,2,0.49561644
95,1.0,tanh,RMSprop,100,1,2,0.49449065
35,1.0,tanh,RMSprop,5,1,2,0.49272165
70,1.0,tanh,RMSprop,10,1,2,0.4879121
10,1.0,tanh,RMSprop,15,1,2,0.48460755
30,1.0,tanh,RMSprop,40,1,2,0.46995172
100,1.0,tanh,RMSprop,95,1,2,0.4657146
55,1.0,tanh,RMSprop,95,1,2,0.46384916
5,1.0,tanh,RMSprop,15,1,2,0.46292138
45,1.0,tanh,RMSprop,70,1,2,0.46006644
70,1.0,tanh,RMSprop,75,1,2,0.45332894
95,1.0,tanh,RMSprop,5,1,2,0.45095026
85,1.0,tanh,RMSprop,5,1,2,0.44773608
5,1.0,tanh,RMSprop,40,1,2,0.44624916
60,1.0,tanh,RMSprop,10,1,2,0.4357342
65,1.0,tanh,RMSprop,5,1,2,0.4288289
40,1.0,tanh,RMSprop,75,1,2,0.42814916
5,1.0,tanh,RMSprop,25,1,2,0.42486843
60,1.0,tanh,RMSprop,35,1,2,0.42018735
5,1.0,tanh,RMSprop,20,1,2,0.41675496
15,1.0,tanh,RMSprop,25,1,2,0.4121343
5,1.0,tanh,RMSprop,35,1,2,0.41211256
15,1.0,tanh,RMSprop,10,1,2,0.40285823
65,1.0,tanh,RMSprop,15,1,2,0.40217534
65,1.0,tanh,RMSprop,40,1,2,0.39720383
20,1.0,tanh,RMSprop,10,1,2,0.38344452
20,1.0,tanh,RMSprop,40,1,2,0.37698027
90,1.0,tanh,RMSprop,40,1,2,0.37520364
20,1.0,tanh,RMSprop,50,1,2,0.3721827
90,1.0,tanh,RMSprop,75,1,2,0.3721772
85,1.0,tanh,RMSprop,40,1,2,0.3639029
45,1.0,tanh,RMSprop,15,1,2,0.36000866
15,1.0,tanh,RMSprop,5,1,2,0.35890552
10,1.0,tanh,RMSprop,45,1,2,0.3477026
5,1.0,tanh,RMSprop,50,1,2,0.34389728
60,1.0,tanh,RMSprop,5,1,2,0.34373093
55,1.0,tanh,RMSprop,5,1,2,0.34092227
25,1.0,tanh,RMSprop,45,1,2,0.3394477
90,1.0,tanh,RMSprop,10,1,2,0.3381901
50,1.0,tanh,RMSprop,5,1,2,0.3375774
55,1.0,tanh,RMSprop,15,1,2,0.33478403
30,1.0,tanh,RMSprop,10,1,2,0.33384618
15,1.0,tanh,RMSprop,20,1,2,0.33263662
40,1.0,tanh,RMSprop,30,1,2,0.3308254
45,1.0,tanh,RMSprop,50,1,2,0.32872888
65,1.0,tanh,RMSprop,30,1,2,0.3182307
80,1.0,tanh,RMSprop,35,1,2,0.31797665
90,1.0,tanh,RMSprop,35,1,2,0.31559485
100,1.0,tanh,RMSprop,5,1,2,0.31431487
85,1.0,tanh,RMSprop,50,1,2,0.3107681
85,1.0,tanh,RMSprop,60,1,2,0.30786383
75,1.0,tanh,RMSprop,20,1,2,0.29872137
15,1.0,tanh,RMSprop,45,1,2,0.29611656
