epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
24,1.0,tanh,Adagrad,8,1,2,0.554086
28,1.0,tanh,Adagrad,14,1,2,0.5438602
20,1.0,tanh,Adagrad,8,1,2,0.523005
30,1.0,tanh,Adagrad,16,1,2,0.52239096
22,1.0,tanh,Adagrad,14,1,2,0.5134159
26,1.0,tanh,Adagrad,16,1,2,0.51288265
20,1.0,tanh,Adagrad,14,1,2,0.5026131
20,1.0,tanh,Adagrad,10,1,2,0.5024555
26,1.0,tanh,Adagrad,12,1,2,0.4983862
24,1.0,tanh,Adagrad,16,1,2,0.48273897
22,1.0,tanh,Adagrad,6,1,2,0.48074767
28,1.0,tanh,Adagrad,10,1,2,0.47369453
22,1.0,tanh,Adagrad,16,1,2,0.4728228
28,1.0,tanh,Adagrad,16,1,2,0.4697413
26,1.0,tanh,Adagrad,10,1,2,0.462589
28,1.0,tanh,Adagrad,6,1,2,0.46058467
26,1.0,tanh,Adagrad,14,1,2,0.45717043
30,1.0,tanh,Adagrad,10,1,2,0.45202988
28,1.0,tanh,Adagrad,8,1,2,0.44774666
30,1.0,tanh,Adagrad,14,1,2,0.4467325
24,1.0,tanh,Adagrad,10,1,2,0.44529337
22,1.0,tanh,Adagrad,8,1,2,0.44236168
24,1.0,tanh,Adagrad,12,1,2,0.44160035
20,1.0,tanh,Adagrad,16,1,2,0.43764618
20,1.0,tanh,Adagrad,12,1,2,0.43698883
24,1.0,tanh,Adagrad,6,1,2,0.43466258
22,1.0,tanh,Adagrad,10,1,2,0.4324646
30,1.0,tanh,Adagrad,12,1,2,0.42134175
24,1.0,tanh,Adagrad,14,1,2,0.41943377
26,1.0,tanh,Adagrad,8,1,2,0.41233605
22,1.0,tanh,Adagrad,12,1,2,0.39404514
28,1.0,tanh,Adagrad,12,1,2,0.3932115
30,1.0,tanh,Adagrad,6,1,2,0.36256164
30,1.0,tanh,Adagrad,8,1,2,0.36219576
20,1.0,tanh,Adagrad,6,1,2,0.35383794
26,1.0,tanh,Adagrad,6,1,2,0.35083035
