epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
28,1.0,tanh,Adagrad,8,1,2,0.5440794
30,1.0,tanh,Adagrad,12,1,2,0.5157607
26,1.0,tanh,Adagrad,6,1,2,0.5103675
22,1.0,tanh,Adagrad,6,1,2,0.50640494
22,1.0,tanh,Adagrad,8,1,2,0.5029348
28,1.0,tanh,Adagrad,10,1,2,0.5029102
30,1.0,tanh,Adagrad,10,1,2,0.495389
20,1.0,tanh,Adagrad,16,1,2,0.490502
30,1.0,tanh,Adagrad,6,1,2,0.47442612
20,1.0,tanh,Adagrad,10,1,2,0.4718159
26,1.0,tanh,Adagrad,8,1,2,0.4600399
26,1.0,tanh,Adagrad,12,1,2,0.4593814
30,1.0,tanh,Adagrad,8,1,2,0.45506606
24,1.0,tanh,Adagrad,14,1,2,0.452801
28,1.0,tanh,Adagrad,6,1,2,0.4503417
24,1.0,tanh,Adagrad,8,1,2,0.44799227
20,1.0,tanh,Adagrad,6,1,2,0.44548404
20,1.0,tanh,Adagrad,12,1,2,0.44417247
24,1.0,tanh,Adagrad,12,1,2,0.44272465
22,1.0,tanh,Adagrad,12,1,2,0.43517536
20,1.0,tanh,Adagrad,8,1,2,0.43312487
24,1.0,tanh,Adagrad,6,1,2,0.4234506
30,1.0,tanh,Adagrad,14,1,2,0.41922694
28,1.0,tanh,Adagrad,12,1,2,0.40321347
30,1.0,tanh,Adagrad,16,1,2,0.38687134
24,1.0,tanh,Adagrad,16,1,2,0.29122877
26,1.0,tanh,Adagrad,14,1,2,0.27944776
20,1.0,tanh,Adagrad,14,1,2,0.2754598
28,1.0,tanh,Adagrad,16,1,2,0.25068492
26,1.0,tanh,Adagrad,10,1,2,0.22804828
28,1.0,tanh,Adagrad,14,1,2,0.20550147
24,1.0,tanh,Adagrad,10,1,2,0.19597681
22,1.0,tanh,Adagrad,10,1,2,0.108468086
22,1.0,tanh,Adagrad,14,1,2,0.06413225
26,1.0,tanh,Adagrad,16,1,2,-5.556966e-06
22,1.0,tanh,Adagrad,16,1,2,-0.12791528
