epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
20,1.0,tanh,Adagrad,10,1,2,0.5675696
24,1.0,tanh,Adagrad,8,1,2,0.5566869
28,1.0,tanh,Adagrad,8,1,2,0.49772105
26,1.0,tanh,Adagrad,6,1,2,0.49157768
24,1.0,tanh,Adagrad,6,1,2,0.48921108
20,1.0,tanh,Adagrad,8,1,2,0.47873425
30,1.0,tanh,Adagrad,8,1,2,0.42944995
20,1.0,tanh,Adagrad,6,1,2,0.41442853
22,1.0,tanh,Adagrad,10,1,2,0.40783143
30,1.0,tanh,Adagrad,10,1,2,0.4064821
28,1.0,tanh,Adagrad,6,1,2,0.39647293
26,1.0,tanh,Adagrad,8,1,2,0.39588717
24,1.0,tanh,Adagrad,10,1,2,0.39449036
22,1.0,tanh,Adagrad,8,1,2,0.3555979
22,1.0,tanh,Adagrad,6,1,2,0.2879598
30,1.0,tanh,Adagrad,6,1,2,0.2781916
28,1.0,tanh,Adagrad,10,1,2,0.22190072
26,1.0,tanh,Adagrad,12,1,2,0.17737572
22,1.0,tanh,Adagrad,12,1,2,0.16125505
24,1.0,tanh,Adagrad,12,1,2,0.13477506
20,1.0,tanh,Adagrad,12,1,2,0.04021361
26,1.0,tanh,Adagrad,10,1,2,0.040049445
20,1.0,tanh,Adagrad,14,1,2,0.039554194
20,1.0,tanh,Adagrad,16,1,2,0.03880538
22,1.0,tanh,Adagrad,14,1,2,0.038460266
24,1.0,tanh,Adagrad,14,1,2,0.038273197
28,1.0,tanh,Adagrad,12,1,2,0.038124163
26,1.0,tanh,Adagrad,14,1,2,0.038031153
22,1.0,tanh,Adagrad,16,1,2,0.037979417
30,1.0,tanh,Adagrad,12,1,2,0.03794087
28,1.0,tanh,Adagrad,14,1,2,0.037894502
24,1.0,tanh,Adagrad,16,1,2,0.037791315
26,1.0,tanh,Adagrad,16,1,2,0.0376644
30,1.0,tanh,Adagrad,14,1,2,0.037659734
28,1.0,tanh,Adagrad,16,1,2,0.037619326
30,1.0,tanh,Adagrad,16,1,2,0.037559047
