epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
28,1.0,tanh,Adagrad,12,1,2,0.53300256
24,1.0,tanh,Adagrad,12,1,2,0.51762223
30,1.0,tanh,Adagrad,6,1,2,0.5152113
26,1.0,tanh,Adagrad,8,1,2,0.5051354
30,1.0,tanh,Adagrad,14,1,2,0.47617513
26,1.0,tanh,Adagrad,14,1,2,0.46217647
28,1.0,tanh,Adagrad,8,1,2,0.3932502
22,1.0,tanh,Adagrad,16,1,2,0.38465366
28,1.0,tanh,Adagrad,6,1,2,0.37719047
22,1.0,tanh,Adagrad,14,1,2,0.27633706
26,1.0,tanh,Adagrad,12,1,2,0.2721832
30,1.0,tanh,Adagrad,16,1,2,0.24674454
26,1.0,tanh,Adagrad,16,1,2,0.12120082
26,1.0,tanh,Adagrad,6,1,2,0.10407538
20,1.0,tanh,Adagrad,8,1,2,0.09068319
28,1.0,tanh,Adagrad,10,1,2,0.08287436
28,1.0,tanh,Adagrad,14,1,2,0.08172674
22,1.0,tanh,Adagrad,8,1,2,0.023511672
22,1.0,tanh,Adagrad,12,1,2,0.015601972
20,1.0,tanh,Adagrad,14,1,2,0.010661302
20,1.0,tanh,Adagrad,16,1,2,-0.42426756
20,1.0,tanh,Adagrad,10,1,2,-0.37036395
30,1.0,tanh,Adagrad,12,1,2,-0.34631288
22,1.0,tanh,Adagrad,6,1,2,-0.34595957
20,1.0,tanh,Adagrad,12,1,2,-0.327145
30,1.0,tanh,Adagrad,8,1,2,-0.31922138
24,1.0,tanh,Adagrad,16,1,2,-0.31022564
24,1.0,tanh,Adagrad,8,1,2,-0.30508164
28,1.0,tanh,Adagrad,16,1,2,-0.2528187
22,1.0,tanh,Adagrad,10,1,2,-0.18302682
30,1.0,tanh,Adagrad,10,1,2,-0.15664952
26,1.0,tanh,Adagrad,10,1,2,-0.09197219
24,1.0,tanh,Adagrad,10,1,2,-0.08584753
24,1.0,tanh,Adagrad,6,1,2,-0.08360694
20,1.0,tanh,Adagrad,6,1,2,-0.068756476
24,1.0,tanh,Adagrad,14,1,2,-0.04103033
