epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
22,1.0,tanh,Adagrad,10,1,2,0.66819906
20,1.0,tanh,Adagrad,6,1,2,0.65928286
22,1.0,tanh,Adagrad,6,1,2,0.63250834
26,1.0,tanh,Adagrad,6,1,2,0.6150316
20,1.0,tanh,Adagrad,12,1,2,0.590159
22,1.0,tanh,Adagrad,8,1,2,0.56466633
24,1.0,tanh,Adagrad,6,1,2,0.56383336
28,1.0,tanh,Adagrad,14,1,2,0.5633555
28,1.0,tanh,Adagrad,10,1,2,0.55362505
20,1.0,tanh,Adagrad,16,1,2,0.53881466
22,1.0,tanh,Adagrad,14,1,2,0.47232163
30,1.0,tanh,Adagrad,8,1,2,0.46467653
26,1.0,tanh,Adagrad,8,1,2,0.46028516
30,1.0,tanh,Adagrad,14,1,2,0.3697008
28,1.0,tanh,Adagrad,8,1,2,0.3664435
30,1.0,tanh,Adagrad,6,1,2,0.3552353
24,1.0,tanh,Adagrad,16,1,2,0.3189994
28,1.0,tanh,Adagrad,6,1,2,0.28817824
24,1.0,tanh,Adagrad,8,1,2,0.2701689
20,1.0,tanh,Adagrad,8,1,2,0.24902442
28,1.0,tanh,Adagrad,12,1,2,0.22095682
26,1.0,tanh,Adagrad,10,1,2,0.13302943
20,1.0,tanh,Adagrad,14,1,2,-0.033113807
24,1.0,tanh,Adagrad,12,1,2,-0.03226547
28,1.0,tanh,Adagrad,16,1,2,-0.031849388
24,1.0,tanh,Adagrad,14,1,2,-0.03094771
22,1.0,tanh,Adagrad,12,1,2,-0.03066176
30,1.0,tanh,Adagrad,16,1,2,-0.030421695
24,1.0,tanh,Adagrad,10,1,2,-0.030234538
26,1.0,tanh,Adagrad,14,1,2,-0.0291697
26,1.0,tanh,Adagrad,12,1,2,-0.029154435
22,1.0,tanh,Adagrad,16,1,2,-0.028509736
26,1.0,tanh,Adagrad,16,1,2,-0.02725436
20,1.0,tanh,Adagrad,10,1,2,-0.026641602
30,1.0,tanh,Adagrad,12,1,2,-0.0258873
30,1.0,tanh,Adagrad,10,1,2,-0.021060415
