epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
24,1.0,tanh,Adagrad,6,1,2,0.4704149
26,1.0,tanh,Adagrad,6,1,2,0.39558437
20,1.0,tanh,Adagrad,8,1,2,0.20062277
26,1.0,tanh,Adagrad,14,1,2,0.16523391
30,1.0,tanh,Adagrad,10,1,2,0.13655356
20,1.0,tanh,Adagrad,12,1,2,0.09169446
24,1.0,tanh,Adagrad,14,1,2,0.09032636
30,1.0,tanh,Adagrad,14,1,2,0.04876063
20,1.0,tanh,Adagrad,10,1,2,0.047889054
22,1.0,tanh,Adagrad,10,1,2,0.003498121
30,1.0,tanh,Adagrad,16,1,2,-0.37634343
22,1.0,tanh,Adagrad,16,1,2,-0.37210044
30,1.0,tanh,Adagrad,12,1,2,-0.35834977
24,1.0,tanh,Adagrad,12,1,2,-0.33515006
28,1.0,tanh,Adagrad,14,1,2,-0.25452188
30,1.0,tanh,Adagrad,6,1,2,-0.25197718
26,1.0,tanh,Adagrad,16,1,2,-0.24400899
26,1.0,tanh,Adagrad,12,1,2,-0.22299175
22,1.0,tanh,Adagrad,8,1,2,-0.22193033
22,1.0,tanh,Adagrad,14,1,2,-0.21708466
28,1.0,tanh,Adagrad,8,1,2,-0.20381576
28,1.0,tanh,Adagrad,16,1,2,-0.18258116
28,1.0,tanh,Adagrad,10,1,2,-0.18057057
20,1.0,tanh,Adagrad,14,1,2,-0.17950359
20,1.0,tanh,Adagrad,16,1,2,-0.16781488
24,1.0,tanh,Adagrad,8,1,2,-0.15901938
28,1.0,tanh,Adagrad,12,1,2,-0.14133976
28,1.0,tanh,Adagrad,6,1,2,-0.0935393
30,1.0,tanh,Adagrad,8,1,2,-0.092502505
20,1.0,tanh,Adagrad,6,1,2,-0.09221465
26,1.0,tanh,Adagrad,8,1,2,-0.079650335
22,1.0,tanh,Adagrad,12,1,2,-0.06752958
24,1.0,tanh,Adagrad,10,1,2,-0.056132708
24,1.0,tanh,Adagrad,16,1,2,-0.034973755
22,1.0,tanh,Adagrad,6,1,2,-0.016746705
26,1.0,tanh,Adagrad,10,1,2,-0.015231349
