epochs,dropout,activation,optimization,neurons,batch_size,hidden_layers,RESULT
25,1.0,tanh,RMSprop,85,1,2,0.6185081
45,1.0,tanh,RMSprop,65,1,2,0.5927973
50,1.0,tanh,RMSprop,40,1,2,0.5782531
100,1.0,tanh,RMSprop,65,1,2,0.5723413
15,1.0,tanh,RMSprop,5,1,2,0.57016945
85,1.0,tanh,RMSprop,90,1,2,0.5520143
55,1.0,tanh,RMSprop,85,1,2,0.5478222
20,1.0,tanh,RMSprop,90,1,2,0.5417085
80,1.0,tanh,RMSprop,40,1,2,0.5217342
20,1.0,tanh,RMSprop,65,1,2,0.5139757
10,1.0,tanh,RMSprop,70,1,2,0.51103514
30,1.0,tanh,RMSprop,50,1,2,0.50218093
25,1.0,tanh,RMSprop,65,1,2,0.4870123
50,1.0,tanh,RMSprop,15,1,2,0.47348613
25,1.0,tanh,RMSprop,60,1,2,0.47197437
20,1.0,tanh,RMSprop,75,1,2,0.4541735
35,1.0,tanh,RMSprop,45,1,2,0.45385826
10,1.0,tanh,RMSprop,55,1,2,0.4516674
20,1.0,tanh,RMSprop,55,1,2,0.4442566
40,1.0,tanh,RMSprop,90,1,2,0.44298986
85,1.0,tanh,RMSprop,25,1,2,0.44207925
80,1.0,tanh,RMSprop,20,1,2,0.4324328
45,1.0,tanh,RMSprop,60,1,2,0.43002838
15,1.0,tanh,RMSprop,55,1,2,0.42938787
15,1.0,tanh,RMSprop,95,1,2,0.4188318
85,1.0,tanh,RMSprop,20,1,2,0.4143161
10,1.0,tanh,RMSprop,60,1,2,0.4141722
15,1.0,tanh,RMSprop,90,1,2,0.40680087
50,1.0,tanh,RMSprop,90,1,2,0.40615237
70,1.0,tanh,RMSprop,35,1,2,0.40558356
15,1.0,tanh,RMSprop,75,1,2,0.39349648
75,1.0,tanh,RMSprop,20,1,2,0.3868696
40,1.0,tanh,RMSprop,50,1,2,0.38526317
30,1.0,tanh,RMSprop,90,1,2,0.377756
20,1.0,tanh,RMSprop,95,1,2,0.373627
80,1.0,tanh,RMSprop,50,1,2,0.37257424
25,1.0,tanh,RMSprop,95,1,2,0.3671
10,1.0,tanh,RMSprop,40,1,2,0.34813872
100,1.0,tanh,RMSprop,25,1,2,0.34479398
60,1.0,tanh,RMSprop,75,1,2,0.34471968
10,1.0,tanh,RMSprop,35,1,2,0.3433302
60,1.0,tanh,RMSprop,60,1,2,0.3396784
55,1.0,tanh,RMSprop,35,1,2,0.3391305
70,1.0,tanh,RMSprop,90,1,2,0.33414796
20,1.0,tanh,RMSprop,50,1,2,0.32968128
25,1.0,tanh,RMSprop,70,1,2,0.3229616
35,1.0,tanh,RMSprop,60,1,2,0.3167651
35,1.0,tanh,RMSprop,70,1,2,0.31675088
35,1.0,tanh,RMSprop,30,1,2,0.30989534
50,1.0,tanh,RMSprop,100,1,2,0.2990487
75,1.0,tanh,RMSprop,75,1,2,0.29556766
100,1.0,tanh,RMSprop,40,1,2,0.29404998
45,1.0,tanh,RMSprop,75,1,2,0.28959185
70,1.0,tanh,RMSprop,40,1,2,0.2872982
30,1.0,tanh,RMSprop,60,1,2,0.2870447
90,1.0,tanh,RMSprop,55,1,2,0.28323254
5,1.0,tanh,RMSprop,15,1,2,0.2739233
60,1.0,tanh,RMSprop,90,1,2,0.26880002
25,1.0,tanh,RMSprop,30,1,2,0.26716557
75,1.0,tanh,RMSprop,65,1,2,0.26111972
80,1.0,tanh,RMSprop,60,1,2,0.2587607
10,1.0,tanh,RMSprop,85,1,2,0.24979506
15,1.0,tanh,RMSprop,60,1,2,0.24935557
45,1.0,tanh,RMSprop,15,1,2,0.24876422
55,1.0,tanh,RMSprop,75,1,2,0.24470496
20,1.0,tanh,RMSprop,80,1,2,0.24395016
20,1.0,tanh,RMSprop,25,1,2,0.2404519
60,1.0,tanh,RMSprop,50,1,2,0.23358154
5,1.0,tanh,RMSprop,10,1,2,0.22969614
100,1.0,tanh,RMSprop,45,1,2,0.22619866
35,1.0,tanh,RMSprop,85,1,2,0.22454797
85,1.0,tanh,RMSprop,40,1,2,0.22414769
50,1.0,tanh,RMSprop,55,1,2,0.22191219
75,1.0,tanh,RMSprop,55,1,2,0.22108974
5,1.0,tanh,RMSprop,20,1,2,0.2158432
45,1.0,tanh,RMSprop,85,1,2,0.21510541
95,1.0,tanh,RMSprop,25,1,2,0.21494888
15,1.0,tanh,RMSprop,50,1,2,0.21492335
45,1.0,tanh,RMSprop,20,1,2,0.21439345
40,1.0,tanh,RMSprop,60,1,2,0.21048602
50,1.0,tanh,RMSprop,65,1,2,0.210219
15,1.0,tanh,RMSprop,80,1,2,0.20219463
10,1.0,tanh,RMSprop,100,1,2,0.2021471
90,1.0,tanh,RMSprop,80,1,2,0.19955193
25,1.0,tanh,RMSprop,35,1,2,0.19776618
40,1.0,tanh,RMSprop,95,1,2,0.19635844
30,1.0,tanh,RMSprop,15,1,2,0.18788922
30,1.0,tanh,RMSprop,20,1,2,0.1873017
30,1.0,tanh,RMSprop,55,1,2,0.18548499
70,1.0,tanh,RMSprop,70,1,2,0.17247757
90,1.0,tanh,RMSprop,50,1,2,0.1691462
30,1.0,tanh,RMSprop,95,1,2,0.16759902
60,1.0,tanh,RMSprop,95,1,2,0.16447195
45,1.0,tanh,RMSprop,95,1,2,0.16363364
45,1.0,tanh,RMSprop,70,1,2,0.16340852
90,1.0,tanh,RMSprop,10,1,2,0.16218328
70,1.0,tanh,RMSprop,55,1,2,0.16086377
70,1.0,tanh,RMSprop,65,1,2,0.15769406
95,1.0,tanh,RMSprop,75,1,2,0.1549595
65,1.0,tanh,RMSprop,75,1,2,0.15478186
95,1.0,tanh,RMSprop,100,1,2,0.14530106
10,1.0,tanh,RMSprop,90,1,2,0.14374305
95,1.0,tanh,RMSprop,30,1,2,0.13982612
85,1.0,tanh,RMSprop,55,1,2,0.13481382
80,1.0,tanh,RMSprop,65,1,2,0.13134098
20,1.0,tanh,RMSprop,5,1,2,0.13030219
10,1.0,tanh,RMSprop,80,1,2,0.12911563
25,1.0,tanh,RMSprop,50,1,2,0.12848318
80,1.0,tanh,RMSprop,80,1,2,0.12567265
25,1.0,tanh,RMSprop,20,1,2,0.11552784
15,1.0,tanh,RMSprop,100,1,2,0.112712935
80,1.0,tanh,RMSprop,75,1,2,0.11241175
60,1.0,tanh,RMSprop,55,1,2,0.111909404
60,1.0,tanh,RMSprop,70,1,2,0.10905866
10,1.0,tanh,RMSprop,95,1,2,0.106565244
30,1.0,tanh,RMSprop,80,1,2,0.106534556
75,1.0,tanh,RMSprop,80,1,2,0.105039105
15,1.0,tanh,RMSprop,40,1,2,0.10228041
10,1.0,tanh,RMSprop,30,1,2,0.10223381
20,1.0,tanh,RMSprop,85,1,2,0.094710216
35,1.0,tanh,RMSprop,65,1,2,0.089293525
50,1.0,tanh,RMSprop,70,1,2,0.08828989
50,1.0,tanh,RMSprop,95,1,2,0.08811014
20,1.0,tanh,RMSprop,70,1,2,0.08630361
95,1.0,tanh,RMSprop,15,1,2,0.084409535
90,1.0,tanh,RMSprop,60,1,2,0.08342572
